origin,target,actual,committee,err_committee_bp,abs_err_bp,band_miss,sig1_mom_z,sig2_vol_ratio,sig3_comp_disp,sig4_persist_elev
2018-01-31,2018-02-28,2.263468931091861,2.2236370085319312,-3.9831922559929738,3.9831922559929738,0,1.3044988984435482,0.5101721524268733,1.727269086600539,0.6283425878527256
2018-02-28,2018-03-31,2.3309497646499366,2.507591001673659,17.664123702372247,17.664123702372247,0,0.3973113307066787,0.5739924298426218,1.781893802425023,0.6065172926022795
2018-03-31,2018-04-30,2.4709963021052994,2.4031992241392963,-6.779707796600309,6.779707796600309,0,-0.9537795050007909,1.1524248889998066,1.4211010107398594,0.4158424224231198
2018-04-30,2018-05-31,2.781921607842497,2.7854491773343204,0.3527569491823534,0.3527569491823534,0,0.2830825879799862,0.8325628381491783,1.342850255205472,0.38718974684173907
2018-05-31,2018-06-30,2.8075506935940187,2.921486840830656,11.393614723663736,11.393614723663736,0,0.008350616679171727,0.7854363839216991,1.6935542643298775,0.7606613219239452
2018-06-30,2018-07-31,2.854124785561929,3.001223161573763,14.709837601183384,14.709837601183384,0,-0.9832506644025832,0.5626041010790248,1.7628899726880922,0.7876454617386303
2018-07-31,2018-08-31,2.6429238568742575,2.635139825749644,-0.7784031124613566,0.7784031124613566,0,-1.1125122018624503,0.5515011945306145,1.9017971354656173,0.7393780183156994
2018-08-31,2018-09-30,2.332055105808828,2.2478688656552004,-8.418624015362752,8.418624015362752,0,-0.15728773338031785,0.42634120323335156,1.9415222379908585,0.787063948894102
2018-09-30,2018-10-31,2.492032470218053,2.489965358443136,-0.206711177491714,0.206711177491714,0,-0.036835782831125416,0.422377079916866,1.285260891368472,0.9759438242512478
2018-10-31,2018-11-30,2.147328577667773,2.3978938971895514,25.056531952177828,25.056531952177828,1,0.28339897892892435,0.1535903262679713,1.444142934468621,0.9719786196266947
2018-11-30,2018-12-31,2.0023809043401064,2.0886066995921215,8.622579525201512,8.622579525201512,0,-2.3935676056560777,0.9507859222298074,0.9859905274316841,1.057737744221453
2018-12-31,2019-01-31,1.4875893578291333,1.7164055384761068,22.88161806469735,22.88161806469735,0,-0.6505099932229492,0.8842979947982738,0.9066324952597139,0.9195688220888908
2019-01-31,2019-02-28,1.5188615351321877,1.340342368545966,-17.85191665862218,17.85191665862218,0,-2.1311542476021876,0.5645436855347182,1.3125951668706983,1.107226485072093
2019-02-28,2019-03-31,1.8831863513063984,1.6922492366823083,-19.09371146240901,19.09371146240901,0,1.6927847174919162,1.1943569967633596,1.4704197135268606,1.344236176759922
2019-03-31,2019-04-30,2.000583470209061,1.82754556426048,-17.303790594858093,17.303790594858093,0,1.9510706612363067,1.5201058879414833,1.3937104091244024,1.3861993698381678
2019-04-30,2019-05-31,1.7959105553606136,2.015151607118626,21.92410517580123,21.92410517580123,0,1.5609214442583157,0.24070286308768218,1.4696759644113382,1.4331214467874598
2019-05-31,2019-06-30,1.671194894390049,1.894519490560198,22.332459617014912,22.332459617014912,0,-0.813517900336299,1.2330686119719116,1.572931215068014,1.4295316748413651
2019-06-30,2019-07-31,1.826331335037068,1.7585533455859337,-6.7777989451134335,6.7777989451134335,0,-1.173851271944093,1.3129481270822108,1.3757277265321746,1.4447053956974494
2019-07-31,2019-08-31,1.7376412106666406,1.8330934809190456,9.54522702524052,9.54522702524052,0,0.46444500650804116,0.8290731797959832,1.2867891932568425,0.9092217177714071
2019-08-31,2019-09-30,1.6844977040391562,1.7206173236898104,3.611961965065414,3.611961965065414,0,-0.38087190657518216,0.8260158468873972,1.3912386212204062,0.8050912853979628
2019-09-30,2019-10-31,1.7339736996186297,1.6049280390257217,-12.9045660592908,12.9045660592908,0,0.10366736609827887,0.5103769088661781,1.5625992347106397,0.4178140622188053
2019-10-31,2019-11-30,2.092290394862917,2.015461206210456,-7.68291886524608,7.68291886524608,0,0.858894989239724,0.7106128622787543,1.9134412250024366,0.47628314175602016
2019-11-30,2019-12-31,2.3195274699624457,2.2195821387952175,-9.994533116722826,9.994533116722826,0,0.6617513226844643,0.48917285355582485,1.5537224104957807,0.8595166210330154
2019-12-31,2020-01-31,2.599767976845202,2.6366453883920116,3.687741154680957,3.687741154680957,0,0.6863789468119081,0.07684070993175499,1.6824898854047248,0.9119852711719202
2020-01-31,2020-02-29,2.3413166797595197,2.4422521361116556,10.093545635213584,10.093545635213584,0,-0.006885887203230908,0.30404004607064666,1.7469180232224566,1.009439159387833
