origin,target,actual,persistence,bls_native_cbdf,truf_weighted_cbdf,committee,committee_lo80,committee_hi80,err_persistence_bp,err_bls_native_bp,err_trufw_bp,err_committee_bp,actual_in_80
2018-01-31,2018-02-28,2.263468931091861,2.151318868063945,2.2161534981347097,2.2311205189291528,2.2236370085319312,2.0317519995626876,2.449950026358061,-11.215006302791597,-4.731543295715124,-3.234841216270823,-3.9831922559929733,True
2018-02-28,2018-03-31,2.3309497646499366,2.263468931091861,2.504958051017514,2.510223952329804,2.507591001673659,2.2553767972834726,2.722078796473264,-6.748083355807566,17.400828636757737,17.927418767986758,17.664123702372247,True
2018-03-31,2018-04-30,2.4709963021052994,2.3309497646499366,2.4066005094218745,2.399797938856718,2.4031992241392963,2.153490321194431,2.629540108561088,-14.004653745536277,-6.439579268342488,-7.119836324858131,-6.779707796600309,True
2018-04-30,2018-05-31,2.781921607842497,2.4709963021052994,2.753036115334906,2.817862239333735,2.7854491773343204,2.54619815045517,3.0384588947782842,-31.092530573719745,-2.888549250759098,3.594063149123805,0.35275694918235345,True
2018-05-31,2018-06-30,2.8075506935940187,2.781921607842497,2.907217968696796,2.935755712964516,2.921486840830656,2.7054147154645825,3.141072802801037,-2.5629085751521785,9.966727510277718,12.820501937049755,11.393614723663736,True
2018-06-30,2018-07-31,2.854124785561929,2.8075506935940187,2.995530775564448,3.0069155475830778,3.001223161573763,2.7915404622453632,3.224960245969599,-4.657409196791029,14.140599000251886,15.279076202114883,14.709837601183384,True
2018-07-31,2018-08-31,2.6429238568742575,2.854124785561929,2.641776421982356,2.628503229516932,2.635139825749644,2.401248418178592,2.847821792302472,21.12009286876715,-0.11474348919016109,-1.4420627357325522,-0.7784031124613566,True
2018-08-31,2018-09-30,2.332055105808828,2.6429238568742575,2.291146580999448,2.2045911503109528,2.2478688656552004,2.0271080876192116,2.5027399489581925,31.086875106542955,-4.09085248093799,-12.746395549787515,-8.418624015362752,True
2018-09-30,2018-10-31,2.492032470218053,2.332055105808828,2.46842721945979,2.5115034974264816,2.489965358443136,2.2897207889575877,2.7303874713043563,-15.997736440922505,-2.360525075826292,1.9471027208428637,-0.20671117749171408,True
2018-10-31,2018-11-30,2.147328577667773,2.492032470218053,2.408794873580189,2.386992920798914,2.3978938971895514,2.1774350067168635,2.614278710152267,34.47038925502799,26.146629591241588,23.96643431311407,25.056531952177828,False
2018-11-30,2018-12-31,2.0023809043401064,2.147328577667773,2.081359069739852,2.095854329444391,2.0886066995921215,1.8674357291924437,2.3165596326277083,14.494767332766667,7.897816539974567,9.347342510428458,8.622579525201512,True
2018-12-31,2019-01-31,1.4875893578291333,2.0023809043401064,1.7462712620782694,1.686539814873944,1.7164055384761068,1.4692010410453227,1.9477660504634642,51.47915465109732,25.868190424913617,19.895045704481085,22.88161806469735,True
2019-01-31,2019-02-28,1.5188615351321877,1.4875893578291333,1.3686101605945522,1.3120745764973796,1.340342368545966,1.075050872574339,1.566820465375458,-3.1272177303054427,-15.025137453763548,-20.67869586348081,-17.85191665862218,True
2019-02-28,2019-03-31,1.8831863513063984,1.5188615351321877,1.6677458579185789,1.7167526154460377,1.6922492366823083,1.4625424592386005,1.9761425426236223,-36.432481617421075,-21.544049338781956,-16.64337358603607,-19.09371146240901,True
2019-03-31,2019-04-30,2.000583470209061,1.8831863513063984,1.8390313503519051,1.8160597781690546,1.8275455642604799,1.5590555968207709,2.061763385215687,-11.739711890266236,-16.155211985715567,-18.452369204000618,-17.303790594858093,True
2019-04-30,2019-05-31,1.7959105553606136,2.000583470209061,2.0015699822951483,2.0287332319421036,2.015151607118626,1.7778397535342272,2.2297916814632135,20.46729148484472,20.565942693453465,23.282267658149003,21.924105175801234,True
2019-05-31,2019-06-30,1.671194894390049,1.7959105553606136,1.8932584089832227,1.8957805721371734,1.894519490560198,1.6215966136198134,2.1450157686261595,12.471566097056463,22.206351459317375,22.458567774712446,22.332459617014912,True
2019-06-30,2019-07-31,1.826331335037068,1.671194894390049,1.747456434490191,1.7696502566816763,1.7585533455859337,1.493423116941659,1.9971259069915148,-15.513644064701904,-7.887490054687696,-5.668107835539171,-6.7777989451134335,True
