reference_date,headline_yoy,sticky_yoy,flex_yoy,sticky_p_high,flex_p_high,sticky_minus_flex_gap
2011-01-31,1.7007834915029774,0.9835337415527112,0.7172497499502661,0.9930846049374132,0.983847940237933,0.009236664699480257
2011-02-28,2.124898173333145,1.124445592146106,1.000452581187039,0.9882420032860806,0.9988874060514421,-0.010645402765361522
2011-03-31,2.619241510354109,1.2097851736773357,1.4094563366767732,0.9338724910734025,0.9999948551946467,-0.06612236412124417
2011-04-30,3.0772344447868694,1.3155392125784537,1.7616952322084156,0.6937547751001362,0.9999999380790117,-0.3062451629788755
2011-05-31,3.4589718808964998,1.4540961794335727,2.004875701462927,0.29731067408797707,0.9999999968642099,-0.7026893227762329
2011-06-30,3.5023181506360412,1.5836776766096738,1.9186404740263674,0.0706557423063549,0.9999999906123176,-0.9293442483059627
2011-07-31,3.5798809769996165,1.741483445742964,1.8383975312566525,0.009882111463740737,0.999999974977203,-0.9901178635134623
2011-08-31,3.75499603070808,1.9651571719433658,1.789838858764714,0.0010797078489640903,0.9999999555518417,-0.9989202477028777
2011-09-30,3.812621692818685,1.9877227562006272,1.824898936618058,0.00013378212023528146,0.9999999705282487,-0.9998661884080134
2011-10-31,3.5222681306640524,2.1079204796465634,1.414347651017489,3.4390613217222654e-05,0.9999974366337397,-0.9999630460205226
2011-11-30,3.451432214581729,2.138204538395394,1.3132276761863348,2.500981340864014e-05,0.9999056076739155,-0.9998805978605068
2011-12-31,3.062066838419386,2.276662633858506,0.78540420456088,3.7132826361462266e-05,0.9847605735907796,-0.9847234407644182
2012-01-31,3.0087663379855023,2.2773481506083826,0.7314181873771197,3.7484793345366244e-05,0.9294229436222267,-0.9293854588288812
2012-02-29,2.8981784423473878,2.1598204405657295,0.7383580017816582,2.6541667167660448e-05,0.7764686249265363,-0.7764420832593687
2012-03-31,2.5828752813320977,2.2483374654291177,0.33453781590297993,3.499645974631591e-05,0.33577209906511973,-0.3357371026053734
2012-04-30,2.2731633741348567,2.314427851801515,-0.041264477666658195,4.5543032629770557e-05,0.10162116023297255,-0.10157561720034278
2012-05-31,1.7379429374660749,2.252258280361308,-0.514315342895233,3.546477896925288e-05,0.0397631887488406,-0.03972772396987134
2012-06-30,1.653870448297634,2.192285611289857,-0.5384151629922229,2.6304047720651084e-05,0.017076871837071128,-0.017050567789350476
2012-07-31,1.4175114798464783,2.109955687378462,-0.6924442075319837,1.968057009659482e-05,0.00841250968723797,-0.008392829117141376
2012-08-31,1.6859349154821235,1.9352524993137443,-0.24931758383162084,1.6027823798422945e-05,0.0025905947144340114,-0.0025745668906355886
2012-09-30,1.9497168982819613,2.0082434834909124,-0.058526585208951154,1.5922840576140236e-05,0.0011088634934329888,-0.0010929406528568486
2012-10-31,2.1556780595369363,1.9946491483669337,0.1610289111700025,1.575118084209373e-05,0.0008243909578052903,-0.0008086397769631966
2012-11-30,1.7960197033926262,1.9528512686261434,-0.15683156523351727,1.557076410534425e-05,0.0005571469943312106,-0.0005415762302258664
2012-12-31,1.7595049796895523,1.8996943778720743,-0.14018939818252196,1.5825686025620336e-05,0.0004952407313605417,-0.0004794150453349213
2013-01-31,1.684061762098299,1.9098022178631435,-0.22574045576484458,1.5762636989754115e-05,0.0005007448099767979,-0.00048498217298704376
2013-02-28,2.0181404902574807,1.9887385214485631,0.029401968808917545,1.5841969423948986e-05,0.0005661094051532139,-0.000550267435729265
2013-03-31,1.5187472411246183,1.8890221377988237,-0.3702748966742053,1.7034223481289033e-05,0.000645032506379297,-0.000627998282898008
2013-04-30,1.138808047576867,1.715558856294086,-0.5767508087172191,2.5420822441200718e-05,0.000837933321915106,-0.0008125124994739053
2013-05-31,1.3903888279197085,1.6455519491850756,-0.2551631212653671,3.462349089682682e-05,0.0006267914510439395,-0.0005921679601471127
2013-06-30,1.7157935271568725,1.6230952474272975,0.092698279729575,3.7743813917346506e-05,0.0006972988087453043,-0.0006595549948279578
2013-07-31,1.885471805415806,1.7002217680567089,0.18525003735909706,2.7855091676442913e-05,0.000837818671177131,-0.000809963579500688
2013-08-31,1.538809488600279,1.782107690904433,-0.2432982023041541,2.1234423892672506e-05,0.0008949235481160486,-0.000873689124223376
2013-09-30,1.0947341081747997,1.7519368418314363,-0.6572027336566366,2.252895193056947e-05,0.001748172621108529,-0.0017256436691779596
2013-10-31,0.8767991434911471,1.686837731144819,-0.810038587653672,2.7068929218222728e-05,0.002352400412780242,-0.0023253314835620193
2013-11-30,1.2328701961954458,1.7416677473738762,-0.5087975511784304,2.3849895211625103e-05,0.0012789016098774689,-0.0012550517146658437
2013-12-31,1.5128383667573297,1.7408566188369834,-0.22801825207965365,2.6075945517247844e-05,0.0006972009345645391,-0.0006711249890472913
2014-01-31,1.557758795574915,1.6070344358370292,-0.04927564026211417,4.460497271709729e-05,0.0005830078958053625,-0.0005384029230882652
2014-02-28,1.1204746347724948,1.5548073904948723,-0.4343327557223775,5.636938763424017e-05,0.0006450565410061163,-0.0005886871533718761
2014-03-31,1.6126949139408042,1.6456609706435588,-0.03296605670275454,3.6930195279279435e-05,0.0006393973024219053,-0.0006024671071426259
2014-04-30,2.015125303606169,1.8210555250137483,0.19406977859242058,1.9937996107662777e-05,0.0008952522011637981,-0.0008753142050561353
2014-05-31,2.166947687079812,1.9455269618362525,0.2214207252435596,1.6024612075366195e-05,0.0011026104128777797,-0.0010865858008024135
2014-06-30,2.0589816945944195,1.9228626526676562,0.13611904192676327,1.5868806774417835e-05,0.0013321607129345775,-0.0013162919061601595
2014-07-31,1.9742378703305974,1.8449632290063356,0.1292746413242618,1.753321030018329e-05,0.0023017144250214974,-0.0022841812147213142
2014-08-31,1.7150983482969062,1.73639560289498,-0.021297254598073856,2.227176683007043e-05,0.005382743017312508,-0.005360471250482437
2014-09-30,1.6840509711232077,1.7409458883681284,-0.056894917244920684,2.2251352256227565e-05,0.017278353873715895,-0.017256102521459666
