date,cpi_yoy,log_vol_smoothed,prob_high_regime,regime_label
2011-01-31,1.7007834915029774,-0.84544164,0.062116393212670144,low-vol
2011-02-28,2.124898173333145,-0.7696547,0.047554888686914,low-vol
2011-03-31,2.619241510354109,-0.5424107,0.047765693121243735,low-vol
2011-04-30,3.0772344447868694,-0.312557,0.056425153197102236,low-vol
2011-05-31,3.4589718808964998,-0.08858835,0.06704356570912229,low-vol
2011-06-30,3.5023181506360412,0.077982575,0.07367338042863394,low-vol
2011-07-31,3.5798809769996165,0.15885015,0.0796474564812148,low-vol
2011-08-31,3.75499603070808,0.2022134,0.08525981717713496,low-vol
2011-09-30,3.812621692818685,0.17015143,0.08668687697021851,low-vol
2011-10-31,3.5222681306640524,0.04970487,0.08108404031015161,low-vol
2011-11-30,3.451432214581729,-0.10651963,0.0743887056764294,low-vol
2011-12-31,3.062066838419386,-0.3448493,0.0643071572416357,low-vol
2012-01-31,3.0087663379855023,-0.60416436,0.057383650066187654,low-vol
2012-02-29,2.8981784423473878,-0.8725228,0.04954408360908634,low-vol
2012-03-31,2.5828752813320977,-1.2132863,0.038850172201885996,low-vol
2012-04-30,2.2731633741348567,-1.5373608,0.030063151942278418,low-vol
2012-05-31,1.7379429374660749,-1.7808175,0.02653042017958898,low-vol
2012-06-30,1.653870448297634,-1.9471948,0.027349723624933382,low-vol
2012-07-31,1.4175114798464783,-2.0281868,0.030295276383402996,low-vol
2012-08-31,1.6859349154821235,-2.2605145,0.025099607669225612,low-vol
2012-09-30,1.9497168982819613,-2.462343,0.020878888038062107,low-vol
2012-10-31,2.1556780595369363,-2.5214767,0.020382588923859246,low-vol
2012-11-30,1.7960197033926262,-2.529997,0.020645937409343906,low-vol
2012-12-31,1.7595049796895523,-2.4749587,0.022244523152855904,low-vol
2013-01-31,1.684061762098299,-2.361343,0.025065139118355485,low-vol
2013-02-28,2.0181404902574807,-2.2246177,0.02812301849651666,low-vol
2013-03-31,1.5187472411246183,-1.965271,0.03870212194339924,low-vol
2013-04-30,1.138808047576867,-1.6984715,0.04997732687065648,low-vol
2013-05-31,1.3903888279197085,-1.7038436,0.043458725863107485,low-vol
2013-06-30,1.7157935271568725,-1.7333262,0.035046904134474435,low-vol
2013-07-31,1.885471805415806,-1.677931,0.034186288183849445,low-vol
2013-08-31,1.538809488600279,-1.5038261,0.043015093383398276,low-vol
2013-09-30,1.0947341081747997,-1.2916749,0.05904107678568493,low-vol
2013-10-31,0.8767991434911471,-1.1759921,0.0669981776741725,low-vol
2013-11-30,1.2328701961954458,-1.2713791,0.05650367406043416,low-vol
2013-12-31,1.5128383667573297,-1.4137373,0.04575958013052834,low-vol
2014-01-31,1.557758795574915,-1.5405755,0.042080479084829606,low-vol
2014-02-28,1.1204746347724948,-1.5638027,0.04464226489207735,low-vol
2014-03-31,1.6126949139408042,-1.8050957,0.032010589928761435,low-vol
2014-04-30,2.015125303606169,-2.0054102,0.02348835808262828,low-vol
2014-05-31,2.166947687079812,-2.0859826,0.02026090953138627,low-vol
2014-06-30,2.0589816945944195,-2.1275282,0.01852686986238673,low-vol
2014-07-31,1.9742378703305974,-2.0365684,0.018797288908018975,low-vol
2014-08-31,1.7150983482969062,-1.8357645,0.021652792842738654,low-vol
2014-09-30,1.6840509711232077,-1.5419225,0.026271612583670306,low-vol
2014-10-31,1.6095417021513292,-1.2059757,0.035139705770527316,low-vol
2014-11-30,1.231524989320798,-0.7600661,0.05227718732694411,low-vol
2014-12-31,0.6531213919623191,-0.27176422,0.07741839955146843,low-vol
2015-01-31,-0.22993097820542818,0.12754418,0.10292599235521514,low-vol
2015-02-28,-0.08703146293520536,0.33851972,0.10559413773682133,low-vol
2015-03-31,-0.022031284423873476,0.44806936,0.10095401458692142,low-vol
2015-04-30,-0.10403098939391064,0.51509666,0.094571921938051,low-vol
2015-05-31,0.03503321824429584,0.5417256,0.0855001905948303,low-vol
2015-06-30,0.1795718097550525,0.54223764,0.0773926501213473,low-vol
2015-07-31,0.22568611104094582,0.5089906,0.07260861426417553,low-vol
2015-08-31,0.2413037985344868,0.4627327,0.07071324989827643,low-vol
2015-09-30,0.008842961634170088,0.44470602,0.07083537995424372,low-vol
2015-10-31,0.12761656067050708,0.34357473,0.06694271579606231,low-vol
2015-11-30,0.4363182169185187,0.18478188,0.059264936221565395,low-vol
2015-12-31,0.6387247515364791,0.013010922,0.05133746606686807,low-vol
2016-01-31,1.2375025026943876,-0.17352624,0.043763302458230346,low-vol
2016-02-29,0.8472775790126619,-0.2973201,0.04428602077026403,low-vol
2016-03-31,0.8916160965521946,-0.400886,0.04399546832605789,low-vol
2016-04-30,1.1726257503534843,-0.53733623,0.042510503265505234,low-vol
2016-05-31,1.0784764621246223,-0.6426348,0.04489099621668912,low-vol
