date,yoy,p_high
2011-01-31,0.9835337415527112,0.9930846049374132
2011-02-28,1.124445592146106,0.9882420032860806
2011-03-31,1.2097851736773357,0.9338724910734025
2011-04-30,1.3155392125784537,0.6937547751001362
2011-05-31,1.4540961794335727,0.29731067408797707
2011-06-30,1.5836776766096738,0.0706557423063549
2011-07-31,1.741483445742964,0.009882111463740737
2011-08-31,1.9651571719433658,0.0010797078489640903
2011-09-30,1.9877227562006272,0.00013378212023528146
2011-10-31,2.1079204796465634,3.4390613217222654e-05
2011-11-30,2.138204538395394,2.500981340864014e-05
2011-12-31,2.276662633858506,3.7132826361462266e-05
2012-01-31,2.2773481506083826,3.7484793345366244e-05
2012-02-29,2.1598204405657295,2.6541667167660448e-05
2012-03-31,2.2483374654291177,3.499645974631591e-05
2012-04-30,2.314427851801515,4.5543032629770557e-05
2012-05-31,2.252258280361308,3.546477896925288e-05
2012-06-30,2.192285611289857,2.6304047720651084e-05
2012-07-31,2.109955687378462,1.968057009659482e-05
2012-08-31,1.9352524993137443,1.6027823798422945e-05
2012-09-30,2.0082434834909124,1.5922840576140236e-05
2012-10-31,1.9946491483669337,1.575118084209373e-05
2012-11-30,1.9528512686261434,1.557076410534425e-05
2012-12-31,1.8996943778720743,1.5825686025620336e-05
2013-01-31,1.9098022178631435,1.5762636989754115e-05
2013-02-28,1.9887385214485631,1.5841969423948986e-05
2013-03-31,1.8890221377988237,1.7034223481289033e-05
2013-04-30,1.715558856294086,2.5420822441200718e-05
2013-05-31,1.6455519491850756,3.462349089682682e-05
2013-06-30,1.6230952474272975,3.7743813917346506e-05
2013-07-31,1.7002217680567089,2.7855091676442913e-05
2013-08-31,1.782107690904433,2.1234423892672506e-05
2013-09-30,1.7519368418314363,2.252895193056947e-05
2013-10-31,1.686837731144819,2.7068929218222728e-05
2013-11-30,1.7416677473738762,2.3849895211625103e-05
2013-12-31,1.7408566188369834,2.6075945517247844e-05
2014-01-31,1.6070344358370292,4.460497271709729e-05
2014-02-28,1.5548073904948723,5.636938763424017e-05
