date,yoy,p_high
2011-01-31,1.1234446334258408,0.004319599732023745
2011-02-28,1.2119043892404369,0.0013502781558411153
2011-03-31,1.2145703792183493,0.0003772483060745754
2011-04-30,1.3947001394700065,5.489366256356884e-05
2011-05-31,1.5235611430609364,9.573855339916243e-06
2011-06-30,1.5863290518787654,4.871974272421996e-06
2011-07-31,1.7344517595160758,5.488653145323939e-06
2011-08-31,1.8396305158310478,7.83460753877279e-06
2011-09-30,1.8508219696126815,8.286862242839919e-06
2011-10-31,1.744721966171725,6.442984986229653e-06
2011-11-30,1.8278615794143915,1.0978880879345463e-05
2011-12-31,1.9749609110768507,3.0442410270421193e-05
2012-01-31,2.0614792192271914,5.726908859494878e-05
2012-02-29,2.0258477852645562,5.6125278316531993e-05
2012-03-31,2.044845423362407,5.108938183365531e-05
2012-04-30,1.9653370013755112,2.7280476848264413e-05
2012-05-31,1.826744683887549,1.0704952372962756e-05
2012-06-30,1.8192584794552102,7.684794227512174e-06
2012-07-31,1.7738650548584145,6.033765831034121e-06
2012-08-31,1.6359225422913903,4.562038209483135e-06
2012-09-30,1.6916020530741482,5.163474520049559e-06
2012-10-31,1.889449210819305,9.334941549222216e-06
2012-11-30,1.7830690135935745,6.453115343363312e-06
2012-12-31,1.6898651587646807,4.8119964494766745e-06
2013-01-31,1.5915867078657886,4.277578179360349e-06
2013-02-28,1.5601316530249987,4.312601438275486e-06
2013-03-31,1.4807449119659477,4.890166000004113e-06
2013-04-30,1.3770626261318197,6.4543535705655515e-06
2013-05-31,1.3929168238908884,6.183511667414099e-06
2013-06-30,1.4636510500807942,5.066078859851877e-06
2013-07-31,1.4879607514040272,4.691288944549238e-06
2013-08-31,1.5332509004892136,4.390473417470801e-06
2013-09-30,1.529226044094134,4.428920744714103e-06
2013-10-31,1.4548181477315403,4.942649611358305e-06
2013-11-30,1.5142597249719225,4.503553887818146e-06
2013-12-31,1.5473618923369736,4.393161310355804e-06
2014-01-31,1.4524615006989983,5.1427425355622754e-06
2014-02-28,1.3901177975587542,6.082181831643803e-06
2014-03-31,1.447423075694143,5.193653920595028e-06
2014-04-30,1.5712658483877373,4.3220075384089715e-06
2014-05-31,1.62365625697789,4.262041442516775e-06
2014-06-30,1.5635448842467259,4.2397877895533735e-06
2014-07-31,1.6103213221808854,4.2356997346251375e-06
2014-08-31,1.5397485995065185,4.310877715372579e-06
