date,log_cpi_x100,level_smoothed,log_vol_smoothed,prob_high_regime
2010-01-01,538.2143676592892,537.7529,6.193868,0.0067404042168890035
2010-02-01,538.1191446716147,537.54175,5.7618146,0.0031247013011424267
2010-03-01,538.1522759962044,537.53357,5.015718,0.0025089136854384727
2010-04-01,538.175277403992,537.8455,4.9625173,0.001486704113735991
2010-05-01,538.1232866875345,538.11786,4.651022,0.001060304214179001
2010-06-01,538.0813983997616,538.2891,4.4297857,0.0010971115399057596
2010-07-01,538.2681492658975,538.42847,3.9642785,0.001111907682194081
2010-08-01,538.4141789386214,538.5932,3.7732694,0.0011696874583163337
2010-09-01,538.5755735696871,538.4765,3.0357685,0.001126675172391713
2010-10-01,538.9231534398666,539.0352,2.8024023,0.0011802908461209956
2010-11-01,539.17621712579,539.2678,2.6335618,0.0011280744433313419
2010-12-01,539.5770702696749,539.50226,2.8221238,0.0010300466484420478
2011-01-01,539.9008497577555,539.91534,2.8429317,0.0009421248395040599
2011-02-01,540.221781682898,540.2903,2.9178696,0.0009679474146935071
2011-03-01,540.7378028214637,540.7454,3.2277658,0.0009232351573856747
2011-04-01,541.2061144263693,541.14966,3.0121095,0.0009479046801235332
2011-05-01,541.5237808054812,541.46606,3.3818424,0.0009493052567826556
2011-06-01,541.5237808054812,541.60004,3.3030596,0.0009774699992284182
2011-07-01,541.7854418573477,541.743,3.6414425,0.001003349014245326
2011-08-01,542.1003915862387,541.85077,3.9237776,0.0012815250578129386
2011-09-01,542.3173109318271,542.4321,3.3919244,0.0011328684923326922
2011-10-01,542.3848088995246,542.2435,3.478663,0.0011280331799084344
2011-11-01,542.5694233875741,542.5055,3.0851893,0.0010622003988096343
2011-12-01,542.5931914117709,542.7551,3.1397266,0.0012500782703372861
2012-01-01,542.8652406274972,542.9375,3.0838654,0.0010581985465879184
2012-02-01,543.0787571311839,542.95807,3.5330355,0.0010524661287239572
2012-03-01,543.2878853443237,543.2787,3.7157214,0.0010120427538178004
2012-04-01,543.4538264209313,543.2793,3.2556255,0.0012965835421058726
2012-05-01,543.246794243903,543.35724,2.5085642,0.0012493826813456295
2012-06-01,543.1641237641455,543.17126,2.497326,0.0009853058247100682
2012-07-01,543.1930005871957,543.24243,2.4634109,0.0009696157842582234
2012-08-01,543.7722723615079,543.79095,1.3374145,0.000936366524961581
2012-09-01,544.2482643478538,544.2398,0.8776535,0.0009161703635145036
2012-10-01,544.5175808232938,544.51404,1.1110584,0.0009159000209728938
2012-11-01,544.3495052058861,544.3261,1.0319897,0.0009617166309499454
2012-12-01,544.3373963123214,544.3642,1.0343666,0.0009822436941786337
2013-01-01,544.5352792889694,544.55664,0.75901604,0.0009690255494183993
2013-02-01,545.0768030738649,545.0684,0.39929426,0.0009307292299255032
2013-03-01,544.7952150764696,544.7925,0.633469,0.0009362344830053606
2013-04-01,544.5861988630356,544.6015,0.7593583,0.0010476521601870666
2013-05-01,544.6276058381145,544.5453,1.3160466,0.0014703084102024107
2013-06-01,544.86536379031,544.9029,1.2893561,0.0011182474029195297
2013-07-01,545.0609176890296,545.0609,1.6893238,0.0009459455222036746
2013-08-01,545.2993622521666,545.2964,1.7210823,0.000912947815945355
