date,cpi_yoy,level_smoothed,log_vol_smoothed,prob_high_regime,regime_label
2011-01-31,1.7007834915029774,1.6907461,-1.6875656,0.000915215538216162,low-vol
2011-02-28,2.124898173333145,2.1201155,-1.4245538,0.00017784861074594328,low-vol
2011-03-31,2.619241510354109,2.631179,-1.3535442,0.00016309747561044018,low-vol
2011-04-30,3.0772344447868694,3.0712895,-1.4661416,0.00015519425039633005,low-vol
2011-05-31,3.4589718808964998,3.4792042,-1.5594023,0.0001986836603474712,low-vol
2011-06-30,3.5023181506360412,3.4855423,-1.6220556,0.0001855150666323478,low-vol
2011-07-31,3.5798809769996165,3.5914197,-1.4163452,0.00016332335397584356,low-vol
2011-08-31,3.75499603070808,3.7625618,-1.4502872,0.0001557332537269396,low-vol
2011-09-30,3.812621692818685,3.8185885,-1.6542983,0.00015575192456222144,low-vol
2011-10-31,3.5222681306640524,3.502256,-1.6325406,0.00020125469558477047,low-vol
2011-11-30,3.451432214581729,3.4650867,-1.812462,0.00017798002322613537,low-vol
2011-12-31,3.062066838419386,3.0653472,-1.7617104,0.00015257056826974575,low-vol
2012-01-31,3.0087663379855023,2.9992654,-1.8039819,0.00016375126832475351,low-vol
2012-02-29,2.8981784423473878,2.9176323,-1.5977575,0.00020113795537960013,low-vol
2012-03-31,2.5828752813320977,2.5495498,-1.3975251,0.00028477663389088145,low-vol
2012-04-30,2.2731633741348567,2.274976,-1.3115282,0.00015488406039775975,low-vol
2012-05-31,1.7379429374660749,1.7479702,-1.4887066,0.0001597488516324126,low-vol
2012-06-30,1.653870448297634,1.6565412,-1.4062396,0.00015130538168382229,low-vol
2012-07-31,1.4175114798464783,1.429131,-1.4058086,0.000165402168438281,low-vol
2012-08-31,1.6859349154821235,1.6554468,-1.335761,0.0002474465485660275,low-vol
2012-09-30,1.9497168982819613,1.9581777,-1.5684906,0.00016064344997721497,low-vol
2012-10-31,2.1556780595369363,2.1573741,-1.7926886,0.00015065701444756527,low-vol
2012-11-30,1.7960197033926262,1.7911686,-1.6279626,0.000152470863528848,low-vol
2012-12-31,1.7595049796895523,1.7630745,-1.6068107,0.00015134812610273986,low-vol
2013-01-31,1.684061762098299,1.6802236,-1.63338,0.00015188744461926582,low-vol
2013-02-28,2.0181404902574807,2.0078335,-1.5975904,0.00016162944627673577,low-vol
2013-03-31,1.5187472411246183,1.5272754,-1.3937626,0.00015689068920591694,low-vol
2013-04-30,1.138808047576867,1.1322727,-1.2196876,0.0001598542710622353,low-vol
2013-05-31,1.3903888279197085,1.4329404,-1.1934099,0.0003493049222358153,low-vol
2013-06-30,1.7157935271568725,1.6969165,-1.0283527,0.00018257453293755736,low-vol
2013-07-31,1.885471805415806,1.8491093,-0.6592563,0.0002195595274467739,low-vol
2013-08-31,1.538809488600279,1.5807736,-0.46426946,0.00022560353920352092,low-vol
2013-09-30,1.0947341081747997,1.0878307,-0.4225995,0.0001550984263595786,low-vol
2013-10-31,0.8767991434911471,0.90942323,-0.34524387,0.00018532390930337756,low-vol
2013-11-30,1.2328701961954458,1.2349087,-0.60756826,0.00015150868070397364,low-vol
2013-12-31,1.5128383667573297,1.4952407,-0.38289356,0.00015980953495579235,low-vol
2014-01-31,1.557758795574915,1.561637,-0.417275,0.0001509028305283648,low-vol
2014-02-28,1.1204746347724948,1.1357329,-0.19344063,0.00015718891485536367,low-vol
2014-03-31,1.6126949139408042,1.6508847,-0.03407575,0.0001861613319261311,low-vol
2014-04-30,2.015125303606169,2.0109396,-0.00032360712,0.00016641413664695933,low-vol
2014-05-31,2.166947687079812,2.0554566,0.22951004,0.000601824143342032,low-vol
2014-06-30,2.0589816945944195,2.062981,-0.1209952,0.00016547294776237244,low-vol
2014-07-31,1.9742378703305974,1.9590062,-0.36414137,0.00015966943735840362,low-vol
2014-08-31,1.7150983482969062,1.7552102,-0.38254097,0.00021044262688868872,low-vol
2014-09-30,1.6840509711232077,1.6562133,-0.44069692,0.00017982759260404228,low-vol
2014-10-31,1.6095417021513292,1.6112695,-0.56438464,0.0001509631036393741,low-vol
2014-11-30,1.231524989320798,1.2336805,-0.6433516,0.00015032429479105517,low-vol
2014-12-31,0.6531213919623191,0.64134175,-0.8212139,0.00015746117511851698,low-vol
2015-01-31,-0.22993097820542818,-0.20938207,-0.8678824,0.0001734532448751352,low-vol
2015-02-28,-0.08703146293520536,-0.07185524,-1.0589986,0.00016566417447900578,low-vol
2015-03-31,-0.022031284423873476,-0.031428758,-1.4683633,0.0001588176465482743,low-vol
2015-04-30,-0.10403098939391064,-0.10998931,-1.5089998,0.00015365667202415682,low-vol
2015-05-31,0.03503321824429584,0.03969079,-1.692412,0.00015249401920270644,low-vol
2015-06-30,0.1795718097550525,0.17909364,-1.806427,0.00015033560668499608,low-vol
2015-07-31,0.22568611104094582,0.23491697,-1.7904675,0.00016104937143598272,low-vol
2015-08-31,0.2413037985344868,0.23931071,-1.9251229,0.00015119100733472068,low-vol
2015-09-30,0.008842961634170088,-0.0004188031,-1.828205,0.00016184344307051358,low-vol
2015-10-31,0.12761656067050708,0.13537669,-1.7757857,0.00015794687572474883,low-vol
2015-11-30,0.4363182169185187,0.43643147,-1.9476638,0.00015021726341858034,low-vol
2015-12-31,0.6387247515364791,0.6347007,-2.137593,0.00015283262664774066,low-vol
2016-01-31,1.2375025026943876,1.2353489,-2.2921839,0.00015143642657961017,low-vol
2016-02-29,0.8472775790126619,0.8550061,-2.450268,0.00016550764431524513,low-vol
2016-03-31,0.8916160965521946,0.8870703,-2.6693861,0.000158315992945179,low-vol
2016-04-30,1.1726257503534843,1.1623154,-2.8420224,0.0001942230860980125,low-vol
2016-05-31,1.0784764621246223,1.082686,-2.7897208,0.00015757845755964603,low-vol
2016-06-30,1.0792865347959424,1.0786316,-2.883346,0.0001504235757799138,low-vol
