date,yoy,p_high
2011-01-31,1.7007834915029774,0.00439577894809019
2011-02-28,2.124898173333145,0.0013153834483262267
2011-03-31,2.619241510354109,0.0010436186543413828
2011-04-30,3.0772344447868694,0.0022308425665761556
2011-05-31,3.4589718808964998,0.00531962456541176
2011-06-30,3.5023181506360412,0.008843841378167346
2011-07-31,3.5798809769996165,0.012725138714693602
2011-08-31,3.75499603070808,0.016032489388327697
2011-09-30,3.812621692818685,0.01578775527417429
2011-10-31,3.5222681306640524,0.010826178518317929
2011-11-30,3.451432214581729,0.0062488542026454385
2011-12-31,3.062066838419386,0.0025180963380101225
2012-01-31,3.0087663379855023,0.0011483393237358033
2012-02-29,2.8981784423473878,0.0006126663064782521
2012-03-31,2.5828752813320977,0.0003610187356017503
2012-04-30,2.2731633741348567,0.0002841941989993539
2012-05-31,1.7379429374660749,0.00031551090937904014
2012-06-30,1.653870448297634,0.00035628191609676297
2012-07-31,1.4175114798464783,0.0004259760879765752
2012-08-31,1.6859349154821235,0.00033991909347547513
2012-09-30,1.9497168982819613,0.0002782381403725753
2012-10-31,2.1556780595369363,0.000262046154053324
2012-11-30,1.7960197033926262,0.00029024231501756874
2012-12-31,1.7595049796895523,0.00030541989699940794
2013-01-31,1.684061762098299,0.0003209279403988489
2013-02-28,2.0181404902574807,0.0003078483150843433
2013-03-31,1.5187472411246183,0.0004601791106626001
2013-04-30,1.138808047576867,0.0006978153600661492
2013-05-31,1.3903888279197085,0.0005393455786634035
2013-06-30,1.7157935271568725,0.0003746990145137922
2013-07-31,1.885471805415806,0.00035303144128551834
2013-08-31,1.538809488600279,0.0005619861414508315
2013-09-30,1.0947341081747997,0.0011098680071563642
2013-10-31,0.8767991434911471,0.0014862951403616315
2013-11-30,1.2328701961954458,0.0009585926697291372
2013-12-31,1.5128383667573297,0.0005865181274354257
2014-01-31,1.557758795574915,0.0005186630751975714
2014-02-28,1.1204746347724948,0.0006942341157844726
2014-03-31,1.6126949139408042,0.00042153998565731257
2014-04-30,2.015125303606169,0.00029155853065915407
2014-05-31,2.166947687079812,0.0002764797030733067
2014-06-30,2.0589816945944195,0.0003538813448768895
2014-07-31,1.9742378703305974,0.0007686971992636819
2014-08-31,1.7150983482969062,0.002838538947818909
2014-09-30,1.6840509711232077,0.011816296898263697
2014-10-31,1.6095417021513292,0.05051082636622494
2014-11-30,1.231524989320798,0.20761230807807102
2014-12-31,0.6531213919623191,0.6181208365475832
2015-01-31,-0.22993097820542818,0.9758436242797929
2015-02-28,-0.08703146293520536,0.9974100521022208
2015-03-31,-0.022031284423873476,0.9995616995418006
2015-04-30,-0.10403098939391064,0.9998568028459013
2015-05-31,0.03503321824429584,0.9997920818491203
