model,n,rmse,mae,rmse_reduction_vs_headline_persistence_pct,directional_accuracy
headline_persistence,180,0.06429906034811085,0.036267094444444446,0.0,0.0
component_median_return_7d,180,0.3511484989999337,0.30935976277294075,-446.117621468866,0.5388888888888889
component_median_return_30d,180,0.35321520724864464,0.3116717706386304,-449.3318336790008,0.5333333333333333
component_index_persistence,180,0.3533930545350668,0.31142167463004194,-449.60842759104133,0.5333333333333333
