snapshot_date,token_type,base_date,index_value,matched_series,eligible_series,observations,min_usd_per_1m,median_usd_per_1m,mean_usd_per_1m,max_usd_per_1m,p10_usd_per_1m,p25_usd_per_1m,p75_usd_per_1m,p90_usd_per_1m,models,providers,sources
2025-02-08,input,2025-02-08,100.0,1,1,1,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,1,1,1
2025-02-08,output,2025-02-08,100.0,1,1,1,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,1,1,1
2026-06-05,cache_read,2026-06-05,100.0,53,53,53,0.005,0.15,1.199301886792453,37.5,0.025,0.05,0.5,1.25,53,5,1
2026-06-05,input,2025-02-08,192.85714285714286,1,111,111,0.035,1.25,5.9170945945945945,150.0,0.1,0.26,3.0,15.0,111,10,1
2026-06-05,output,2025-02-08,392.8571428571429,1,111,111,0.04,6.0,25.614144144144145,600.0,0.3,1.15,15.0,60.0,111,10,1
