origin,horizon_months,horizon_days_label,target_date,point,lo80,hi80,lo95,hi95,actual,error_pp,in_80,in_95,width80_pp,width95_pp,sigma_low,sigma_high,p_high_at_origin
2018-01-31,1,30,2018-02-28,2.0133964688405315,1.6763863530036853,2.3423711742086706,1.520210306520153,2.558016861389563,2.271594,-0.2581975311594684,True,True,0.6659848212049853,1.03780655486941,0.6121623516082764,2.129448175430298,0.023132216440095506
2018-01-31,3,90,2018-04-30,2.024178534556227,1.3902599550764199,2.6407716432041113,1.1196012069412205,2.948048548281236,2.945273,-0.9210944654437729,False,True,1.2505116881276914,1.8284473413400155,0.6121623516082764,2.129448175430298,0.023132216440095506
2018-04-30,1,30,2018-05-31,2.9226726884603673,2.604379505799748,3.2426248691846062,2.4532555798619926,3.4218499154514,3.232325,-0.3096523115396326,True,True,0.6382453633848582,0.9685943355894073,0.2867718040943146,0.872239887714386,0.018449600938482722
2018-04-30,3,90,2018-07-31,2.9020153484416924,2.3514617190899094,3.5631838989922913,2.0577360063978527,3.8254603605653443,2.984984,-0.08296865155830746,True,True,1.2117221799023818,1.7677243541674916,0.2867718040943146,0.872239887714386,0.018449600938482722
2018-07-31,1,30,2018-08-31,2.9703247808069726,2.686187338532232,3.2549176779702655,2.5382514520820516,3.427792163014209,2.747882,0.22244278080697244,True,True,0.5687303394380336,0.8895407109321574,1.3109979629516602,2.426132917404175,0.15282650325436414
2018-07-31,3,90,2018-10-31,2.9584897006833297,2.4770256090738787,3.5565121383263394,2.17580659113013,3.778761311686092,2.586418,0.3720717006833296,True,True,1.0794865292524607,1.602954720555962,1.3109979629516602,2.426132917404175,0.15282650325436414
2018-10-31,1,30,2018-11-30,1.9867053811089654,0.9929457855828361,3.268356212228587,0.1833201461093776,3.7811015174964417,2.367167,-0.38046161889103436,True,True,2.2754104266457507,3.597781371387064,0.0003145147056784481,1.583801507949829,1.0
2018-10-31,3,90,2019-01-31,2.1075596040778843,0.8751830215170912,3.2498847824160073,0.061856739212694085,4.046612548517267,2.025613,0.08194660407788446,True,True,2.3747017608989163,3.9847558093045725,0.0003145147056784481,1.583801507949829,1.0
2019-01-31,1,30,2019-02-28,2.0046308877987906,1.7087551905306617,2.324784182570336,1.555191992111635,2.4900162883550583,1.771173,0.2334578877987905,True,True,0.6160289920396742,0.9348242962434232,0.8871349096298218,3.1482107639312744,0.18748886563443237
2019-01-31,3,90,2019-04-30,1.991994701646386,1.4492978149156175,2.634830808973427,1.1362881204694253,2.8891576421896406,1.745719,0.2462757016463859,True,True,1.1855329940578094,1.7528695217202153,0.8871349096298218,3.1482107639312744,0.18748886563443237
2019-04-30,1,30,2019-05-31,1.718946513909788,1.4316517042839765,2.024373009136294,1.2683744522032345,2.200455514922335,1.535205,0.183741513909788,True,True,0.5927213048523177,0.9320810627191003,0.46002131700515747,1.9966992139816284,0.016096938600268576
2019-04-30,3,90,2019-07-31,1.7076823776687364,1.1885106922179163,2.306505824488038,0.8896448526650534,2.5570981995654964,1.875242,-0.16755962233126365,True,True,1.1179951322701216,1.6674533469004431,0.46002131700515747,1.9966992139816284,0.016096938600268576
2019-07-31,1,30,2019-08-31,1.8572338778610042,1.5342205261813129,2.1642282279151566,1.3398368213514182,2.3530867247383833,1.73968,0.11755387786100435,True,True,0.6300077017338437,1.013249903386965,1.1459307670593262,3.1284899711608887,0.03396104241848655
