horizon_months,horizon_days_label,n,rmse_phase2,rmse_persistence,rmse_reduction_pct,mae_phase2,mae_persistence,mae_reduction_pct,bias_phase2
1,30,32,3.0808,0.4764,-546.74,1.5786,0.3711,-325.32,-1.0456
3,90,32,3.1831,1.4542,-118.89,1.9798,0.9804,-101.93,-0.8569
