origin,horizon_days,target_date,point,lo80,hi80,lo95,hi95,actual,error_pp,in_80,in_95,width80_pp,width95_pp
2018-01-01,1,2018-01-02,1.92192258566727,1.9037730846864902,1.9438401566699641,1.8978813507623775,2.371917030805583,1.926629,-0.004706414332730002,True,True,0.04006707198347392,0.4740356800432053
2018-01-01,7,2018-01-08,1.892387920259832,1.8468641941049417,2.3724326276062193,1.8312606753638354,2.806486283278921,1.866866,0.02552192025983202,True,True,0.5255684335012776,0.9752256079150854
2018-01-01,14,2018-01-15,1.8856200499823632,1.788842120102469,2.3662447004410283,1.7553246707866614,2.7821877103547528,1.831053,0.05456704998236317,True,True,0.5774025803385594,1.0268630395680913
2018-01-01,30,2018-01-31,2.3758104818226946,1.882806717664877,2.9830053576894997,1.8060121231421038,3.4200344418024144,2.04058,0.33523048182269477,True,True,1.1001986400246226,1.6140223186603107
2018-01-01,90,2018-04-01,2.580889473059812,1.635697185336568,3.5176728817090566,1.1855134698534575,4.160109917258117,2.763042,-0.1821525269401878,True,True,1.8819756963724885,2.974596447404659
2018-01-31,1,2018-02-01,1.6375776939101496,1.6269856390757478,1.652900132372889,1.6248959572543422,1.668733155203458,2.240248,-0.6026703060898502,False,False,0.025914493297141128,0.04383719794911589
2018-01-31,7,2018-02-07,1.6715361079652626,1.6443761050855623,1.709034818974057,1.6319486932976277,1.7352359501769712,2.286368,-0.6148318920347373,False,False,0.06465871388849465,0.10328725687934348
2018-01-31,14,2018-02-14,1.6715826793349566,1.6285234811047324,1.716979160284883,1.6112283478093194,1.7298403931602178,2.236863,-0.5652803206650434,False,False,0.08845567918015051,0.11861204535089831
2018-01-31,30,2018-03-02,1.582101491400464,1.5199693026111185,1.6634620120498291,1.5005275007835308,1.70678900070643,2.613357,-1.031255508599536,False,False,0.14349270943871062,0.2062614999228991
2018-01-31,90,2018-05-01,1.2203696057985183,1.1076040243321397,1.3288126008497327,1.0665258164956606,1.3932275548137223,3.14393,-1.9235603942014818,False,False,0.22120857651759307,0.3267017383180617
2018-03-02,1,2018-03-03,2.6178314745584026,2.5969103613855133,2.635628998704948,2.5916648297087126,3.2296819770881453,2.615546,0.002285474558402445,True,True,0.03871863731943481,0.6380171473794327
2018-03-02,7,2018-03-09,2.6752287419286653,2.6226730478702716,3.294287931909565,2.5997597219853525,3.8599684183234886,2.651786,0.023442741928665356,True,True,0.6716148840392933,1.260208696338136
2018-03-02,14,2018-03-16,3.2213578297276064,2.609993512292705,4.318931509421323,2.5782990559635697,4.513290204475198,2.622209,0.5991488297276066,True,True,1.708937997128618,1.9349911485116285
2018-03-02,30,2018-04-01,3.5265181085460013,2.413178580350663,4.686156473463318,2.338418244570364,5.630973083195107,2.763042,0.7634761085460013,True,True,2.272977893112655,3.292554838624743
2018-03-02,90,2018-05-31,5.346284984091249,3.7280546785780717,7.423899304410497,3.060816265144256,8.212303972163191,3.232325,2.1139599840912493,False,True,3.6958446258324256,5.151487707018935
2018-04-01,1,2018-04-02,2.7626071798131435,2.7524454553127975,2.785439562504106,2.7413055880497095,3.0707430782386758,2.773905,-0.011297820186856544,True,True,0.032994107191308686,0.3294374901889663
2018-04-01,7,2018-04-08,2.7553188850423194,2.7102051574635233,3.057826828332877,2.6927560727848223,3.3568500473465748,2.737962,0.01735688504231936,True,True,0.3476216708693536,0.6640939745617525
2018-04-01,14,2018-04-15,2.7554759830335573,2.666072944312068,3.0593175612160883,2.622494064162602,3.317479522280222,2.761961,-0.006485016966442547,True,True,0.39324461690402046,0.6949854581176198
2018-04-01,30,2018-05-01,2.719640680148534,2.403269842713167,3.1753419493953294,2.356561321405301,3.4426816885741798,3.14393,-0.4242893198514661,True,True,0.7720721066821623,1.0861203671688786
2018-04-01,90,2018-06-30,3.2189164340178555,2.633805345016309,3.877060086512061,2.363585136614945,4.271147549655948,3.056649,0.16226743401785537,True,True,1.2432547414957518,1.9075624130410032
2018-05-01,1,2018-05-02,3.149942466689809,3.1395043783638608,3.180151073305809,3.1334001893768058,3.6322530856209454,3.133951,0.015991466689808664,False,True,0.04064669494194817,0.49885289624413964
2018-05-01,7,2018-05-08,3.253729356458895,3.1914745687087374,3.735746658809188,3.1751601512791914,4.1817126167195955,3.137437,0.11629235645889535,False,False,0.5442720901004505,1.006552465440404
2018-05-01,14,2018-05-15,3.31893217498998,3.231136314631001,3.8084862184800214,3.1947519183245707,4.2621049596376865,3.13075,0.18818217498998013,False,False,0.5773499038490204,1.0673530413131158
2018-05-01,30,2018-05-31,3.8169345371771466,3.341363308595474,4.528928281717517,3.288521433997341,4.965252241660753,3.232325,0.5846095371771467,False,False,1.1875649731220435,1.6767308076634122
2018-05-01,90,2018-07-30,4.954585074215306,4.0279144084064065,6.000193608352454,3.682144106717736,6.864340676006497,3.006322,1.9482630742153058,False,False,1.9722791999460476,3.1821965692887613
2018-05-31,1,2018-06-01,2.9205511962219295,2.899018284719421,2.9411911175604684,2.894808531844237,2.9558360376667747,3.195488,-0.2749368037780706,False,False,0.04217283284104756,0.0610275058225378
2018-05-31,7,2018-06-07,2.9170514576827595,2.8701883461531925,2.9807031152136516,2.8580059930029322,3.0035614468549783,3.100378,-0.18332654231724055,False,False,0.1105147690604591,0.14555545385204605
2018-05-31,14,2018-06-14,2.996937913717321,2.9183385036456007,3.072869775368043,2.8767853597024007,3.128477797229354,3.108585,-0.11164708628267928,False,True,0.1545312717224423,0.25169243752695314
2018-05-31,30,2018-06-30,3.1014851824417295,3.001255961944804,3.2293533587791563,2.9432681827355567,3.3117767925927013,3.056649,0.04483618244172938,True,True,0.22809739683435248,0.3685086098571446
2018-05-31,90,2018-08-29,2.8744092644158865,2.692288284914239,3.1116743722593116,2.594359659952837,3.198643654852068,2.818905,0.05550426441588652,True,True,0.41938608734507277,0.6042839948992307
