horizon_days,n,rmse_bu,rmse_persist,rmse_reduction_pct,mae_bu,mae_persist,mae_reduction_pct,dm_statistic,dm_pvalue
1,102,0.0905,0.0905,0.0,0.0375,0.0375,0.0,,
7,102,0.1837,0.1835,-0.06,0.1313,0.1238,-6.04,-0.007,0.9948
14,101,0.3086,0.3048,-1.27,0.2317,0.2196,-5.52,-0.122,0.9026
30,101,0.4717,0.5954,20.78,0.365,0.4197,13.04,1.237,0.2162
90,99,1.5901,1.4442,-10.11,1.1927,0.9827,-21.37,-0.55,0.5822
