horizon_days,n,rmse,mae,mean_err,cov_80,cov_95,width80,width95
1,102,0.08994736969504609,0.038697615445251424,-0.012509081408633594,0.8921568627450981,0.9019607843137255,0.12159667734184078,0.17288176486580165
7,102,0.18269873475481946,0.12896704530965836,-0.043978890504359124,0.7450980392156863,0.8921568627450981,0.3630367001227773,0.5913581514060602
14,101,0.29188654720001334,0.21042717890195803,0.010796966803020358,0.7524752475247525,0.8811881188118812,0.5477662061343922,0.9050906165129293
30,101,0.5473267420703172,0.4124798926648993,-0.09595465511898334,0.6732673267326733,0.801980198019802,0.8935762538296789,1.447351879125122
90,99,1.3838989668604225,1.0508391344074393,-0.4308954344442824,0.6060606060606061,0.797979797979798,1.9441942807723354,3.035090471428565
