horizon_days,n,rmse_bu,rmse_persist,rmse_reduction_pct,mae_bu,mae_persist,mae_reduction_pct,dm_statistic,dm_pvalue
1,102,0.0899,0.0899,0.0,0.0387,0.0387,0.0,,
7,102,0.1827,0.1843,0.88,0.129,0.1249,-3.22,0.083,0.9342
14,101,0.2919,0.3063,4.7,0.2104,0.2206,4.63,0.534,0.5937
30,101,0.5473,0.5977,8.43,0.4125,0.4213,2.09,0.627,0.5304
90,99,1.3839,1.4462,4.31,1.0508,0.9855,-6.63,0.266,0.7904
