origin,horizon_days,target_date,point,lo80,hi80,lo95,hi95,actual,error_pp,in_80,in_95,width80_pp,width95_pp
2018-01-01,1,2018-01-02,1.910436405966988,1.8921285936756809,1.9319725894099264,1.8865156493015915,2.3635962950978486,1.926629,-0.016192594033011876,True,True,0.039843995734245574,0.4770806457962571
2018-01-01,7,2018-01-08,1.8792449696140372,1.8343413339541852,2.3505944849219276,1.8180597047683937,2.776777208893429,1.866866,0.012378969614037283,True,True,0.5162531509677424,0.9587175041250351
2018-01-01,14,2018-01-15,1.8739924874017115,1.776518100676318,2.3451511572975328,1.7420826126181665,2.757121307952136,1.831053,0.042939487401711496,True,True,0.5686330566212148,1.0150386953339694
2018-01-01,30,2018-01-31,2.3530078051853045,1.8710951535998104,2.955357382791358,1.794054553433091,3.390243023288344,2.04058,0.31242780518530466,True,True,1.0842622291915476,1.596188469855253
2018-01-01,90,2018-04-01,2.5554521225734774,1.6102702011789642,3.501497889619666,1.172273481922889,4.153017559303753,2.763042,-0.20758987742652257,True,True,1.8912276884407018,2.980744077380864
2018-01-31,1,2018-02-01,1.6375264011128068,1.6270615706694715,1.6536655020763704,1.6250657374157187,1.6688252467962097,2.240248,-0.602721598887193,False,False,0.026603931406898873,0.043759509380491
2018-01-31,7,2018-02-07,1.6733138175745035,1.6454837829852011,1.7116819311842537,1.6318418368454188,1.7341441097310863,2.286368,-0.6130541824254965,False,False,0.06619814819905256,0.10230227288566751
2018-01-31,14,2018-02-14,1.6774471768868895,1.6339731457897813,1.7287603203616233,1.6154821430507513,1.7511899149075985,2.236863,-0.5594158231131106,False,False,0.09478717457184205,0.13570777185684713
2018-01-31,30,2018-03-02,1.6009228842183223,1.5315213060100743,1.6810741214627547,1.5113199638727028,1.72055698426024,2.613357,-1.0124341157816779,False,False,0.1495528154526804,0.2092370203875371
2018-01-31,90,2018-05-01,1.2801256046217815,1.1545275646622524,1.3844018816902595,1.1144579991047496,1.4664093678671077,3.14393,-1.8638043953782186,False,False,0.2298743170280071,0.3519513687623581
2018-03-02,1,2018-03-03,2.6178063585045437,2.6010930764046543,2.635265736763754,2.5919739807031834,3.2385575792835692,2.615546,0.002260358504543536,True,True,0.034172660359099716,0.6465835985803858
2018-03-02,7,2018-03-09,2.67704295826195,2.628036551770218,3.2870381605282657,2.603021269233415,3.855306843387958,2.651786,0.025256958261949958,True,True,0.6590016087580475,1.2522855741545427
