origin,horizon_days_label,target_date,actual,p1_point,point,hybrid_point,shift,lo80_hyb,hi80_hyb,lo95_hyb,hi95_hyb,hyb_error_pp,hyb_in_80,hyb_in_95,hyb_width80,hyb_width95
2018-01-31,30,2018-02-28,2.271594,1.5974121315010272,2.0133964688405315,1.5974121315010272,-0.41598433733950424,1.2604020156641809,1.9263868368691663,1.1042259691806489,2.142032524050059,-0.6741818684989727,False,False,0.6659848212049855,1.03780655486941
2018-01-31,90,2018-04-30,2.945273,1.2137883013000197,2.024178534556227,1.2137883013000197,-0.8103902332562072,0.5798697218202129,1.830381409947904,0.30921097368501327,2.137658315025029,-1.7314846986999801,False,False,1.2505116881276912,1.8284473413400155
2018-04-30,30,2018-05-31,3.232325,3.2462115301188215,2.9226726884603673,3.2462115301188215,0.32353884165845415,2.9279183474582022,3.5661637108430604,2.7767944215204468,3.745388757109854,0.013886530118821572,True,True,0.6382453633848582,0.9685943355894073
2018-04-30,90,2018-07-31,2.984984,3.913813674369844,2.9020153484416924,3.913813674369844,1.0117983259281518,3.363260045018061,4.5749822249204435,3.0695343323260045,4.837258686493495,0.9288296743698443,False,False,1.2117221799023823,1.7677243541674907
2018-07-31,30,2018-08-31,2.747882,2.751846501082565,2.9703247808069726,2.751846501082565,-0.2184782797244078,2.467709058807824,3.0364393982458577,2.319773172357644,3.209313883289801,0.003964501082564631,True,True,0.5687303394380336,0.8895407109321574
2018-07-31,90,2018-10-31,2.586418,2.3945129182504226,2.9584897006833297,2.3945129182504226,-0.5639767824329072,1.9130488266409715,2.9925353558934322,1.6118298086972227,3.2147845292531847,-0.19190508174957754,True,True,1.0794865292524607,1.602954720555962
2018-10-31,30,2018-11-30,2.367167,2.876056876955156,1.9867053811089657,2.876056876955156,0.8893514958461906,1.8822972814290266,4.157707708074778,1.0726716419555682,4.670453013342632,0.5088898769551564,True,True,2.275410426645751,3.5977813713870637
2018-10-31,90,2019-01-31,2.025613,2.395691522763853,2.1075596040778843,2.395691522763853,0.28813191868596855,1.1633149402030596,3.538016701101976,0.34998865789866257,4.334744467203235,0.370078522763853,True,True,2.3747017608989163,3.9847558093045725
2019-01-31,30,2019-02-28,1.771173,0.920784948885796,2.0046308877987906,0.920784948885796,-1.0838459389129946,0.6249092516176669,1.2409382436573413,0.4713460531986404,1.4061703494420636,-0.8503880511142041,False,False,0.6160289920396744,0.9348242962434232
2019-01-31,90,2019-04-30,1.745719,-0.12667981225312053,1.991994701646386,-0.12667981225312053,-2.1186745138995065,-0.6693766989838887,0.5161562950739205,-0.9823863934300812,0.7704831282901345,-1.8723988122531205,False,False,1.1855329940578092,1.7528695217202157
2019-04-30,30,2019-05-31,1.535205,1.6515952013918411,1.718946513909788,1.6515952013918411,-0.0673513125179468,1.3643003917660297,1.9570216966183474,1.2010231396852875,2.133104202404388,0.1163902013918412,True,True,0.5927213048523177,0.9320810627191003
2019-04-30,90,2019-07-31,1.875242,2.3947308394441915,1.7076823776687364,2.3947308394441915,0.6870484617754551,1.8755591539933716,2.993554286263493,1.5766933144405084,3.2441466613409515,0.5194888394441914,False,True,1.1179951322701214,1.6674533469004431
2019-07-31,30,2019-08-31,1.73968,1.8403219189763074,1.857233877861004,1.8403219189763074,-0.016911958884696654,1.5173085672966162,2.14731626903046,1.3229248624667216,2.336174765853687,0.10064191897630748,True,True,0.6300077017338439,1.0132499033869653
2019-07-31,90,2019-10-31,1.564772,1.703134420458586,1.864149789503351,1.703134420458586,-0.16101536904476488,1.1028530296389176,2.2920098384442333,0.8182390096155812,2.5409849109913463,0.13836242045858604,True,True,1.1891568088053157,1.722745901375765
2019-10-31,30,2019-11-30,1.817086,2.096066955806516,1.5457644331941198,2.096066955806516,0.5503025226123963,1.7622554845402152,2.4053222156427876,1.6077662435147526,2.5665151316792225,0.27898095580651616,True,True,0.6430667311025724,0.9587488881644699
2019-10-31,90,2020-01-31,2.084509,2.047223435990483,1.5546675541209114,2.047223435990483,0.49255588186957167,1.459396779927384,2.6421523385003702,1.1236203723101281,2.9690840355306882,-0.0372855640095171,True,True,1.1827555585729863,1.84546366322056
2020-01-31,30,2020-02-29,2.113084,1.209811601418386,2.0630378988416953,1.209811601418386,-0.8532262974233094,0.8893768329909462,1.5492247990507924,0.7227966314561007,1.7301443465764303,-0.9032723985816142,False,False,0.6598479660598462,1.0073477151203296
2020-01-31,90,2020-04-30,-0.387127,-0.23706934838926919,2.049504166502543,-0.23706934838926919,-2.2865735148918125,-0.8170690589999563,0.4493803542104544,-1.1515291363527533,0.7169640958833647,0.1500576516107308,True,True,1.2664494132104107,1.868493232236118
2020-04-30,30,2020-05-31,-0.574061,-1.271095959573317,1.6212917047377733,-1.271095959573317,-2.89238766431109,-3.032677841873148,0.6218499900877239,-4.866731842936546,2.7908278783407567,-0.6970349595733168,True,True,3.654527831960872,7.657559721277303
2020-04-30,90,2020-07-31,0.931351,-3.5404247677879104,1.719127833314991,-3.5404247677879104,-5.259552601102902,-5.1533410093180185,-1.6440262986154082,-7.698581131583108,0.4522777520422361,-4.471775767787911,False,False,3.5093147107026104,8.150858883625343
2020-07-31,30,2020-08-31,1.531062,1.2329320341749026,1.1557491390669383,1.2329320341749026,0.07718289510796428,-0.6721562435642108,3.567763705592508,-2.612741166453461,5.911521806093124,-0.2981299658250973,True,True,4.239919949156719,8.524262972546586
