origin,target,composed_point,actual,error_x,direct_point,error_y
2023-01-31,2023-02-28,6.048613578994482,5.50524,0.5433735789944825,6.120258,0.6150180000000001
2023-02-28,2023-03-31,5.420435516346231,4.459022,0.961413516346231,5.50524,1.0462179999999996
2023-03-31,2023-04-30,4.405284197149809,3.808613,0.5966711971498095,4.459022,0.6504090000000002
2023-04-30,2023-05-31,3.8088639598093,2.576366,1.2324979598093,3.808613,1.2322469999999996
2023-05-31,2023-06-30,2.614785164226718,1.917308,0.6974771642267179,2.576366,0.6590580000000001
2023-06-30,2023-07-31,1.9739895156154368,2.209099,-0.23510948438456336,1.917308,-0.29179100000000013
2023-07-31,2023-08-31,2.252777299599752,2.599403,-0.346625700400248,2.209099,-0.390304
2023-08-31,2023-09-30,2.5455824626005192,2.974192,-0.4286095373994807,2.599403,-0.3747889999999998
2023-09-30,2023-10-31,2.9233084456083858,2.235288,0.6880204456083856,2.974192,0.7389039999999998
2023-10-31,2023-11-30,2.196437586805349,2.287538,-0.0911004131946509,2.235288,-0.05224999999999991
2023-11-30,2023-12-31,2.2323063726030226,2.132149,0.10015737260302249,2.287538,0.155389
2023-12-31,2024-01-31,2.077977834260826,2.103293,-0.025315165739173917,2.132149,0.028856000000000215
2024-01-31,2024-02-29,1.982181048756362,2.298157,-0.31597595124363775,2.103293,-0.19486399999999993
2024-02-29,2024-03-31,2.194987166453893,2.814718,-0.6197308335461069,2.298157,-0.5165610000000003
2024-03-31,2024-04-30,2.7085334626283686,3.095306,-0.3867725373716313,2.814718,-0.28058799999999984
2024-04-30,2024-05-31,3.288224895573879,2.946508,0.34171689557387896,3.095306,0.14879799999999976
2024-05-31,2024-06-30,3.209483600119667,2.412976,0.7965076001196669,2.946508,0.5335320000000001
2024-06-30,2024-07-31,2.7524675400750924,2.058553,0.6939145400750926,2.412976,0.35442300000000015
2024-07-31,2024-08-31,2.4123789656889114,2.041457,0.37092196568891156,2.058553,0.017096
2024-08-31,2024-09-30,2.4599081763763673,1.898507,0.5614011763763673,2.041457,0.1429499999999999
2024-09-30,2024-10-31,2.4791920137858283,2.166893,0.31229901378582836,1.898507,-0.268386
2024-10-31,2024-11-30,2.7493109036329764,2.705893,0.04341790363297626,2.166893,-0.5390000000000001
2024-11-30,2024-12-31,2.9789468440234725,3.073084,-0.09413715597652761,2.705893,-0.36719100000000005
2024-12-31,2025-01-31,3.3602149148958067,2.700759,0.6594559148958066,3.073084,0.372325
2025-01-31,2025-02-28,3.144161094269485,2.17459,0.9695710942694853,2.700759,0.5261690000000003
2025-02-28,2025-03-31,2.591653883925693,1.75835,0.833303883925693,2.17459,0.4162399999999997
2025-03-31,2025-04-30,1.9551078383730853,1.570095,0.3850128383730853,1.75835,0.18825500000000006
2025-04-30,2025-05-31,1.439322908392058,2.064027,-0.6247040916079418,1.570095,-0.4939319999999998
2025-05-31,2025-06-30,1.9584443265689013,2.257989,-0.2995446734310985,2.064027,-0.19396199999999997
2025-06-30,2025-07-31,2.1753321076415304,2.038291,0.13704110764153032,2.257989,0.21969799999999973
2025-07-31,2025-08-31,2.024319965865171,2.314218,-0.28989803413482873,2.038291,-0.2759269999999998
2025-08-31,2025-09-30,2.3086731195610204,2.004224,0.3044491195610206,2.314218,0.3099940000000001
2025-09-30,2025-10-31,1.9164443266857216,2.435982,-0.5195376733142785,2.004224,-0.4317580000000003
2025-10-31,2025-11-30,2.112714790238902,2.317091,-0.20437620976109816,2.435982,0.11889100000000008
2025-11-30,2025-12-31,1.949457604979744,1.992949,-0.04349139502025601,2.317091,0.32414199999999993
2025-12-31,2026-01-31,1.750712439698056,1.23761,0.5131024396980559,1.992949,0.755339
2026-01-31,2026-02-28,1.3446596392865244,1.490284,-0.1456243607134755,1.23761,-0.25267399999999984
2026-02-28,2026-03-31,1.4544498716083094,1.727206,-0.2727561283916906,1.490284,-0.23692200000000008
2026-03-31,2026-04-30,2.086957578729275,1.82773,0.25922757872927504,1.727206,-0.10052400000000006
