method,n,crps,cov80,width80,crps_vs_naive_red_pct
copula_ar1,124,0.03126,0.76613,0.14771,1.04091
bvar_returns,124,0.11565,1.0,1.05211,-266.12638
naive_ar1_independent,124,0.03159,0.76613,0.14333,
