method,n,crps_log,cov80,cov95,width80_log,crps_vs_naive_ar1_red_pct
bvar,130,0.01498,0.75385,0.9,0.05692,0.0724
naive_ar1,130,0.01499,0.84615,0.93846,0.07223,
naive_rw,130,0.01492,0.73077,0.85385,0.0519,
