method,n,crps_log,cov80,cov95,width80_log,crps_vs_naive_ar1_red_pct
bvar,130,0.01458,0.66923,0.83077,0.0501,-5.92069
naive_ar1,130,0.01377,0.71538,0.90769,0.05451,
naive_rw,130,0.01459,0.63077,0.82308,0.04408,
