method,n,crps,cov80,width80,crps_vs_naive_red_pct
copula_ar1,130,0.01974,0.83846,0.10083,0.69405
bvar_returns,130,0.04872,0.99231,0.392,-145.10553
naive_ar1_independent,130,0.01988,0.8,0.09746,
