method,n,crps_log,cov80,cov95,width80_log,crps_vs_naive_ar1_red_pct
bvar,133,0.01174,0.71429,0.8797,0.04053,5.62949
naive_ar1,133,0.01244,0.69173,0.91729,0.04566,
naive_rw,133,0.01176,0.68421,0.82707,0.0368,
