regime,method,n,crps,cov80,width80,crps_vs_naive_ar1_red_pct
all,bvar_returns,130,0.02838,0.98462,0.21668,-106.10499
all,naive_ar1_returns,130,0.01377,0.71538,0.05451,
all,naive_rw_returns,130,0.01459,0.63077,0.04408,
stable,bvar_returns,54,0.02839,0.98148,0.23183,-186.92613
stable,naive_ar1_returns,54,0.00989,0.85185,0.05507,
stable,naive_rw_returns,54,0.00983,0.75926,0.0452,
covid,bvar_returns,24,0.02796,0.95833,0.20544,-16.03767
covid,naive_ar1_returns,24,0.0241,0.29167,0.05158,
covid,naive_rw_returns,24,0.02747,0.29167,0.04173,
ukraine_post,bvar_returns,24,0.02967,1.0,0.20614,-122.41203
ukraine_post,naive_ar1_returns,24,0.01334,0.75,0.05484,
ukraine_post,naive_rw_returns,24,0.01406,0.66667,0.04334,
recent,bvar_returns,28,0.02761,1.0,0.20612,-116.41172
recent,naive_ar1_returns,28,0.01276,0.78571,0.05568,
recent,naive_rw_returns,28,0.0132,0.64286,0.04456,
