target,n,bvar_rmse_log,naive_rmse_log,rmse_red_pct
log_fx_cnyusd,135,0.011491062783865323,0.011394712037871723,-0.8455742073460559
log_freight,135,0.028319120027666487,0.028411904835931378,0.3265701782428576
log_diesel,135,0.05109041802648686,0.050884890195591025,-0.4039073880396149
log_truf_clothing,135,0.016614997326837033,0.016568651487627945,-0.2797200438653391
log_truf_transport,135,0.012214999201868373,0.012529940515094925,2.513510042981759
