method,n,crps_log,cov80,cov95,width80_log,crps_vs_naive_ar1_red_pct
bvar,135,0.00607,0.74074,0.88889,0.02265,-4.91435
naive_ar1,135,0.00579,0.65926,0.86667,0.01976,
naive_rw,135,0.00608,0.7037,0.88148,0.02161,
