method,n,crps,cov80,width80,crps_vs_naive_red_pct
copula_ar1,135,0.00568,0.88148,0.03041,0.16645
bvar_returns,135,0.0073,0.88148,0.04047,-28.27749
naive_ar1_independent,135,0.00569,0.86667,0.02962,
