h,resp_log_fx_cnyusd,resp_log_freight,resp_log_diesel,resp_log_truf_clothing,resp_log_truf_transport
0,0.00999254177842045,0.000329213121441779,-0.0011042138293712836,-0.0022373042240646755,-0.0007729611349361163
1,0.009988644227159898,0.0003222205995611304,-0.0011482829377165635,-0.0022361855387382943,-0.0007731827146202025
2,0.009984747149647817,0.000315236871923472,-0.0011921780090394017,-0.0022350689928752505,-0.0007734037677616858
3,0.00998085054875191,0.0003082619224380483,-0.0012358997256269079,-0.002233954581040034,-0.0007736242976420737
4,0.009976954427327505,0.00030129573506466005,-0.00127944876705968,-0.0022328422978141475,-0.0007738443075288058
5,0.009973058788217597,0.0002943382938134705,-0.0013228258102225784,-0.002231732137796046,-0.00077406380067531
6,0.009969163634252905,0.00028738958274481284,-0.0013660315293154528,-0.0022306240956010736,-0.0007742827803210597
7,0.009965268968251919,0.00028044958596899777,-0.0014090665958638308,-0.002229518165861405,-0.0007745012496916301
8,0.00996137479302095,0.0002735182876461229,-0.0014519316787295607,-0.002228414343225983,-0.0007747192119987545
9,0.009957481111354168,0.00026659567198588204,-0.0014946274441214134,-0.002227312622360456,-0.0007749366704403798
10,0.009953587926033665,0.0002596817232473753,-0.0015371545556056418,-0.0022262129979471208,-0.000775153628200723
11,0.009949695239829495,0.00025277642573892043,-0.0015795136741164977,-0.0022251154646848593,-0.0007753700884503259
12,0.009945803055499722,0.0002458797638178645,-0.0016217054579667086,-0.0022240200172890805,-0.000775586054346111
13,0.009941911375790471,0.00023899172189039634,-0.0016637305628579096,-0.002222926650491659,-0.0007758015290314367
14,0.009938020203435968,0.0002321122844113601,-0.0017055896418910373,-0.0022218353590408766,-0.0007760165156361515
15,0.009934129541158595,0.00022524143588406904,-0.0017472833455766787,-0.0022207461377013633,-0.0007762310172766492
16,0.009930239391668936,0.0002183791608601203,-0.0017888123218453822,-0.002219658981254036,-0.0007764450370559235
17,0.009926349757665818,0.0002115254439392105,-0.001830177216057926,-0.002218573884496043,-0.0007766585780636213
18,0.009922460641836366,0.00020468026976895205,-0.0018713786710155445,-0.002217490842240701,-0.0007768716433760978
19,0.00991857204685604,0.00019784362304468982,-0.0019124173269701168,-0.0022164098493174396,-0.0007770842360564694
20,0.009914683975388692,0.00019101548850931915,-0.0019532938216343123,-0.0022153309005717428,-0.000777296359154668
21,0.009910796430086601,0.00018419585095310397,-0.0019940087901916953,-0.0022142539908650907,-0.0007775080157074939
22,0.009906909413590532,0.00017738469521349622,-0.0020345628653067934,-0.0022131791150749006,-0.0007777192087386689
23,0.009903022928529768,0.00017058200617495542,-0.0020749566771351203,-0.0022121062680944704,-0.0007779299412588895
24,0.009899136977522162,0.0001637877687687693,-0.002115190853333164,-0.002211035444832922,-0.0007781402162658795
