h,resp_log_fx_eurusd,resp_log_diesel,resp_log_freight,resp_log_truf_vehicle,resp_log_truf_transport
0,0.019227302325574416,-0.0002709918334035646,-0.0016063559557395275,-9.43177732899586e-05,0.0014041147021124712
1,0.01919106998788127,-0.00014024231337757953,-0.0015939938766296072,-9.432717771944065e-05,0.0014054769851387676
2,0.019154891827118787,-1.0302155319631596e-05,-0.0015816679290129444,-9.433597204819829e-05,0.0014068345787078638
3,0.019118767832296595,0.0001188326449285795,-0.0015693780033146337,-9.43441593257556e-05,0.0014081875037844456
4,0.019082697991990707,0.000247166073240658,-0.0015571239903215436,-9.435174258748469e-05,0.0014095357812420452
5,0.019046682294346393,0.0003747020972861626,-0.001544905781181008,-9.435872485466854e-05,0.001410879431863435
6,0.019010720727081074,0.0005014446666109065,-0.0015327232673995228,-9.436510913456333e-05,0.0014122184763410192
7,0.018974813277487203,0.0006273977127169094,-0.0015205763408414493,-9.437089842046067e-05,0.001413552935277223
8,0.018938959932435107,0.0007525651491420022,-0.0015084648937277194,-9.437609569174945e-05,0.0014148828291848823
9,0.018903160678375826,0.0008769508715390869,-0.0014963888186345492,-9.438070391397747e-05,0.0014162081784876292
10,0.01886741550134396,0.0010005587577550515,-0.001484348008492155,-9.438472603891281e-05,0.001417529003520277
11,0.01883172438696046,0.0011233926679093437,-0.0014723423565834763,-9.438816500460493e-05,0.0014188453245292042
12,0.018796087320435435,0.0012454564444722026,-0.0014603717565429008,-9.439102373544541e-05,0.001420157161672736
13,0.01876050428657093,0.0013667539123425512,-0.0014484361023549986,-9.439330514222863e-05,0.001421464535021523
14,0.01872497526976371,0.0014872888789255515,-0.0014365352883532576,-9.439501212221197e-05,0.0014227674645589218
15,0.018689500254007996,0.0016070651342098207,-0.0014246692092188254,-9.439614755917589e-05,0.00142406597018137
16,0.018654079222898228,0.0017260864508443162,-0.0014128377599792556,-9.439671432348369e-05,0.0014253600716987622
17,0.01861871215963178,0.0018443565842148823,-0.0014010408360072603,-9.4396715272141e-05,0.001426649788834823
18,0.01858339904701167,0.0019618792725204686,-0.0013892783330194639,-9.439615324885508e-05,0.0014279351412274795
19,0.018548139867449267,0.0020786582368490154,-0.0013775501470751667,-9.439503108409375e-05,0.0014292161484292312
20,0.018512934602966984,0.0021946971812530094,-0.001365856174575109,-9.439335159514417e-05,0.001430492829907519
21,0.01847778323520094,0.0023099997928247126,-0.0013541963122602422,-9.439111758617131e-05,0.0014317652050450924
22,0.01844268574540362,0.0024245697417710644,-0.001342570457210504,-9.438833184827621e-05,0.0014330332931403746
23,0.018407642114446527,0.0025384106814882582,-0.0013309785068435984,-9.438499715955389e-05,0.0014342971134078274
24,0.018372652322822806,0.0026515262486359924,-0.0013194203589137802,-9.438111628515112e-05,0.0014355566849783123
