method,n,crps,cov80,width80,crps_vs_naive_red_pct
copula_ar1,133,0.01615,0.72932,0.05968,-1.12469
bvar_returns,133,0.02875,0.76692,0.12005,-79.97538
naive_ar1_independent,133,0.01597,0.71429,0.05893,
