method,n,crps_log,cov80,cov95,width80_log,crps_vs_naive_ar1_red_pct
bvar,135,0.00407,0.82963,0.97037,0.01956,-12.71063
naive_ar1,135,0.00361,0.82222,0.94815,0.01632,
naive_rw,135,0.004,0.77778,0.94074,0.01731,
