method,n,crps,cov80,width80,crps_vs_naive_red_pct
copula_ar1,133,0.01252,0.84211,0.06592,-0.42726
bvar_returns,133,0.02237,0.93985,0.15415,-79.43079
naive_ar1_independent,133,0.01246,0.84211,0.06423,
