origin,target,pred,lo80,hi80,lo95,hi95,today,actual,error,naive_error,pred_up,actual_up
2026-01-15,2026-01-16,1.688574524039574,1.563043882105342,1.7305903680191896,1.5500962296999443,1.8295382651902747,1.695248,1.554225,0.134349524039574,0.14102300000000012,False,False
2026-01-16,2026-01-17,1.543489581392567,1.4133654014753267,1.5846040106482397,1.4040990758298166,1.683537761423713,1.554225,1.560975,-0.017485418607432912,-0.006750000000000034,False,True
2026-01-17,2026-01-18,1.5493834687602202,1.4207565038635588,1.5920159787149943,1.4115474625028115,1.6909837699576364,1.560975,1.577441,-0.028057531239779943,-0.01646600000000009,False,True
2026-01-18,2026-01-19,1.5655983163555456,1.4371848776369835,1.608453623645924,1.4279877009801543,1.707426403363495,1.577441,1.573616,-0.008017683644454321,0.0038250000000001894,False,False
2026-01-19,2026-01-20,1.5612800842783827,1.4333365490821173,1.6046242744251524,1.424165770112961,1.7036091886482723,1.573616,1.481162,0.08011808427838263,0.09245399999999981,False,False
2026-01-20,2026-01-21,1.4681793509203687,1.341895315201659,1.513248997628553,1.3328188836366932,1.6122795237801075,1.481162,1.421344,0.046835350920368723,0.05981800000000015,False,False
2026-01-21,2026-01-22,1.4073723246216323,1.283277548756461,1.4547196047164983,1.274325041753379,1.5538128890386105,1.421344,1.205998,0.2013743246216324,0.21534600000000004,False,False
2026-01-22,2026-01-23,1.2227763115087407,1.0942390912036974,1.2708087932631613,1.0700348879202881,1.3698684610359517,1.205998,1.214874,0.007902311508740656,-0.008876000000000106,True,True
2026-01-23,2026-01-24,1.2330514358117928,1.1034359078108305,1.267936684602821,1.079332584440431,1.379011243862423,1.214874,1.199785,0.03326643581179267,0.015088999999999908,True,False
2026-01-24,2026-01-25,1.217310413519878,1.0880696631113436,1.2524157212368363,1.0639438459837778,1.3636719030032458,1.199785,1.198817,0.018493413519877988,0.0009680000000000799,True,False
2026-01-25,2026-01-26,1.21691547294482,1.0874581572458577,1.2519038177514998,1.0633415852262755,1.3630376696707511,1.198817,1.204119,0.012796472944820003,-0.005301999999999918,True,True
2026-01-26,2026-01-27,1.2225018671689922,1.0927875281121904,1.2573502804850862,1.068681526117352,1.3683405910683915,1.204119,1.181249,0.041252867168992235,0.022869999999999946,True,False
2026-01-27,2026-01-28,1.1982239049278436,1.0763659663771696,1.234478017674529,1.0488662335106431,1.3469290382313002,1.181249,1.157854,0.04036990492784365,0.023395000000000055,True,False
2026-01-28,2026-01-29,1.175310012665404,1.053653142937725,1.2116630345583996,1.0261253488125512,1.324220261447217,1.157854,1.230182,-0.054871987334596195,-0.07232800000000017,True,True
2026-01-29,2026-01-30,1.2456332033099602,1.1261443153520987,1.3033169789295207,1.0983142033435425,1.3967554641652715,1.230182,1.230955,0.01467820330996017,-0.0007729999999999126,True,True
2026-01-30,2026-01-31,1.2454652264186947,1.1271672004668303,1.3038993155103906,1.099169638772952,1.39779322597773,1.230955,1.23761,0.007855226418694627,-0.0066550000000000775,True,True
2026-01-31,2026-02-01,1.2514243580189168,1.134013795884707,1.3104303508700317,1.105896321786937,1.4046492190829487,1.23761,0.857157,0.3942673580189169,0.38045300000000015,True,False
2026-02-01,2026-02-02,0.8753309520562444,0.7524409382002296,0.9344025795648147,0.62316535427134,1.0286791278762897,0.857157,0.947311,-0.07198004794375557,-0.09015400000000007,True,True
2026-02-02,2026-02-03,0.9620484727313969,0.8414532062311392,1.0355578972326072,0.7110282206116246,1.1176812700133114,0.947311,0.975157,-0.01310852726860312,-0.027846000000000037,True,True
2026-02-03,2026-02-04,0.9911286652329891,0.8673898605568204,1.0496500146398897,0.7386725386723505,1.0904842555719005,0.975157,0.933802,0.05732666523298913,0.04135500000000003,True,False
2026-02-04,2026-02-05,0.9503502055217463,0.8264647446442134,1.0088093905784958,0.6978274961127536,1.0495625661272454,0.933802,1.008104,-0.05775379447825357,-0.07430199999999987,True,True
2026-02-05,2026-02-06,1.0031064171246282,0.8806723930536681,1.0629740867029267,0.7512440067809985,1.1037367720503273,1.008104,0.993884,0.009222417124628235,0.0142199999999999,False,False
2026-02-06,2026-02-07,0.9880077445707954,0.8766445810730679,1.049157267785357,0.7372702080621807,1.0910398050755916,0.993884,0.859747,0.1282607445707954,0.13413699999999995,False,False
2026-02-07,2026-02-08,0.8565935231216826,0.7331188551978745,0.9132777863443728,0.6040093696047234,0.9286460781403152,0.859747,0.675072,0.18152152312168257,0.18467500000000003,False,False
2026-02-08,2026-02-09,0.6748616968926124,0.5393197405139036,0.7314196428296644,0.4220869294743352,0.74673549098993,0.675072,0.681088,-0.006226303107387587,-0.006016000000000021,False,True
2026-02-09,2026-02-10,0.6809015463946693,0.5453747019894053,0.737469682074165,0.42814211201474184,0.752789733335623,0.681088,0.736631,-0.05572945360533077,-0.05554300000000001,False,True
2026-02-10,2026-02-11,0.7358654551135742,0.5993581362095594,0.7906058160271532,0.48211368849636627,0.7964037904160456,0.736631,0.779135,-0.04326954488642587,-0.042503999999999986,False,True
2026-02-11,2026-02-12,0.7788282858692964,0.6428333865933201,0.8341173890079937,0.5255915786281232,0.8397094380166427,0.779135,0.743325,0.03550328586929641,0.03581000000000001,False,False
2026-02-12,2026-02-13,0.7533400322220263,0.6188426297442942,0.8102485068048152,0.5016081733965829,0.8152408852561575,0.743325,0.716305,0.03703503222202631,0.027020000000000044,True,False
2026-02-13,2026-02-14,0.7273614518111627,0.5928605755823252,0.7842660760044404,0.47562617758156156,0.78925995097434,0.716305,0.694146,0.0332154518111627,0.02215899999999993,True,False
