series_id,label,transform,n,log_lik_llt,log_lik_ll,delta_log_lik,aic_llt,aic_ll,delta_aic,sigma_mu_llt,sigma_delta_llt,sigma_delta_to_mu_ratio,sigma_mu_ll,verdict
CPIAUCSL,BLS Headline CPI,level,194,-239.6502388086357,-284.0506155975624,44.40037678892671,487.3004776172714,574.1012311951248,-86.80075357785341,0.728876661217712,5.2740843840964775e-20,7.235907890476271e-20,0.9427361753569516,σ_δ collapsed to zero — LLT degenerates to LL
CPILFESL,BLS Core CPI,level,194,-154.39679716282652,-240.1847501644353,85.78795300160877,316.79359432565303,486.3695003288706,-169.57590600321754,0.4706410697874968,4.307511555825347e-21,9.152434482101437e-21,0.7654493360914305,σ_δ collapsed to zero — LLT degenerates to LL
PCEPI,BEA Headline PCE,level,194,31.241304705552473,-70.12310342517132,101.3644081307238,-54.482609411104946,146.24620685034265,-200.7288162614476,0.1454450640405171,0.04518980814477951,0.31070018389816334,0.3009334981659312,LLT meaningfully better
PCEPILFE,BEA Core PCE,level,194,44.38192523111894,-44.919720379724104,89.30164561084305,-80.76385046223788,95.83944075944821,-176.6032912216861,0.1572418964481799,1.1510677546490506e-23,7.3203629607779e-23,0.26248313958124136,σ_δ collapsed to zero — LLT degenerates to LL
CPIAUCSL,BLS Headline CPI,yoy,182,-112.26062362277541,-108.72440897266141,-3.5362146501140046,232.52124724555082,223.44881794532282,9.07242930022801,0.37589972422789386,5.991591330480622e-09,1.5939334200820552e-08,0.3749001704709654,σ_δ collapsed to zero — LLT degenerates to LL
CPILFESL,BLS Core CPI,yoy,182,1.4062374434599656,-7.374606670594394,8.78084411405436,5.187525113080069,20.74921334118879,-15.56168822810872,5.016876176443892e-06,0.19574527044912485,39017.35353781867,0.21214892028192425,LLT meaningfully better
PCEPI,BEA Headline PCE,yoy,182,-47.585724665261864,-43.697679689707854,-3.88804497555401,103.17144933052373,93.39535937941571,9.77608995110802,0.2603523553975216,3.6293427511009266e-36,1.39401187500128e-35,0.25967985478075806,σ_δ collapsed to zero — LLT degenerates to LL
PCEPILFE,BEA Core PCE,yoy,182,34.8858305047815,37.40595319869508,-2.520122693913578,-61.771661009563005,-68.81190639739016,7.040245387827156,6.918447486536075e-16,0.11058799553941237,110511538711.68906,0.1630099991443185,Δ log-lik < 1 — extra parameter not worth it (prefer LL)
