month,mean,std,count
Jan,-0.652,0.3836,17
Feb,-0.5588,0.2996,17
Mar,-0.3192,0.1718,17
Apr,0.0001,0.1132,17
May,0.3953,0.3121,17
Jun,0.5877,0.322,16
Jul,0.5713,0.3076,16
Aug,0.4926,0.1553,16
Sep,0.2548,0.1006,16
Oct,0.1252,0.1092,16
Nov,-0.2501,0.1751,16
Dec,-0.6436,0.2129,16
