,nsa,sa,trend,sa_minus_nsa_pct
2010-01-31,100.0,99.8894386384544,100.216112549804,-0.11056136154560248
2010-02-28,100.54204,100.54045397162,100.500761886686,-0.0015774778192367833
2010-03-31,100.716178,100.780330449111,100.803160803707,0.06369627043532056
2010-04-30,100.805457,101.122745516508,101.107494454637,0.3147533139084002
2010-05-31,100.859215,101.365432629092,101.396490037922,0.5019051844613154
2010-06-30,100.98676099999999,101.722477164784,101.660042674877,0.728527341107621
2010-07-31,101.264814,101.855766186206,101.889456635377,0.5835710972678099
2010-08-31,102.482348,102.22667696194,102.078695692424,-0.24947812286658655
2010-09-30,103.151124,102.30931587025,102.257968147347,-0.8160920570773333
2010-10-31,102.966814,102.372751147569,102.453894549882,-0.5769459395247423
2010-11-30,103.010047,102.676661868729,102.682768448183,-0.3236433153661178
2010-12-31,103.066712,102.975104439625,102.932673612377,-0.08888181120495497
2011-01-31,103.283612,103.17716573531,103.189348689606,-0.10306210504141822
2011-02-28,103.433187,103.436362983307,103.425174100085,0.003070565066320974
2011-03-31,103.585681,103.650766190145,103.634565538168,0.06283222692238244
2011-04-30,103.54741,103.862989941269,103.849283658483,0.3047685512066467
2011-05-31,103.556142,104.064229579337,104.106414822743,0.49063973369827263
2011-06-30,103.671484,104.410644171412,104.443438403728,0.7129831105841866
2011-07-31,104.232553,104.838212541806,104.870599366707,0.5810656310087703
2011-08-31,105.867328,105.60875016858,105.336680690891,-0.24424705554105808
2011-09-30,106.676014,105.83465559921,105.767666064278,-0.7887043855894338
2011-10-31,106.772495,106.160245230228,106.125099066159,-0.5734152505961432
2011-11-30,106.712476,106.366187028176,106.411054196821,-0.3245065476917608
2011-12-31,106.732398,106.639094138492,106.655840282259,-0.08741850015213659
2012-01-31,107.0449,106.939995159591,106.88705408261,-0.0980007832311447
2012-02-29,107.077421,107.100884735858,107.135483891374,0.021912869808482505
2012-03-31,107.197864,107.263267949875,107.405077434489,0.06101236296556234
2012-04-30,107.36355,107.661846597712,107.702704708046,0.27783786742521244
2012-05-31,107.592567,108.095320711487,108.015715986978,0.4672755056462252
2012-06-30,107.528126,108.261584946135,108.316353741091,0.6821089266774827
2012-07-31,108.033908,108.650035413273,108.585311951908,0.5703092896287787
2012-08-31,109.043146,108.792304113434,108.834210659019,-0.23003911366056284
2012-09-30,109.901258,109.092506591746,109.074496486071,-0.7358891271781465
2012-10-31,109.967992,109.340612462843,109.336178922539,-0.5705110421194148
2012-11-30,109.992701,109.632902763013,109.64379816264,-0.3271110116543019
2012-12-31,110.033591,109.940555202447,110.023696089478,-0.08455217784630875
2013-01-31,110.56619,110.470872878707,110.441346606722,-0.08620819917283251
2013-02-28,110.816,110.870844233658,110.845066224628,0.04949125907631746
2013-03-31,111.171209,111.247515847008,111.173315374847,0.06863903675635719
2013-04-30,111.11019,111.382956204068,111.408108373677,0.24549161878670844
2013-05-31,111.115052,111.593721466222,111.59093547135,0.4307872404379465
2013-06-30,111.054819,111.747090153934,111.779699905569,0.623359850718419
2013-07-31,111.375966,111.982941262448,112.00061792189,0.5449786738083162
2013-08-31,112.522352,112.290346560676,112.257178012284,-0.206186091207905
2013-09-30,113.27665,112.517533314004,112.541592837605,-0.6701440111408719
2013-10-31,113.446301,112.819826945874,112.831888502228,-0.5522207851677785
2013-11-30,113.505543,113.126126780409,113.10827512867,-0.3342710933429971
2013-12-31,113.524501,113.425535835725,113.359072164907,-0.08717515902140205
2014-01-31,113.399931,113.33088265753,113.582217320553,-0.060889227939653345
2014-02-28,113.743391,113.84029554854,113.797964919059,0.08519576187067113
2014-03-31,113.913698,114.008025905669,114.047032415614,0.0828064643016102
2014-04-30,114.08771499999999,114.321632367714,114.346733434184,0.20503291499354148
2014-05-31,114.249734,114.699574572337,114.691957573086,0.3937344592303438
2014-06-30,114.450863,115.070728607721,115.047174864726,0.541599767335077
2014-07-31,114.800716,115.386032363923,115.393170877852,0.5098542799358396
2014-08-31,115.966162,115.748195858992,115.713452823673,-0.18795667395459237
2014-09-30,116.645235,115.953999673423,116.008096561402,-0.5925962827174169
2014-10-31,116.95357699999998,116.349094786362,116.298722798303,-0.5168565418379512
2014-11-30,116.979039,116.575334037888,116.590181912336,-0.3451088037336292
2014-12-31,116.950955,116.835397361481,116.885491083858,-0.0988086318055248
2015-01-31,117.31052,117.274746993204,117.200727942768,-0.030494287124460673
2015-02-28,117.302954,117.434832687232,117.521852410968,0.11242571711536087
2015-03-31,117.698562,117.840724588519,117.821328963484,0.12078532320471957
2015-04-30,117.964613,118.165099993427,118.063042588378,0.16995519955378402
2015-05-31,117.79454,118.205545598452,118.248435385964,0.348917359371681
2015-06-30,117.872204,118.394792224309,118.406612768012,0.4433515337585403
2015-07-31,118.012277,118.573036436188,118.586002406,0.4751704233179055
2015-08-31,118.726616,118.527660947252,118.828399629131,-0.16757409538902257
2015-09-30,119.721775,119.106861918227,119.116142907833,-0.5136184138374134
2015-10-31,120.030688,119.473956902784,119.418860655794,-0.46382396576448714
2015-11-30,120.118514,119.690909397784,119.721248468971,-0.35598559121036155
2015-12-31,120.143462,119.99614813168,120.013713828333,-0.1226149686946787
2016-01-31,120.30234,120.298356035142,120.277260048761,-0.003311627070590184
2016-02-29,120.368059,120.509533991669,120.495618180393,0.11753532693337121
2016-03-31,120.532084,120.726490889999,120.670309859322,0.16129057388487578
2016-04-30,120.594838,120.750878415327,120.826181974322,0.12939228404369452
2016-05-31,120.586665,120.980559101245,120.987472354218,0.3266481424335055
2016-06-30,120.779483,121.217520630663,121.185850852971,0.3626755304648954
2016-07-31,120.905011,121.432814310834,121.424563367193,0.43654378463602317
2016-08-31,121.788983,121.600021383629,121.693130925073,-0.15515493414621773
2016-09-30,122.60278,122.081219056092,121.986741016369,-0.42540711059569913
2016-10-31,122.721321,122.226231246018,122.279358268072,-0.4034260305770365
2016-11-30,123.01585,122.570586658251,122.530005218606,-0.361956074561931
2016-12-31,123.029965,122.84187510984,122.744289719953,-0.15288136525114515
2017-01-31,122.827338,122.823305540228,122.980267795636,-0.0032830311538556423
2017-02-28,118.961103,119.081077078426,119.251795272006,0.10085151818575167
2017-03-31,119.444074,119.670122633759,119.646929694935,0.1892506059019583
2017-04-30,120.377464,120.51320695755,120.106993822058,0.112764427027634
2017-05-31,119.775075,120.135098375565,120.561746210062,0.3005828846819769
2017-06-30,120.595257,120.972566444761,120.927604001662,0.31287254088359084
2017-07-31,120.99453,121.470541878125,121.147905104654,0.3934160313900259
2017-08-31,121.443748,121.302507283217,121.202956405623,-0.1163013486565001
2017-09-30,121.486769,121.078751233552,121.115213798532,-0.33585366522340676
2017-10-31,121.334351,120.91888145908,120.976564208903,-0.3424170793314696
2017-11-30,121.341261,120.887291295449,120.873367432733,-0.37412641076064457
2017-12-31,120.992747,120.750389413988,120.821356197586,-0.20030753249365985
2018-01-31,120.958208,120.939779015222,120.816864795696,-0.015235828211013214
