month,mean,std,count
Jan,0.0034,0.0739,17
Feb,-0.0335,0.0745,17
Mar,-0.136,0.0161,17
Apr,-0.0458,0.0956,17
May,-0.0319,0.2151,17
Jun,-0.0289,0.1769,16
Jul,-0.0549,0.0407,16
Aug,0.1121,0.1399,16
Sep,0.0695,0.0617,16
Oct,0.0605,0.1082,16
Nov,0.0743,0.098,16
Dec,0.0157,0.079,16
