,nsa,sa,trend,seasonal_factor,seasonal_pct,sa_minus_nsa_pct
2010-01-31,100.05701696774194,100.964267242553,100.917278489326,0.9910141449089952,-0.8985855091004802,0.906733282987604
2010-02-28,100.35908003571429,100.980076888768,100.929712827977,0.9938503032262715,-0.6149696773728452,0.6187749557217126
2010-03-31,101.03818187096775,100.837573523695,100.95137781756,1.0019894206124031,0.19894206124031477,-0.19854706761146534
2010-04-30,101.43834183333334,101.042140316269,100.997657985841,1.003921151272372,0.39211512723720254,-0.39058358989672026
2010-05-31,101.81284025806453,101.14157889881,101.124036517545,1.0066368487279214,0.6636848727921363,-0.6593091377797622
2010-06-30,101.8085023,101.214656684366,101.362479391319,1.0058671899415308,0.5867189941530793,-0.5832966817291063
2010-07-31,102.20570606451614,101.765452635013,101.669179665908,1.0043261580241982,0.43261580241982234,-0.4307522999011715
2010-08-31,102.49003967741935,102.082684628161,102.017821164002,1.003990442166976,0.39904421669760826,-0.3974581828053436
2010-09-30,102.59080463333333,102.244859736554,102.410167299933,1.0033834942672981,0.3383494267298115,-0.3372084837581335
2010-10-31,102.73024422580646,102.793338171552,102.814861421905,0.9993862058877762,-0.06137941122238422,0.0614171086820825
2010-11-30,102.68900403333333,103.249120707876,103.202630081818,0.9945750949673711,-0.5424905032628935,0.545449515082308
2010-12-31,102.88436867741936,103.812484215781,103.566849207381,0.9910596924312832,-0.8940307568716777,0.9020957705165422
2011-01-31,102.91669167741935,103.848120603374,103.91198037983,0.9910308542846717,-0.8969145715328253,0.905031934833378
2011-02-28,103.57037360714286,104.200658379852,104.289766196783,0.9939512400160514,-0.6048759983948604,0.6085570137073226
2011-03-31,104.61431383870968,104.411822333205,104.753310074258,1.001939354193613,0.19393541936130188,-0.1935600378901059
2011-04-30,106.0807555,105.677092603657,105.257664972781,1.0038197767027612,0.3819776702761235,-0.3805241529817316
2011-05-31,106.74553093548387,106.053737882428,105.70121682426,1.0065230426279062,0.652304262790615,-0.6480768300023643
2011-06-30,106.74059283333332,106.112448135466,106.013716387488,1.005919613663662,0.5919613663661893,-0.5884778051103101
2011-07-31,106.52475667741935,106.053652106234,106.190350238084,1.0044421343520866,0.4442134352086624,-0.4422489061504775
2011-08-31,106.70543641935484,106.283843188952,106.294952129433,1.0039666728051349,0.3966672805134852,-0.3951000478981781
2011-09-30,106.76538696666667,106.41488903403,106.383453817538,1.003293692600897,0.3293692600897069,-0.32828798039771234
2011-10-31,106.36147558064516,106.418238436861,106.509791198775,0.999466605940395,-0.053339405960495245,0.05336787206642324
2011-11-30,106.17768443333333,106.751474537417,106.675566738179,0.9946249913027426,-0.5375008697257377,0.5404055542800545
2011-12-31,105.84083241935484,106.790290899656,106.873182066673,0.9911091310614248,-0.8890868938575158,0.8970625595037696
2012-01-31,106.21176503225806,107.167010304781,107.090644772699,0.9910863868479092,-0.8913613152090827,0.8993780229834547
2012-02-29,106.57966668965517,107.214614888207,107.287927411558,0.9940777831528482,-0.5922216847151773,0.5957498444808529
2012-03-31,107.73592458064516,107.539464188225,107.437999970292,1.0018268678749997,0.1826867874999749,-0.18235365147222238
2012-04-30,108.3774575,107.996922577872,107.537636508566,1.003523571904131,0.35235719041311064,-0.3511199938677323
2012-05-31,108.28776364516129,107.607231229432,107.61298210146,1.0063242256858957,0.6324225685895746,-0.6284481208414849
2012-06-30,108.08047216666667,107.423631963798,107.755987644585,1.0061144851543469,0.6114485154346871,-0.6077325438176961
2012-07-31,108.39773487096774,107.907019458037,108.0277922977,1.0045475763800664,0.45475763800664204,-0.45269895493191825
2012-08-31,108.79631774193548,108.372241807138,108.398061663142,1.0039131416654845,0.39131416654845097,-0.38978886749034825
2012-09-30,109.2231296,108.875078916064,108.749723865639,1.0031967892689595,0.3196789268959499,-0.3186602372690084
2012-10-31,109.05819693548388,109.101001917072,108.981651596526,0.9996076573007033,-0.03923426992966661,0.03924966925084039
2012-11-30,108.42145483333334,108.997033053613,109.090085888109,0.9947193221305708,-0.5280677869429207,0.5308711464575344
2012-12-31,108.16622887096774,109.133096738318,109.158719384218,0.9911404707073543,-0.8859529292645663,0.8938722163492008
2013-01-31,108.22048306451613,109.160106411695,109.257403817909,0.9913922459581058,-0.8607754041894178,0.8682490787060182
2013-02-28,108.85705392857143,109.483212725113,109.372688132416,0.9942807780210678,-0.5719221978932154,0.575211962793376
2013-03-31,109.69326987096774,109.526427092262,109.456091943934,1.0015233107035,0.15233107034999804,-0.1520993757429201
2013-04-30,109.78307036666666,109.443314734082,109.511859691748,1.003104398230355,0.310439823035491,-0.3094790767373401
2013-05-31,110.1937839032258,109.530965879558,109.59141236754,1.006051421334097,0.6051421334096974,-0.6015021902232798
2013-06-30,110.40062276666666,109.719095396393,109.725263899823,1.0062115657061466,0.621156570614656,-0.6173220342371333
2013-07-31,110.46737987096775,109.952262863281,109.893580184221,1.004684915019232,0.4684915019232072,-0.46630689375309897
2013-08-31,110.4738468064516,110.051711063997,110.030196321033,1.0038357944494758,0.38357944494757934,-0.3821137352030268
2013-09-30,110.50929176666666,110.172927612139,110.137891199508,1.0030530563344184,0.3053056334418436,-0.30437635528229867
2013-10-31,110.18806667741936,110.200326627687,110.276177673097,0.9998887485124335,-0.011125148756652159,0.011126386583715231
2013-11-30,109.85595233333333,110.423418325502,110.4877576588,0.9948609995889105,-0.51390004110895,0.5165546154903167
2013-12-31,109.8598325483871,110.831754964622,110.767550482211,0.9912306503082521,-0.8769349691747919,0.8846931528015967
2014-01-31,110.1901104516129,111.098220177878,111.082065510444,0.9918260641366609,-0.8173935863339143,0.8241299718670048
2014-02-28,110.76125035714286,111.346902612053,111.384900378229,0.9947402914569556,-0.5259708543044361,0.5287519353760928
2014-03-31,111.73733909677419,111.627793607465,111.634492840645,1.0009813460050496,0.09813460050496214,-0.0980383909216953
2014-04-30,112.17365956666667,111.888228190874,111.820323712669,1.002551040269453,0.25510402694530754,-0.25445490224291767
2014-05-31,112.54139148387097,111.907474590257,111.929159626737,1.005664651945145,0.5664651945145094,-0.563274440857453
2014-06-30,112.63142016666667,111.935374735291,111.938867911993,1.0062182793689813,0.6218279368981339,-0.6179851326971519
2014-07-31,112.46633638709677,111.925223079775,111.88038455786,1.0048345966390086,0.4834596639008648,-0.4811335771259806
2014-08-31,112.2039841935484,111.778384208406,111.805443888155,1.0038075338819434,0.3807533881943437,-0.37930915573216595
2014-09-30,111.97195473333333,111.646089023632,111.740101913734,1.0029187382428806,0.2918738242880581,-0.2910244002414686
2014-10-31,111.7489110967742,111.739845326143,111.670163089946,1.000081132836767,0.00811328367669173,-0.008112625476364155
2014-11-30,111.06952293333333,111.619257614448,111.571838356362,0.9950749118667896,-0.49250881332103535,0.4949464682986404
2014-12-31,110.48434645161291,111.451137904575,111.4393789302,0.9913254232200853,-0.8674576779914678,0.8750483521079655
2015-01-31,110.33621825806452,111.17068828291,111.303488621759,0.9924937945628086,-0.7506205437191382,0.7562974678847034
2015-02-28,110.6747215,111.194378891093,111.234855866186,0.9953265857836037,-0.4673414216396332,0.4695357567201963
2015-03-31,111.31493132258065,111.283951757891,111.284247814695,1.000278383039066,0.027838303906602135,-0.027830556351748914
2015-04-30,111.61916926666666,111.393196843541,111.427109743366,1.0020286016518858,0.20286016518857863,-0.20244947584745487
2015-05-31,112.23816561290323,111.649680144931,111.615671712722,1.0052708209034573,0.5270820903457318,-0.5243185014283447
2015-06-30,112.4977634,111.827742525221,111.792306788692,1.0059915443131464,0.5991544313146413,-0.5955859516927897
2015-07-31,112.71931258064517,112.163212824761,111.924229029812,1.0049579513806635,0.4957951380663461,-0.4933491370312404
2015-08-31,112.48139964516129,112.056841527263,112.02203975497,1.003788774626447,0.3788774626446889,-0.3774473995145966
2015-09-30,112.37701873333334,112.065258520358,112.113870062485,1.0027819523828494,0.27819523828493953,-0.2774234594309144
2015-10-31,112.23686474193548,112.194141917144,112.22325604764,1.0003807937211466,0.03807937211466328,-0.038064877248411566
2015-11-30,111.85434740000001,112.376785967848,112.332573369942,0.9953510098785219,-0.4648990121478125,0.4670704179067009
2015-12-31,111.47500454838709,112.436497413978,112.419049433908,0.9914485697464338,-0.8551430253566195,0.8625187946716517
2016-01-31,111.73278025806451,112.503796064309,112.478089509289,0.9931467574142675,-0.68532425857325,0.6900533616577942
2016-02-29,111.9083201724138,112.375869502065,112.539426862706,0.995839415243478,-0.41605847565220344,0.4177967544601424
2016-03-31,112.58421570967741,112.634316104314,112.653344878642,0.9995551942217131,-0.044480577828687196,0.044500371851219356
2016-04-30,112.98491923333333,112.805673347485,112.837971829399,1.0015889793529815,0.15889793529815233,-0.1586458503175625
2016-05-31,113.6410355483871,113.097082311094,113.061697209767,1.004809613353215,0.48096133532149477,-0.47865916978685474
2016-06-30,114.14911653333334,113.498262032174,113.284013027506,1.0057344887005832,0.573448870058324,-0.5701791839705428
2016-07-31,114.07399777419356,113.496310763711,113.476710925815,1.005089918840492,0.5089918840492036,-0.5064142764822477
2016-08-31,114.05857187096774,113.618947770519,113.64654556731,1.003869285089109,0.3869285089109109,-0.3854371427217895
2016-09-30,114.14629003333333,113.830458253772,113.815679273586,1.0027745805859556,0.27745805859555883,-0.27669035889743565
2016-10-31,114.05343719354838,113.995521452885,114.011510717322,1.0005080527719443,0.050805277194432286,-0.05077947853959763
2016-11-30,113.72421433333334,114.230588654108,114.257559840329,0.9955670864805926,-0.4432913519407444,0.44526517395007126
2016-12-31,113.51853832258065,114.489311763982,114.523733174202,0.9915208378280534,-0.8479162171946553,0.855167319581529
2017-01-31,114.29205980645162,114.996730174405,114.753084793069,0.993872257351277,-0.6127742648722956,0.6165523389347616
2017-02-28,114.62502739285715,115.05941642726,114.891819824627,0.9962246546359161,-0.37753453640838597,0.37896526115022144
2017-03-31,114.7345689032258,114.852745494862,114.929270047538,0.9989710599330733,-0.10289400669266646,0.10299998750671335
2017-04-30,115.06704763333333,114.936521927083,114.913799000848,1.0011356329916885,0.11356329916885066,-0.11343447923184424
2017-05-31,115.39178609677418,114.891922883743,114.932916946847,1.0043507254512312,0.4350725451231163,-0.4331878636595121
2017-06-30,115.66985509999999,115.04489069233,115.060553166444,1.0054323525704532,0.5432352570453158,-0.5403001561035015
2017-07-31,115.85306829032258,115.24650617561,115.305539928066,1.0052631713953073,0.5263171395307298,-0.5235615453814013
2017-08-31,116.12429693548387,115.656321264808,115.629230320837,1.0040462610738274,0.40462610738274396,-0.4029954824491755
2017-09-30,116.60082213333334,116.248339907164,115.975069198045,1.0030321484715468,0.30321484715467584,-0.3022982340264102
2017-10-31,116.37985732258065,116.305781067466,116.283840352673,1.000636909484935,0.06369094849349999,-0.06365040894432683
2017-11-30,116.0839622,116.600865401228,116.567769328252,0.9955669008163076,-0.44330991836923905,0.4452839060898217
2017-12-31,115.78918696774194,116.778791377527,116.869562051951,0.9915258207581047,-0.8474179241895308,0.8546604702050153
2018-01-31,116.50158541935484,117.173540969813,117.206542965293,0.9942652962017143,-0.5734703798285667,0.5767780309936743
2018-02-28,117.21511146428573,117.638355185126,117.565006546026,0.9964021622014841,-0.3597837798515857,0.3610828975487701
2018-03-31,117.74741429032258,117.923139570281,117.908427784857,0.9985098320770736,-0.14901679229264442,0.14923918373710432
2018-04-30,118.23239033333333,118.124815684881,118.191630713004,1.0009106862756028,0.09106862756027567,-0.09098576807001768
2018-05-31,118.95849667741935,118.478894742791,118.393820423285,1.0040479946717054,0.4047994671705357,-0.40316744749128164
2018-06-30,119.18143386666667,118.556022883403,118.53733341389,1.0052752358594108,0.527523585941081,-0.5247553775559854
2018-07-31,119.28089487096774,118.622771728275,118.670837928539,1.005548033763705,0.5548033763705051,-0.5517422915083503
2018-08-31,119.28958577419355,118.776864954496,118.828062333522,1.0043166724420112,0.43166724420111713,-0.4298118870729395
2018-09-30,119.37783993333332,118.993866927375,119.012034039418,1.003226830221365,0.322683022136494,-0.3216451279171695
2018-10-31,119.36910887096775,119.299994647414,119.197661293711,1.0005793313214977,0.05793313214976781,-0.05789958910430437
2018-11-30,118.7898013,119.331360116336,119.334440159636,0.9954617225865184,-0.4538277413481562,0.45589672716794816
