month,mean,std,count
Jan,-1.7379,0.5763,17
Feb,-0.1142,0.6858,17
Mar,0.987,0.3379,17
Apr,1.1069,0.3208,17
May,0.7001,0.3135,17
Jun,-0.446,0.3877,16
Jul,-1.7984,0.7486,16
Aug,-0.6628,0.4912,16
Sep,1.7083,0.1101,16
Oct,2.0367,0.8565,16
Nov,0.1503,1.1133,16
Dec,-2.0775,0.6388,16
