month,mean,std,count
Jan,0.0006,0.0697,17
Feb,0.2059,0.1693,17
Mar,0.1573,0.1016,17
Apr,0.0832,0.0886,17
May,0.0702,0.0641,17
Jun,-0.0138,0.0451,16
Jul,-0.0414,0.0364,16
Aug,0.0028,0.1119,16
Sep,-0.0205,0.0659,16
Oct,-0.062,0.0784,16
Nov,-0.1307,0.0762,16
Dec,-0.255,0.1045,16
