month,mean,std,count
Jan,-3.0736,1.1125,17
Feb,-2.6084,0.6462,17
Mar,-2.0268,0.135,17
Apr,-1.654,0.2015,17
May,0.0602,0.6956,17
Jun,2.459,0.8362,16
Jul,3.4263,0.9898,16
Aug,3.8867,0.8982,16
Sep,3.5115,0.3393,16
Oct,0.5167,0.6487,16
Nov,-1.4928,0.9817,16
Dec,-2.9031,0.7995,16
