month,mean,std,count
Jan,-0.8083,0.0938,17
Feb,-0.5667,0.0651,17
Mar,-0.0835,0.1473,17
Apr,0.1729,0.0868,17
May,0.5145,0.0626,16
Jun,0.5948,0.0476,16
Jul,0.5445,0.1057,16
Aug,0.4424,0.0367,16
Sep,0.32,0.0204,16
Oct,0.0666,0.0307,16
Nov,-0.4,0.0566,16
Dec,-0.7972,0.0477,16
