,nsa,sa,trend,seasonal_factor,seasonal_pct,sa_minus_nsa_pct
2010-01-31,100.0,100.185347804495,100.097867572575,0.9981499509802901,-0.1850049019709865,0.18534780449499522
2010-02-28,100.03613699999998,99.9916367492655,100.047102252619,1.0004450397271332,0.04450397271331674,-0.044484175487990996
2010-03-31,100.135263,99.9409876442461,100.012045689027,1.0019439006991349,0.19439006991348595,-0.19401292804702708
2010-04-30,100.3832168,100.097596358491,99.9965317877903,1.002853419581486,0.2853419581485994,-0.2845300744626078
2010-05-31,100.222981,99.9477810077595,100.008800676501,1.0027534377398448,0.2753437739844822,-0.2745877138103703
2010-06-30,100.30524,100.020697571635,100.028902706475,1.0028448354717903,0.28448354717902635,-0.283676534112276
2010-07-31,100.267226,100.072669828223,100.036383088094,1.001944148908098,0.194414890809802,-0.19403765271913676
2010-08-31,100.090604,100.039557971315,100.03751930737,1.000510258438963,0.051025843896290723,-0.05099982080735144
2010-09-30,99.882706,99.9641271260552,100.012023948498,0.9991854965536534,-0.08145034463465928,0.08151674030056899
2010-10-31,99.839736,100.015566980552,99.9383611487219,0.9982419638676229,-0.17580361323771276,0.17611322665356255
2010-11-30,99.710232,100.04015664432,99.8478614639966,0.996702077891651,-0.3297922108349005,0.33088343864249303
2010-12-31,99.080742,99.6335436969917,99.7751152956025,0.9944516507545602,-0.5548349245439788,0.557930517912042
2011-01-31,99.32257,99.5177406666788,99.7420178575076,0.9980388354340509,-0.19611645659490806,0.1965018290191356
2011-02-28,99.935824,99.8879550015372,99.7644764767503,1.0004792269344394,0.04792269344393585,-0.047899738599044284
2011-03-31,100.018421,99.8265565868456,99.8208094970262,1.001921977675224,0.19219776752239515,-0.19182907632026014
2011-04-30,100.135671,99.841906163903,99.8684180729185,1.0029422999558397,0.2942299955839722,-0.29336682239538003
2011-05-31,100.245401,99.9606089468775,99.9005343401542,1.0028490427991876,0.2849042799187629,-0.28409488144249817
2011-06-30,100.176435,99.888842909989,99.9335414280644,1.0028791212475066,0.28791212475065553,-0.2870855705845443
2011-07-31,100.150759,99.9596460575933,99.9680649404424,1.0019119009514756,0.19119009514756424,-0.19082525615875534
2011-08-31,100.076606,100.030765959814,99.9961107082242,1.0004582594139528,0.04582594139528329,-0.045804950845351744
2011-09-30,99.968556,100.057084675714,100.036484166765,0.9991152183176143,-0.08847816823857046,0.08855652142658599
2011-10-31,99.884092,100.063047657294,100.118288221057,0.9982115709896533,-0.17884290103467038,0.1791633219171862
2011-11-30,99.845918,100.177813366458,100.234766986176,0.9966869374035556,-0.33130625964443716,0.3324075466540455
2011-12-31,99.885662,100.439763825975,100.37637356105,0.9944832424443464,-0.5516757555653617,0.5547361001371875
2012-01-31,100.323369,100.541947930851,100.496047636521,0.9978259926791818,-0.21740073208181832,0.21787439260636532
2012-02-29,100.560646,100.503914187418,100.547320594912,1.0005644736629482,0.05644736629482061,-0.056415521218911024
2012-03-31,100.822169,100.625526921406,100.551429772453,1.0019541967591143,0.1954196759114346,-0.19503853224382972
2012-04-30,100.805019,100.498056329082,100.563310123496,1.0030544140069022,0.30544140069022063,-0.3045112971190478
2012-05-31,100.854694,100.546704615826,100.614225369199,1.0030631474731149,0.3063147473114869,-0.30537932540253276
2012-06-30,101.086612,100.788892059724,100.705697337491,1.00295389634901,0.295389634901011,-0.294519654369263
2012-07-31,100.983647,100.79536321714,100.815098805312,1.0018679805980202,0.18679805980201802,-0.18644977523936124
2012-08-31,100.916265,100.887177612842,100.919758242442,1.0002883159966038,0.028831599660383844,-0.028823289444968037
2012-09-30,100.946222,101.04075970408,100.989171155435,0.999064360715845,-0.09356392841549654,0.0936515524870174
2012-10-31,100.803151,100.992291192987,101.013530789587,0.9981271818794014,-0.1872818120598585,0.18763321494483787
2012-11-30,100.709626,101.054035962519,101.003889849832,0.9965918237778575,-0.34081762221425116,0.341983161092263
2012-12-31,100.396375,100.942512830628,100.977008117651,0.9945896152640428,-0.541038473595723,0.5439816234679817
2013-01-31,100.646976,100.88870463137,100.951874622988,0.9976040069871722,-0.23959930128277795,0.24017475832558421
2013-02-28,101.075142,101.01779351784,100.944524779767,1.000567706739208,0.05677067392080293,-0.056738463112915305
2013-03-31,101.139486,100.939608031968,100.940784152765,1.0019801738081715,0.19801738081715037,-0.19762604689527175
2013-04-30,101.207326,100.869262493603,100.929461966309,1.0033515017165753,0.3351501716575278,-0.33403066730267605
2013-05-31,101.321515,100.991267725312,100.907345312698,1.0032700577201017,0.32700577201016934,-0.3259399296269949
2013-06-30,101.079686,100.76857803198,100.883718714261,1.0030873509788067,0.30873509788067466,-0.3077848579980724
2013-07-31,101.06022,100.875125515247,100.869158319591,1.00183488728076,0.1834887280760089,-0.18315266358315263
2013-08-31,100.90365,100.895235965401,100.866884236305,1.000083393774924,0.008339377492405653,-0.008338682098218975
2013-09-30,100.741916,100.844203760572,100.897276141769,0.998985685277313,-0.1014314722686982,0.10153446016649692
