,nsa_input,our_x13_sa,bls_published_sa,our_seasonal_factor,our_seasonal_pct,bls_seasonal_factor,bls_seasonal_pct,our_minus_bls_level,our_minus_bls_pct
2010-01-31,216.687,217.738620807103,217.488,0.9951702605481523,-0.48297394518477255,0.9963170381814169,-0.3682961818583075,0.2506208071029903,0.1152343150440549
2010-02-28,216.741,217.328034327873,217.281,0.9972988559451683,-0.27011440548316834,0.9975147389785578,-0.24852610214421977,0.04703432787300699,0.02164677439491225
2010-03-31,217.631,216.977836328402,217.353,1.0030102782968553,0.30102782968552955,1.0012790253642692,0.12790253642691596,-0.3751636715980169,-0.17260570205979153
2010-04-30,218.009,217.162482554038,217.403,1.0038980832969218,0.38980832969217616,1.002787450035188,0.27874500351880993,-0.24051744596198432,-0.11063207313697365
2010-05-31,218.178,217.283611012434,217.29,1.0041162284785243,0.4116228478524331,1.0040867044042523,0.4086704404252295,-0.00638898756599815,-0.0029403044622400287
2010-06-30,217.965,217.432733926776,217.199,1.0024479574147436,0.24479574147435734,1.0035267197362787,0.3526719736278716,0.23373392677598304,0.10761280060036515
2010-07-31,218.011,217.649733635753,217.605,1.0016598520853308,0.16598520853308152,1.001865765952069,0.18657659520691094,0.04473363575300482,0.020557264655218788
2010-08-31,218.312,217.914085109781,217.923,1.0018260173041065,0.18260173041064753,1.0017850341634431,0.1785034163443111,-0.008914890218989058,-0.004090844114201797
2010-09-30,218.439,217.811525795689,218.275,1.002880812675173,0.2880812675172928,1.0007513457794066,0.07513457794066092,-0.46347420431101227,-0.2123349922396156
2010-10-31,218.711,218.87308628924,219.035,0.9992594507986889,-0.07405492013110582,0.9985207843495333,-0.14792156504667142,-0.16191371075998973,-0.07392138733991471
2010-11-30,218.803,219.720512126072,219.59,0.9958241853835406,-0.4175814616459439,0.9964160480896216,-0.35839519103784134,0.13051212607200569,0.05943445788605395
2010-12-31,219.179,220.76098559554,220.472,0.9928339439540355,-0.7166056045964542,0.9941353096991908,-0.5864690300809161,0.28898559553999803,0.13107587155738454
2011-01-31,220.223,221.31007973573,221.187,0.9950879791059309,-0.4912020894069058,0.9956416968447512,-0.4358303155248766,0.12307973572998776,0.05564510379452159
2011-02-28,221.309,221.931921252912,221.898,0.9971931876703662,-0.28068123296337566,0.9973456272701872,-0.2654372729812837,0.03392125291199477,0.015286867349861843
2011-03-31,223.467,222.832834904073,223.046,1.0028459230265594,0.2845923026559394,1.0018875030262817,0.18875030262817116,-0.21316509592699617,-0.09557001512109364
2011-04-30,224.906,224.088319672141,224.093,1.003648919894867,0.3648919894867042,1.00362795803528,0.36279580352800433,-0.004680327858977762,-0.0020885649524848837
2011-05-31,225.964,225.058397060048,224.806,1.0040238575933267,0.4023857593326685,1.0051511080665105,0.5151108066510535,0.252397060047997,0.11227327564566902
2011-06-30,225.722,225.120390879501,224.806,1.0026723883969313,0.2672388396931291,1.0040746243427667,0.40746243427667306,0.31439087950099065,0.139849861436514
2011-07-31,225.922,225.498549290654,225.395,1.0018778422773806,0.1877842277380637,1.002338117527008,0.23381175270080767,0.10354929065400142,0.045941254532699816
2011-08-31,226.545,226.109893721995,226.106,1.0019243133099693,0.19243133099693388,1.0019415672295295,0.19415672295295394,0.003893721995012811,0.0017220781381332984
2011-09-30,226.889,226.22132320771,226.597,1.0029514317342976,0.29514317342975716,1.001288631358756,0.12886313587558984,-0.3756767922900224,-0.16579071756908093
2011-10-31,226.421,226.54358671349,226.75,0.99945888243729,-0.05411175627100251,0.9985490628445424,-0.14509371554576322,-0.20641328651001345,-0.09103121786550039
2011-11-30,226.23,227.149622612238,227.169,0.9959514675760308,-0.40485324239691867,0.9958665134767507,-0.4133486523249297,-0.019377387762006038,-0.008529943681578889
2011-12-31,225.672,227.289113057818,227.223,0.9928852155034515,-0.7114784496548454,0.9931741064945009,-0.6825893505499114,0.0661130578180007,0.02909611166914683
2012-01-31,226.665,227.830166043465,227.842,0.9948858131313361,-0.5114186868663939,0.9948341394475118,-0.5165860552488244,-0.011833956535014067,-0.0051939311167426006
2012-02-29,227.663,228.363921165294,228.329,0.9969306834384463,-0.30693165615537366,0.9970831563226747,-0.2916843677325254,0.03492116529398004,0.015294231260143398
2012-03-31,229.392,228.81981885791,228.807,1.0025005751029166,0.2500575102916569,1.002556739959879,0.25567399598789287,0.012818857910019688,0.005602476283517177
2012-04-30,230.085,229.358580097655,229.187,1.0031671799765927,0.316717997659266,1.0039181978035403,0.3918197803540302,0.1715800976549815,0.07486467280211073
2012-05-31,229.815,228.918158046633,228.713,1.0039177405629145,0.39177405629144957,1.0048182656866904,0.4818265686690415,0.2051580466330165,0.08970108679131616
2012-06-30,229.478,228.760569388837,228.524,1.0031361637762999,0.3136163776299883,1.0041746162328684,0.4174616232868411,0.23656938883701173,0.1035205881382284
2012-07-31,229.104,228.603290517871,228.59,1.0021902986654074,0.21902986654074308,1.0022485673039065,0.22485673039065457,0.013290517870984786,0.005814129170556015
2012-08-31,230.379,229.884124694017,229.918,1.0021527163158468,0.2152716315846792,1.0020050626745187,0.20050626745187206,-0.03387530598300259,-0.014733646771025732
2012-09-30,231.407,230.733195192246,231.015,1.002920276846999,0.2920276846998915,1.0016968595112872,0.16968595112871743,-0.28180480775398564,-0.1219855021336258
2012-10-31,231.317,231.36720718461,231.638,0.9997829978361197,-0.02170021638803199,0.9986142170110258,-0.13857829889741824,-0.27079281538999567,-0.11690345081117881
2012-11-30,230.221,231.098306568742,231.249,0.996203751633805,-0.37962483661949653,0.9955545753711368,-0.4445424628863215,-0.1506934312579915,-0.06516500882511878
2012-12-31,229.601,231.237971725593,231.221,0.9929208351319757,-0.707916486802429,0.9929937159687052,-0.7006284031294774,0.016971725593009523,0.007340045062087519
2013-01-31,230.28,231.498906742153,231.679,0.9947347192291036,-0.5265280770896386,0.9939614725546986,-0.6038527445301423,-0.18009325784700536,-0.07773395855774634
2013-02-28,232.166,232.949262380596,232.937,0.9966376266977988,-0.3362373302201238,0.9966900921708444,-0.3309907829155634,0.012262380595984723,0.005264247670400124
2013-03-31,232.773,232.334067914534,232.282,1.001889228253979,0.18892282539790806,1.0021138099379203,0.2113809937920319,0.05206791453397841,0.02241581979403051
2013-04-30,232.531,231.929164483456,231.797,1.0025949108982668,0.25949108982668,1.0031665638468144,0.3166563846814352,0.13216448345599474,0.05701733993797031
2013-05-31,232.945,232.049197944276,231.893,1.0038603971212137,0.38603971212136656,1.0045365750583244,0.4536575058324388,0.15619794427598777,0.06735776598516541
2013-06-30,233.504,232.639435169702,232.445,1.003716329648356,0.3716329648355998,1.0045559164533546,0.4555916453354625,0.19443516970201813,0.08364781763514628
2013-07-31,233.596,233.015513715033,232.9,1.002491191576527,0.24911915765271075,1.0029884070416488,0.2988407041648822,0.11551371503298924,0.04959798842121277
2013-08-31,233.877,233.354087573378,233.456,1.0022408539402918,0.22408539402918315,1.0018033376739086,0.18033376739086115,-0.10191242662199329,-0.04365380483773995
2013-09-30,234.149,233.492048423657,233.544,1.0028135929286595,0.28135929286594585,1.0025905182749288,0.25905182749288436,-0.05195157634301495,-0.022244877343458036
2013-10-31,233.546,233.501358125774,233.669,1.000191184644853,0.019118464485301523,0.9994736143861616,-0.05263856138384426,-0.16764187422600685,-0.07174330964997422
