month,our_seasonal_pct,bls_seasonal_pct
Jan,-0.2301,-0.2394
Feb,0.0075,-0.0362
Mar,0.0946,0.1105
Apr,0.1414,0.1456
May,0.1545,0.1604
Jun,0.1345,0.143
Jul,0.0429,0.0441
Aug,0.024,0.0493
Sep,0.0525,0.055
Oct,0.0419,0.048
Nov,-0.1223,-0.1329
Dec,-0.3576,-0.356
