month,mean,std,count
Jan,-0.8036,0.0887,17
Feb,-0.5616,0.062,17
Mar,-0.0814,0.1422,17
Apr,0.1827,0.0852,17
May,0.5093,0.0586,17
Jun,0.5842,0.0419,16
Jul,0.5315,0.1056,16
Aug,0.4389,0.0435,16
Sep,0.3198,0.024,16
Oct,0.0673,0.0285,16
Nov,-0.3939,0.0613,16
Dec,-0.7857,0.062,16
