month,mean,std,count
Jan,-0.08,0.1678,17
Feb,0.1956,0.2085,17
Mar,0.3025,0.0857,17
Apr,0.3314,0.1356,17
May,0.5519,0.1695,17
Jun,0.2721,0.2758,16
Jul,0.1685,0.1457,16
Aug,-0.0683,0.0996,16
Sep,-0.2881,0.2339,16
Oct,-0.3351,0.2439,16
Nov,-0.5705,0.142,16
Dec,-0.4627,0.1984,16
