month,mean,std,count
Jan,-0.1156,0.0238,17
Feb,0.0095,0.0649,17
Mar,0.0108,0.1195,17
Apr,0.1376,0.0793,17
May,0.0309,0.0311,17
Jun,-0.0272,0.0785,16
Jul,0.036,0.0634,16
Aug,0.0466,0.0331,16
Sep,-0.007,0.0658,16
Oct,-0.0288,0.0582,16
Nov,-0.0716,0.041,16
Dec,-0.0355,0.1,16
