,nsa,sa,trend,seasonal_factor,seasonal_pct,sa_minus_nsa_pct
2010-01-31,100.0,102.189969588187,103.167308789343,0.978569622860127,-2.1430377139872947,2.189969588187002
2010-02-28,101.710971,102.854103077074,103.115112368796,0.9888858874573299,-1.111411254267014,1.123902432387558
2010-03-31,104.307419,103.253804991319,102.998952545884,1.010204117986447,1.0204117986446937,-1.0101045724091762
2010-04-30,104.45801420000001,102.997365069387,102.83710418743,1.0141814223075416,1.4181422307541602,-1.3983121752787486
2010-05-31,103.57263300000001,102.708265517885,102.617722198267,1.0084157538612557,0.8415753861255704,-0.8345520018932184
2010-06-30,101.400936,102.379662240737,102.360531016077,0.9904402278800685,-0.9559772119931531,0.9652043455861126
2010-07-31,98.91151899999998,101.978061483564,102.121956805597,0.9699293903124618,-3.0070609687538163,3.1002885352150233
2010-08-31,100.190782,101.635095382556,101.962307042992,0.9857892258858066,-1.4210774114193359,1.4415631395670703
2010-09-30,103.725301,102.171356553794,101.915859740347,1.0152091985329357,1.5209198532935675,-1.4981344293288679
2010-10-31,104.851844,101.877248372365,101.980809410742,1.0291978402946529,2.919784029465289,-2.836951181931524
2010-11-30,104.104582,102.260436796936,102.11961942398,1.0180338091722219,1.803380917222186,-1.7714351929908223
2010-12-31,101.340612,102.273373691212,102.313481225628,0.9908797211087585,-0.9120278891241451,0.9204223980924908
2011-01-31,100.388865,102.550694397412,102.555414861643,0.978919407517278,-2.1080592482721983,2.153455363213852
2011-02-28,101.817362,102.858576992671,102.854398937599,0.9898772176019391,-1.0122782398060859,1.0226301018003259
2011-03-31,104.13786,103.172683710464,103.239967807276,1.009354959615518,0.9354959615518021,-0.9268255459983554
2011-04-30,105.038863,103.638495930505,103.713124646446,1.013512035821458,1.351203582145799,-1.3331894781601017
2011-05-31,105.077509,104.272689687624,104.238018590591,1.0077184094395863,0.7718409439586349,-0.7659291888771458
2011-06-30,103.735575,104.707552768508,104.775833048129,0.9907172143478811,-0.928278565211893,0.9369763155098854
2011-07-31,102.311165,105.359190548609,105.28651411593,0.9710701502855343,-2.892984971446566,2.979171968776817
2011-08-31,104.567404,106.000226062742,105.740594657916,0.9864828395564561,-1.3517160443543896,1.3702377681117595
2011-09-30,107.55051,105.962368472498,106.119931157759,1.014987788121348,1.4987788121348045,-1.4766471377048784
2011-10-31,109.49689,106.390105463505,106.422868901126,1.029201818373615,2.9201818373614907,-2.837326737311896
2011-11-30,109.11312,107.263240643762,106.671108848717,1.017246163225496,1.7246163225496103,-1.6953775643460567
2011-12-31,105.992645,107.068385220551,106.894139545425,0.98995277440362,-1.004722559638005,1.014919686692406
2012-01-31,104.71864,106.930478394173,107.115368762524,0.9793151734903907,-2.0684826509609344,2.112172574216964
2012-02-29,105.291307,106.210712541111,107.320791659506,0.9913435705390347,-0.8656429460965342,0.8732017554981875
2012-03-31,108.329438,107.418406127393,107.477955369188,1.008481152396979,0.8481152396978997,-0.8409827369426526
2012-04-30,109.126534,107.767654445902,107.557026792262,1.0126093451795422,1.2609345179542153,-1.2452329459103018
2012-05-31,108.492251,107.765806177851,107.577360492947,1.0067409584534643,0.6740958453464341,-0.6695822194241252
2012-06-30,106.71468,107.624828557725,107.571901463192,0.9915433216487138,-0.8456678351286162,0.8528803700905918
2012-07-31,104.250335,107.143555745261,107.586412314102,0.9729967824463492,-2.700321755365076,2.7752627799814578
2012-08-31,105.377032,106.764030598162,107.669680265937,0.9870087463877945,-1.2991253612205544,1.3162247710317043
2012-09-30,109.327728,107.672231149782,107.853208888604,1.0153753370998233,1.5375337099823305,-1.5142515814633994
2012-10-31,111.526382,108.341602762596,108.108382408562,1.0293957183223759,2.9395718322375863,-2.855628578898939
2012-11-30,110.026079,108.314663543938,108.363694141853,1.015800404119501,1.580040411950101,-1.5554634606782636
2012-12-31,107.223628,108.563052463951,108.531747125061,0.9876622438891376,-1.2337756110862408,1.2491877853181732
2013-01-31,106.541737,108.784412644556,108.561786526171,0.9793842188413173,-2.061578115868268,2.104973794970144
2013-02-28,107.83260699999998,108.585060026555,108.478741304689,0.9930703816310366,-0.6929618368963442,0.6977973059252962
2013-03-31,109.167724,108.289682541163,108.348617874691,1.0081082651480047,0.8108265148004667,-0.804304996627947
2013-04-30,109.331943,108.063704260567,108.237256938887,1.011736028744443,1.1736028744443017,-1.1599892077588048
2013-05-31,108.489736,107.907060757722,108.180024311876,1.0053997879118055,0.5399787911805509,-0.5370786802154304
2013-06-30,107.299629,108.126525273385,108.176075969876,0.9923525122878564,-0.764748771214363,0.7706422483390041
2013-07-31,105.934746,108.531247489474,108.210698886824,0.9760760006953222,-2.392399930467781,2.451038575647302
2013-08-31,107.005063,108.273507135414,108.26085166831,0.988284815288863,-1.1715184711136972,1.1854057180583855
2013-09-30,110.169055,108.362362513606,108.310496123913,1.0166726937701007,1.6672693770100722,-1.639927370162153
2013-10-31,111.181745,108.073819745333,108.366171460071,1.0287574295235478,2.875742952354776,-2.795355707600211
2013-11-30,109.957551,108.483702368835,108.439248033184,1.0135858990703879,1.3585899070387875,-1.3403796444729776
2013-12-31,107.894306,109.623936102727,108.53322765822,0.9842221492475313,-1.5777850752468736,1.6030782038924274
2014-01-31,106.443126,108.829845144165,108.644076094502,0.9780692590253771,-2.1930740974622887,2.2422482633260854
2014-02-28,107.225506,107.803641553097,108.759883944253,0.9946371426348131,-0.5362857365186935,0.5391772672977524
2014-03-31,109.762824,108.81460854482,108.852310057092,1.0087140455483,0.8714045548299909,-0.8638766939706222
2014-04-30,110.097144,108.813774009334,108.912329913494,1.0117941869248641,1.1794186924864114,-1.1656705560554759
2014-05-31,109.574354,108.962441618743,108.943915480032,1.0056158101100383,0.5615810110038311,-0.5584448905416317
2014-06-30,108.422544,109.129008832892,108.957321758008,0.9935263332779481,-0.6473666722051852,0.6515848151395387
2014-07-31,106.587529,108.98072528337,108.941458692495,0.9780401875914548,-2.1959812408545165,2.2452873294116715
2014-08-31,107.434132,108.599110213475,108.879031505287,0.989272672573606,-1.072732742639404,1.0843650819229333
2014-09-30,110.761536,108.83410492773,108.752034600193,1.0177098077257116,1.7709807725711624,-1.7401628235545696
2014-10-31,111.885889,108.78809828219,108.569541128893,1.0284754561089442,2.8475456108944197,-2.7687054600871064
2014-11-30,109.59988,108.41089149211,108.3668342403,1.010967426718159,1.096742671815898,-1.0848447168829045
2014-12-31,105.945971,108.08872127148,108.175919071846,0.9801760049866981,-1.9823995013301898,2.022493400414449
2015-01-31,105.237813,107.77857642785,108.006387484112,0.976426081025937,-2.3573918974063024,2.414306564742086
