,nsa_input,our_x13_sa,bls_published_sa,our_seasonal_factor,our_seasonal_pct,bls_seasonal_factor,bls_seasonal_pct,our_minus_bls_level,our_minus_bls_pct
2010-01-31,220.086,220.604614503206,220.633,0.9976491221438233,-0.2350877856176714,0.9975207697851183,-0.24792302148817225,-0.028385496794015808,-0.012865481044999072
2010-02-28,220.602,220.663239265276,220.731,0.9997224763604491,-0.027752363955091397,0.9994155782377646,-0.058442176223538755,-0.06776073472400412,-0.03069833178122039
2010-03-31,221.059,220.80121115329,220.783,1.0011675155465112,0.11675155465111775,1.0012500962483526,0.12500962483525946,0.018211153290025095,0.008248440002178725
2010-04-30,221.166,220.852222777433,220.822,1.0014207564615873,0.1420756461587347,1.001557815797339,0.1557815797339046,0.030222777433010606,0.013686488408315434
2010-05-31,221.193,220.929871327611,220.962,1.0011910054118431,0.11910054118431379,1.0010454286257366,0.10454286257366441,-0.03212867238897843,-0.014540360962056464
2010-06-30,221.265,221.089538837299,221.194,1.0007936203749113,0.07936203749112636,1.0003209851985135,0.03209851985135348,-0.10446116270099992,-0.04722603809370618
2010-07-31,221.258,221.30720743441,221.363,0.9997776510083858,-0.02223489916142185,0.9995256659875409,-0.047433401245911,-0.05579256558999646,-0.02520410619208935
2010-08-31,221.551,221.558500077944,221.509,0.9999661485434259,-0.0033851456574085503,1.0001896085486368,0.018960854863681043,0.04950007794400335,0.022346756991376004
2010-09-30,221.907,221.737771467689,221.711,1.0007631921760145,0.07631921760145044,1.000884033719572,0.08840337195719083,0.02677146768897387,0.012074938856887485
2010-10-31,222.079,221.879861783093,221.83,1.000897504691533,0.08975046915329354,1.0011224811792814,0.1122481179281376,0.04986178309297884,0.022477475135462832
2010-11-30,222.077,222.171722115551,222.149,0.9995736535925948,-0.042634640740524254,0.9996758932068116,-0.03241067931883945,0.022722115551005118,0.010228322230121378
2010-12-31,221.795,222.445929977696,222.343,0.9970737609010815,-0.2926239098918537,0.9975353395429584,-0.24646604570416342,0.10292997769602152,0.046293329538604766
2011-01-31,222.177,222.707296919629,222.803,0.9976188614968445,-0.23811385031554666,0.997190343038469,-0.2809656961531015,-0.09570308037100972,-0.04295412555980205
2011-02-28,223.011,223.069746637345,223.213,0.9997366445327949,-0.02633554672051286,0.9990950347874004,-0.09049652125996399,-0.14325336265500255,-0.06417787613400838
2011-03-31,223.69,223.431922694531,223.454,1.0011550601290837,0.11550601290837292,1.0010561457839198,0.10561457839197708,-0.02207730546899711,-0.009880022496355778
2011-04-30,224.118,223.797952058359,223.727,1.0014300753813759,0.14300753813758504,1.0017476656818354,0.17476656818353753,0.07095205835898355,0.03171367709708939
2011-05-31,224.534,224.254582268005,224.175,1.0012459844930217,0.12459844930217123,1.0016014274562284,0.1601427456228377,0.07958226800499801,0.035500063791671366
2011-06-30,224.891,224.706360447275,224.697,1.0008216925963176,0.08216925963175914,1.0008633849139061,0.086338491390614,0.009360447274985972,0.004165808744649446
2011-07-31,225.164,225.211486008411,225.218,0.9997891492603125,-0.02108507396875181,0.9997602323082524,-0.023976769174760548,-0.006513991589002899,-0.0028923050506612924
2011-08-31,225.874,225.889211326441,225.862,0.9999326602348484,-0.006733976515160833,1.0000531297872153,0.005312978721527806,0.027211326441005212,0.01204776653045414
2011-09-30,226.289,226.123103169856,226.118,1.0007336571443537,0.07336571443536943,1.0007562423159588,0.07562423159588327,0.0051031698559995675,0.0022568613980311625
2011-10-31,226.743,226.540008820294,226.506,1.0008960500211996,0.08960500211996347,1.0010463298985457,0.10463298985456948,0.03400882029399099,0.015014533961132948
2011-11-30,226.859,226.95633086432,226.899,0.9995711471720162,-0.04288528279837722,0.9998237101089031,-0.01762898910968591,0.05733086431999368,0.025267129568651292
2011-12-31,226.74,227.418793563093,227.405,0.9970152266114072,-0.29847733885928207,0.9970757019414701,-0.2924298058529895,0.013793563093003058,0.0060656375598711065
2012-01-31,227.237,227.793199309752,227.877,0.9975583146843832,-0.24416853156168372,0.9971914673266717,-0.2808532673328257,-0.08380069024801173,-0.03677452759515143
2012-02-29,227.865,227.915204716206,228.034,0.9997797219528706,-0.022027804712942967,0.9992588824473544,-0.07411175526456093,-0.11879528379398607,-0.05209542603031858
2012-03-31,228.735,228.475730341665,228.478,1.0011347798645716,0.11347798645715557,1.0011248347762147,0.11248347762147226,-0.0022696583349954835,-0.0009933815662721557
2012-04-30,229.303,228.964065290972,228.905,1.0014802965198808,0.1480296519880797,1.0017387125663484,0.17387125663483882,0.05906529097200064,0.025803407951774382
2012-05-31,229.602,229.28932327734,229.224,1.0013636776374528,0.13636776374528203,1.0016490419851325,0.16490419851324933,0.06532327734001342,0.028497573264596454
2012-06-30,229.879,229.673252576061,229.623,1.000895826665192,0.08958266651919455,1.0011148708970792,0.11148708970791787,0.05025257606101263,0.02188481818503618
2012-07-31,229.893,229.934714428285,229.97,0.9998185814247809,-0.018141857521913884,0.9996651737183111,-0.03348262816889047,-0.03528557171500779,-0.015343554252733593
2012-08-31,230.196,230.234830568696,230.233,0.9998313436390137,-0.016865636098628567,0.99983929323772,-0.016070676227997183,0.0018305686959934064,0.0007950939682865865
2012-09-30,230.78,230.628302756071,230.659,1.0006577564076748,0.06577564076748477,1.0005245839095809,0.0524583909580878,-0.030697243928983653,-0.013308496060848718
2012-10-31,231.276,231.067634730882,231.024,1.0009017501276658,0.09017501276658013,1.0010907957614794,0.10907957614794128,0.043634730881990436,0.01888753154737355
2012-11-30,231.263,231.368134614306,231.33,0.9995455959634145,-0.04544040365854762,0.9997103704664332,-0.02896295335668153,0.038134614305988634,0.016484941125649577
2012-12-31,231.033,231.751507289034,231.725,0.9968996650876668,-0.31003349123331914,0.9970137015859316,-0.2986298414068389,0.026507289034015002,0.011439114913813775
2013-01-31,231.612,232.192811616814,232.229,0.9974985805427409,-0.2501419457259124,0.997343139745682,-0.2656860254317994,-0.03618838318601547,-0.015583059474055805
2013-02-28,232.432,232.464766931389,232.569,0.9998590456015269,-0.01409543984730588,0.9994109275096853,-0.058907249031470155,-0.1042330686109949,-0.04481812649621553
2013-03-31,233.052,232.795310720064,232.794,1.0011026393922713,0.11026393922712874,1.0011082759864944,0.11082759864944336,0.0013107200639979055,0.0005630385937704929
2013-04-30,233.236,232.869069083917,232.832,1.001575696237918,0.15756962379180894,1.0017351566794943,0.17351566794943096,0.03706908391700381,0.0159209575646857
