month,mean,std,count
Jan,-0.0211,0.046,17
Feb,0.0369,0.1851,17
Mar,0.1293,0.0863,17
Apr,0.1405,0.2026,17
May,0.1545,0.177,17
Jun,0.1773,0.1068,16
Jul,0.0259,0.076,16
Aug,-0.0228,0.1104,16
Sep,-0.075,0.1467,16
Oct,-0.0966,0.0955,16
Nov,-0.2499,0.2144,16
Dec,-0.2106,0.2031,16
