month,mean,std,count
Jan,-0.731,0.1116,17
Feb,-0.4574,0.0884,17
Mar,0.0116,0.1274,17
Apr,0.2395,0.1067,17
May,0.5124,0.0861,16
Jun,0.5707,0.0346,16
Jul,0.5189,0.0681,16
Aug,0.4177,0.0329,16
Sep,0.3193,0.0257,16
Oct,-0.022,0.0602,16
Nov,-0.5068,0.0393,16
Dec,-0.8617,0.02,16
