,nsa,sa,trend,sa_minus_nsa_pct
2010-01-31,99.73805161290322,99.4484573514397,98.6444209776668,-0.2903548412871326
2010-02-28,98.76817896428572,98.521060950173,98.4368586279953,-0.25020003072253605
2010-03-31,98.50847900000001,98.0647335222706,98.2676693846681,-0.4504642465644082
2010-04-30,98.74895093333333,98.2162477889286,98.1626138219614,-0.5394519530282138
2010-05-31,98.47706512903225,98.271112955864,98.2621744807393,-0.20913719646132867
2010-06-30,98.21755296666667,98.5502921488972,98.7352589955481,0.33877771557131453
2010-07-31,99.68216758064516,99.581928035922,99.5578960365193,-0.10055915431619322
2010-08-31,100.84752706451613,100.734656038196,100.684386906987,-0.11192245323767835
2010-09-30,102.1241149,101.990135709288,102.067963131381,-0.13119251103737017
2010-10-31,103.41234129032259,103.629288191408,103.600001433949,0.2097882113280214
2010-11-30,104.16949960000001,105.024155178849,105.153423433616,0.8204470426859789
2010-12-31,106.06150206451612,106.783586044736,106.578719108083,0.680816286931929
2011-01-31,108.04875367741936,107.801772130807,107.755051511967,-0.22858342943012921
2011-02-28,109.57987971428572,109.355979412912,108.606066891148,-0.20432610617706626
2011-03-31,109.60191132258065,109.11673784481,109.111852322982,-0.4426688110781951
2011-04-30,110.14892376666667,109.580593631293,109.342213401591,-0.5159652186684904
2011-05-31,109.17949,108.894362894045,109.502496689927,-0.26115445854802966
2011-06-30,109.16715083333334,109.456928841193,109.759022536623,0.2654443261069117
2011-07-31,110.13544796774194,109.992394368672,110.075188729976,-0.12988878849600205
2011-08-31,110.78268861290323,110.680287373372,110.261199268953,-0.09243433320980099
2011-09-30,110.64539263333333,110.541396100062,110.093761918315,-0.09399083937996489
2011-10-31,109.08574506451613,109.292292522712,109.553564787705,0.18934413297879704
2011-11-30,108.08902576666667,108.912951075475,108.890048909844,0.7622654593880229
2011-12-31,107.48815922580646,108.214815381787,108.401129263302,0.6760336777691167
2012-01-31,108.33019829032258,108.192124945131,108.189137157754,-0.12745600706974836
2012-02-29,108.25588737931034,108.131059419648,108.122949598561,-0.11530824113515914
2012-03-31,108.69777212903226,108.240330341348,108.084685574154,-0.42083823681431376
2012-04-30,108.51314056666666,108.018981384902,108.040648553766,-0.45539109750589724
2012-05-31,108.20450022580646,107.844379095915,107.986884746855,-0.33281529801434395
2012-06-30,107.95742086666665,108.081454235336,107.98706383822,0.1148910076524734
2012-07-31,111.17910303225806,110.970266667646,111.03311657454,-0.18783778508399962
2012-08-31,111.14738370967741,111.067453980572,111.052598924811,-0.07191327986109108
2012-09-30,111.14184246666667,111.10391212109,110.984913172156,-0.03412787185712585
2012-10-31,110.68957954838709,110.859135715478,110.852661961184,0.15318168863112103
2012-11-30,109.75646616666667,110.493709477973,110.719288758528,0.6717083166533522
2012-12-31,109.94922064516129,110.705942158837,110.583882960408,0.6882463643083758
2013-01-31,110.39963906451612,110.395599872292,110.378648425158,-0.00365870057036366
2013-02-28,110.25632314285714,110.256947185032,110.074410520674,0.0005659921871847828
2013-03-31,110.08645432258065,109.667000468347,109.733038549973,-0.381022221866234
2013-04-30,109.6349724,109.216044941503,109.519496178292,-0.38211115424788833
2013-05-31,110.02134125806452,109.566754537871,109.469207304951,-0.4131804929802141
2013-06-30,109.65484756666666,109.571133753655,109.482233340385,-0.07634301161265622
2013-07-31,110.00764819354839,109.727763332702,109.498815046453,-0.2544230927962077
2013-08-31,109.21354729032258,109.173055880894,109.499570591629,-0.037075445705414545
2013-09-30,109.48468446666668,109.554482352272,109.538198112612,0.06375127803979197
2013-10-31,109.72342851612903,109.854633123079,109.666269232395,0.11957756763922855
2013-11-30,109.25416506666667,109.875271641734,109.875196582221,0.5684969307012899
2013-12-31,109.3867023548387,110.11487740114,110.233393915575,0.6656888183165011
2014-01-31,109.53983370967742,109.63582700057,110.822058489567,0.08763322678304597
2014-02-28,110.84658532142858,110.937386834015,111.668521605586,0.08191638228920439
2014-03-31,113.06483722580646,112.714213323975,112.567714219286,-0.310108704381018
2014-04-30,113.8984782,113.586165651795,113.201651291594,-0.274202564547521
2014-05-31,114.09724548387098,113.559495028723,113.400241824462,-0.47130888468642773
2014-06-30,113.49481353333334,113.217291889976,113.181844181642,-0.24452363479661177
2014-07-31,112.93941448387098,112.555194321325,112.73149448943,-0.3402002430257345
2014-08-31,112.38237129032258,112.397237253173,112.329871506013,0.013228020266642382
2014-09-30,111.55967403333334,111.739627617991,112.143547725613,0.1613070190612964
2014-10-31,111.92295451612902,112.022850579582,112.152684568521,0.08925431238377968
2014-11-30,112.15916193333334,112.677561427357,112.157068125805,0.4621998640929492
2014-12-31,112.06761254838709,112.807694255849,111.957350696951,0.6603885731413905
2015-01-31,111.4001689032258,111.547427331925,111.501346961728,0.13218869428026636
2015-02-28,110.67476257142857,110.807877911745,110.907094345002,0.12027614717537993
2015-03-31,110.63540864516128,110.354497402839,110.445756097498,-0.2539071765199852
2015-04-30,110.42376746666667,110.191027016005,110.276169103914,-0.21077024992099958
2015-05-31,110.91382680645161,110.349238404925,110.385063816145,-0.5090333800418123
2015-06-30,111.13988653333332,110.747244054009,110.640427698627,-0.3532867376165316
2015-07-31,112.02845103225806,111.616080203853,110.918590507207,-0.36809473361933964
2015-08-31,111.1207765483871,111.198695382939,111.141720364986,0.07012085135849055
2015-09-30,110.84015296666666,111.149804801993,111.263344516945,0.2793679249246894
2015-10-31,111.32277787096774,111.416259851387,111.259144862223,0.08397381219467093
2015-11-30,110.7184787,111.139224359267,111.123034827156,0.380013945465274
2015-12-31,110.22818877419355,110.889394520915,110.8970406566,0.5998517748268206
2016-01-31,110.51401058064515,110.638162427949,110.696483207957,0.11234036901885958
2016-02-29,110.44179168965518,110.533389678334,110.605861590013,0.08293779671395551
2016-03-31,110.88582974193548,110.656737794317,110.658173303757,-0.20660164436848705
2016-04-30,111.0456759,110.873480713071,110.805667059901,-0.15506698980702893
2016-05-31,111.48072877419355,110.919059478347,110.986786358526,-0.5038263581719438
2016-06-30,112.10766503333335,111.669433310838,111.142032981148,-0.3909025510120512
2016-07-31,111.70020903225806,111.283721226064,111.208946930513,-0.37286215469281014
2016-08-31,111.04652225806453,111.171378953601,111.155069306054,0.11243638521729604
2016-09-30,110.66001396666667,111.071878261633,110.998353857348,0.37218890564245655
2016-10-31,110.5999891935484,110.711845633067,110.824250820639,0.10113603114632053
2016-11-30,110.31512413333333,110.688887767789,110.746156827005,0.3388144983673458
2016-12-31,110.12741338709677,110.729240714183,110.777253808758,0.5464827589937382
2017-01-31,110.801108,110.891379455661,110.824395199767,0.08147161819085369
2017-02-28,110.92286635714287,110.926367524306,110.788255545774,0.003156398025150331
2017-03-31,110.85067461290323,110.630861266356,110.629423122864,-0.19829680542299277
2017-04-30,110.51425033333334,110.368899503711,110.457875759755,-0.1315222509168934
2017-05-31,110.91852,110.346704650128,110.381133431426,-0.515527388818382
2017-06-30,110.63727173333334,110.183556581177,110.461162653486,-0.41009249871047926
2017-07-31,111.48512829032259,111.119349588614,110.646946654913,-0.32809640829946085
2017-08-31,110.61778806451612,110.793116755518,110.883261188346,0.1584995452084348
2017-09-30,110.67753196666666,111.157661698515,111.103233890979,0.4338095757257632
2017-10-31,111.05684429032259,111.212717416688,111.280231846402,0.1403543629944437
2017-11-30,111.17047263333333,111.589629883391,111.401873734528,0.37704008998877825
2017-12-31,110.77700038709678,111.331581427604,111.497172173504,0.5006283240828857
2018-01-31,111.58965277419354,111.637609930446,111.601890118104,0.042976346874668
2018-02-28,111.76110642857144,111.624996718989,111.724245915091,-0.12178629393708729
2018-03-31,112.12906729032258,111.903216120098,111.81563832646,-0.20142071603950207
2018-04-30,112.04513793333332,111.907383226571,111.801180903582,-0.12294572464561782
2018-05-31,112.21957158064517,111.579722033381,111.644340376676,-0.5701764302355583
2018-06-30,111.95498746666667,111.49125424344,111.412453054779,-0.41421399235540557
2018-07-31,111.36302670967741,111.038701768438,111.221780883148,-0.29123215381432477
2018-08-31,110.93507751612904,111.148588310815,111.154564090188,0.19246463739561737
2018-09-30,110.58893706666666,111.134630588658,111.21134354939,0.4934431385866134
2018-10-31,111.26685051612904,111.49934249004,111.338927253514,0.2089499009206186
2018-11-30,110.87414073333333,111.374708731893,111.486398195145,0.4514740725374278
2018-12-31,111.12885806451612,111.679953761188,111.604163850624,0.4959069194717447
2019-01-31,112.21060058064515,112.272934913856,111.690017229424,0.05555119827209687
2019-02-28,112.08951996428571,111.807286080589,111.747909953334,-0.25179328432011205
2019-03-31,112.0728059032258,111.798681110132,111.81022723885,-0.24459527972424677
2019-04-30,112.08450546666667,111.880662501881,111.934927720058,-0.18186542728360067
2019-05-31,111.8812729032258,111.144493315978,112.158873089409,-0.6585370081417463
2019-06-30,112.91724726666666,112.421265202341,112.407920537638,-0.4392438501040874
2019-07-31,113.0652126451613,112.841589027281,112.620215598004,-0.19778286587768257
2019-08-31,112.52416187096775,112.746392400934,112.799686946316,0.19749583224719647
2019-09-30,112.24886706666666,112.856822001901,113.046253825571,0.5416134265954442
2019-10-31,112.98710525806452,113.348117109003,113.417167334849,0.3195159749547649
2019-11-30,113.26772086666666,113.906939676328,113.834390705338,0.5643433140265941
2019-12-31,113.80461467741937,114.332391826731,114.135314457954,0.46375724816398733
2020-01-31,114.90775454838709,114.999525150572,114.186364821048,0.07986458576758615
2020-02-29,114.47941444827586,114.044269629363,114.092211830362,-0.3801074813406413
2020-03-31,114.32529267741936,114.001876977747,114.060820538005,-0.2828907690487159
2020-04-30,114.3051612,114.012301307411,114.216953143745,-0.25620880939627444
2020-05-31,115.59520996774194,114.759034941275,114.546916147541,-0.7233647715162883
2020-06-30,115.60332173333333,115.079800001231,115.026072581328,-0.45286045785946083
2020-07-31,115.36595732258064,115.22206534927,115.680897306707,-0.12472654555130136
2020-08-31,116.08483845161291,116.270406555466,116.467100663133,0.15985559038396158
2020-09-30,116.8222275,117.495937915125,117.231900538641,0.5766971145324318
2020-10-31,117.61821525806452,118.171993441137,117.88854681467,0.4708268883841127
2020-11-30,117.52858110000001,118.2776629267,118.425476057795,0.6373614142951567
2020-12-31,118.19420880645161,118.673675021029,118.979180952303,0.4056596506877286
2021-01-31,119.73148603225806,119.910121974055,119.716661495448,0.14919713077712338
2021-02-28,121.22677182142857,120.656852515465,120.713485824698,-0.47012660437999454
2021-03-31,122.13783558064516,121.734085497742,121.831451608441,-0.3305692138588556
2021-04-30,123.38784056666667,122.968434457274,122.915415668433,-0.3399087847445248
2021-05-31,125.07039112903225,124.137815862285,123.923068760292,-0.7456403216850371
2021-06-30,125.2026778,124.616527412597,124.785716107022,-0.46816122282890005
2021-07-31,125.61500038709677,125.556602308489,125.474237714648,-0.046489733254628796
2021-08-31,126.15812335483871,126.318894541032,126.126496201837,0.12743625374094236
2021-09-30,125.8834961,126.567828161132,126.879327607169,0.5436233361268972
2021-10-31,127.06819806451614,127.825132427265,127.792034273557,0.5956914273424596
2021-11-30,128.22598716666667,129.129816254702,128.970866930281,0.7048720060626623
2021-12-31,129.87463003225807,130.310390252339,130.50391433683,0.3355237431457603
2022-01-31,131.52818122580646,131.786057546717,132.325986643027,0.19606164892358446
2022-02-28,135.22636757142857,134.536188646998,134.226894302375,-0.5103878310315557
2022-03-31,136.59829325806453,136.137077355634,136.031052703965,-0.33764397155328085
2022-04-30,138.1781380333333,137.610688216185,137.5230235032,-0.4106654100458518
2022-05-31,139.5489515483871,138.51833861364,138.693024866842,-0.7385314782459962
2022-06-30,140.52653876666668,139.887084168077,139.714984087383,-0.45504187621915326
2022-07-31,140.39418606451613,140.38629474404,140.687361899438,-0.005620831387220804
2022-08-31,141.58314964516128,141.718381274377,141.524492975709,0.0955139291325624
2022-09-30,141.7482521,142.435481214821,142.260166892109,0.48482369598192854
2022-10-31,141.78579596774193,142.76895743625,142.966368095883,0.6934132307101715
2022-11-30,142.33232763333334,143.313778920995,143.689989442857,0.6895491024287992
2022-12-31,144.29595393548388,144.678858907906,144.316316868012,0.26536085176256385
2023-01-31,144.45355380645162,144.822697343438,144.692480225702,0.2555447943364264
2023-02-28,145.49351225,144.785152637692,144.671813736489,-0.48686680344265376
2023-03-31,144.74404116129034,144.260254539421,144.350147915806,-0.3342359505703274
2023-04-30,145.43607726666667,144.788297646881,144.05039676649,-0.44540504114252144
2023-05-31,144.09985922580645,143.08969087278,144.057795083654,-0.701019666815561
2023-06-30,144.92834943333335,144.269499359052,144.396757135942,-0.454604000430181
2023-07-31,145.91263754838712,145.958299457856,144.874250057072,0.03129400594497067
2023-08-31,145.40116461290322,145.531446701781,145.324974353286,0.08960181936961131
2023-09-30,145.12559316666665,145.693660949375,145.710207720184,0.3914318421120555
2023-10-31,144.5536793870968,145.573128852057,145.984522096826,0.7052393749385377
2023-11-30,145.62090316666666,146.580572715561,146.142485814516,0.6590190886235359
2023-12-31,146.1403180967742,146.421379029519,146.253688436442,0.1923226501797215
2024-01-31,145.60044467741935,145.989041055944,146.413888057955,0.26689230200196423
2024-02-29,147.118533,146.539356551271,146.661740314659,-0.39368014139252727
2024-03-31,147.65900441935483,147.233379765233,146.990770743029,-0.2882483569461525
2024-04-30,149.06688393333334,148.418602565557,147.335727569345,-0.4348929491719167
2024-05-31,148.34762687096773,147.36011779877,147.535307443487,-0.6656723083657168
2024-06-30,148.32959533333332,147.672771759457,147.626098062072,-0.4428135682567502
2024-07-31,147.82693461290324,147.861156823387,147.800252086435,0.023150186110121318
2024-08-31,146.94698980645163,147.075607393865,148.097609682739,0.08752652067440803
