month,mean,std,count
Jan,-0.4343,0.2854,17
Feb,-0.0013,0.1338,17
Mar,0.2242,0.0572,17
Apr,0.4176,0.1048,17
May,0.4456,0.1733,17
Jun,0.287,0.1443,16
Jul,0.2351,0.1451,16
Aug,0.1197,0.1604,16
Sep,-0.0911,0.033,16
Oct,-0.235,0.0387,16
Nov,-0.3822,0.1018,16
Dec,-0.5974,0.1642,16
