month,mean,std,count
Jan,-0.7374,0.0948,17
Feb,-0.5497,0.0768,17
Mar,-0.117,0.1476,17
Apr,0.1403,0.0681,17
May,0.4877,0.0662,17
Jun,0.5625,0.0931,16
Jul,0.5287,0.1309,16
Aug,0.4238,0.0614,16
Sep,0.2878,0.019,16
Oct,0.0683,0.023,16
Nov,-0.3662,0.0639,16
Dec,-0.7246,0.0643,16
