month,mean,std,count
Jan,0.0809,0.0474,17
Feb,0.042,0.1265,17
Mar,-0.1404,0.0596,17
Apr,-0.1585,0.0808,17
May,-0.3393,0.0852,17
Jun,-0.4569,0.1473,16
Jul,-0.4307,0.0944,16
Aug,0.0724,0.1382,16
Sep,0.4275,0.2275,16
Oct,0.3371,0.1855,16
Nov,0.3993,0.0634,16
Dec,0.1724,0.0714,16
