month,mean,std,count
Jan,-1.5635,0.3544,17
Feb,-1.223,0.094,17
Mar,0.1281,0.6111,17
Apr,0.8248,0.4484,17
May,1.3936,0.3717,17
Jun,1.1063,0.1513,16
Jul,1.0256,0.1411,16
Aug,0.5349,0.1213,16
Sep,0.1469,0.1972,16
Oct,-0.1683,0.4061,16
Nov,-0.7348,0.3371,16
Dec,-1.4092,0.27,16
