month,mean,std,count
Jan,-0.5018,0.0735,17
Feb,-0.2692,0.063,17
Mar,0.0263,0.0994,17
Apr,0.1855,0.0479,17
May,0.3564,0.0437,17
Jun,0.3493,0.0603,16
Jul,0.3064,0.0866,16
Aug,0.2191,0.0416,16
Sep,0.1705,0.0314,16
Oct,0.0169,0.0192,16
Nov,-0.2882,0.0469,16
Dec,-0.5715,0.0445,16
