date,value
2010-01-01,167.13333333333333
2010-02-01,167.20000000000002
2010-03-01,167.53333333333333
2010-04-01,167.53333333333333
2010-05-01,167.49999999999997
2010-06-01,167.5666666666667
2010-07-01,167.86666666666665
2010-08-01,167.9
2010-09-01,168.1
2010-10-01,169.33333333333334
2010-11-01,169.43333333333334
2010-12-01,169.5
2011-01-01,170.33333333333334
2011-02-01,170.69999999999996
2011-03-01,171.1
2011-04-01,171.26666666666665
2011-05-01,171.29999999999998
2011-06-01,171.26666666666665
2011-07-01,171.76666666666665
2011-08-01,171.83333333333334
2011-09-01,172.16666666666666
2011-10-01,172.06666666666663
2011-11-01,172.20000000000002
2011-12-01,172.53333333333333
2012-01-01,173.4
2012-02-01,174.0666666666667
2012-03-01,174.1
2012-04-01,174.0
2012-05-01,174.16666666666666
2012-06-01,174.13333333333333
2012-07-01,174.6
2012-08-01,174.76666666666665
2012-09-01,174.80000000000004
2012-10-01,175.29999999999998
2012-11-01,175.29999999999998
2012-12-01,175.4666666666667
2013-01-01,176.16666666666666
2013-02-01,176.4666666666667
2013-03-01,176.66666666666666
2013-04-01,175.76666666666665
2013-05-01,175.9
2013-06-01,176.0666666666667
2013-07-01,176.33333333333334
2013-08-01,176.13333333333333
2013-09-01,176.33333333333334
2013-10-01,177.19999999999996
2013-11-01,177.26666666666665
2013-12-01,177.29999999999998
2014-01-01,177.66666666666666
2014-02-01,177.70000000000002
2014-03-01,177.83333333333334
2014-04-01,177.83333333333334
2014-05-01,177.76666666666665
2014-06-01,177.86666666666667
2014-07-01,178.1
2014-08-01,178.53333333333333
2014-09-01,178.63333333333333
2014-10-01,178.76666666666665
2014-11-01,178.69999999999996
2014-12-01,178.69999999999996
2015-01-01,178.73333333333335
2015-02-01,178.86666666666667
2015-03-01,178.93333333333337
2015-04-01,179.20000000000002
2015-05-01,178.86666666666665
2015-06-01,178.83333333333334
2015-07-01,179.26666666666665
2015-08-01,179.69999999999996
2015-09-01,179.96666666666667
2015-10-01,180.29999999999998
2015-11-01,180.26666666666665
2015-12-01,180.53333333333333
2016-01-01,180.9666666666667
2016-02-01,181.1
2016-03-01,181.1
2016-04-01,181.26666666666665
2016-05-01,181.23333333333335
2016-06-01,181.36666666666665
2016-07-01,182.4333333333333
2016-08-01,182.80000000000004
2016-09-01,182.80000000000004
2016-10-01,183.73333333333335
2016-11-01,183.63333333333335
2016-12-01,183.73333333333335
