origin,target,diesel_ret,h_static,h_rolling,basket_DBO,basket_HOUSD,basket_RBUSD,vol_ratio,multiplier,cost_shock,net_unhedged,net_static_DBO,net_rolling_DBO,net_basket,net_bvar_basket
2015-01-31,2015-02-28,0.01179340758644809,0.30208374082439127,0.31131978302304425,0.03887942593785365,0.19314860536347972,0.18216957697211644,0.9381990226530802,1.0,29410.909513839906,-29410.909513839906,26125.441455451124,27823.434467957406,304119.09227996116,304119.09227996116
2015-02-28,2015-03-31,-0.02655641736143255,0.30208374082439127,0.29367176330185524,0.22407166574248683,0.008821374674532336,0.08287264242829831,0.9662310743878402,1.0,-64971.264367815835,64971.264367815835,6614.1780721946125,8239.21918450272,-5438.105868096696,-5438.105868096696
2015-03-31,2015-04-30,-0.0046140277066009094,0.30208374082439127,0.29672170585838725,0.24221624438610467,0.0034194831338784743,0.07251759787457392,0.9661332115374642,1.0,-11412.594428706425,11412.594428706425,105235.27344586943,103569.90580932837,115859.05274636635,115859.05274636635
2015-04-30,2015-05-31,0.03598641584861828,0.30208374082439127,0.27723802082654153,0.24095989260633724,0.0004724871533919012,0.05385926076870842,0.9594702916616057,1.0,90841.04114787135,-90841.04114787135,-112548.74957667734,-110763.3385381845,-107019.72572487404,-107019.72572487404
2015-05-31,2015-06-30,-0.024666875104150332,0.30208374082439127,0.2893704511879908,0.2393712977648098,0.00041650499539213996,0.06112382485238408,0.9612446390192576,1.0,-60405.22763669633,60405.22763669633,53292.050451409385,53591.41075972919,53755.37872147847,53755.37872147847
2015-06-30,2015-07-31,-0.04312561897724021,0.30208374082439127,0.2912968333915799,0.24755083881221399,0.013273973571615867,0.04091815309227347,0.9760653383062614,1.0,-104642.98276468524,104642.98276468524,-24621.960440820752,-20006.12453763657,-20296.032674805523,-20296.032674805523
2015-07-31,2015-08-31,-0.07985910352356695,0.30208374082439127,0.27474935118645283,0.24190869147476043,0.00700565073235103,0.04045881508932692,0.9756820092859882,1.0,-190284.91859468733,190284.91859468733,211983.64204483898,210020.20846243668,193196.1831804985,193196.1831804985
2015-08-31,2015-09-30,-0.015230755345705949,0.30208374082439127,0.22710201404854968,0.16008735786764108,-0.07016155357606066,0.1697200852323192,1.0183781410393664,1.0,-37473.48183505696,37473.48183505696,-27597.251556520496,-11445.717088112142,-17438.900846138706,-17438.900846138706
2015-09-30,2015-10-31,0.008846056881036457,0.30208374082439127,0.22419548052019497,0.16156071890109688,-0.07310873542239715,0.16931966968523413,1.0123753829124902,1.0,22028.136779752607,-22028.136779752607,-6192.028780588427,-10275.157844993448,-10471.953205278789,-10471.953205278789
2015-10-31,2015-11-30,-0.03130973374746471,0.30208374082439127,0.2277265664214748,0.16312546247817827,-0.07651976713281905,0.17383462326695098,1.004478525862445,1.0,-76419.46890846072,76419.46890846072,3401.7801166576974,21374.905731340208,37220.354204084775,37220.354204084775
2015-11-30,2015-12-31,-0.07904499544792876,0.30208374082439127,0.22665259779728472,0.1722121555207903,-0.07472231711461783,0.17007231879926615,0.9960189445810921,1.0,-188420.76277020495,188420.76277020495,87467.46673585867,112675.78311675056,152016.33489319403,152016.33489319403
2015-12-31,2016-01-31,-0.07710410009454538,0.30208374082439127,0.25116264321127335,0.2180257342244667,-0.038472329144527126,0.12106629476800532,0.9632815590515337,1.0,-183970.34719117853,183970.34719117853,97079.5474305714,111726.39629511812,92455.56251829611,92455.56251829611
2016-01-31,2016-02-29,-0.04039958254161202,0.30208374082439127,0.2671030514346686,0.24680321562229612,-0.06229501806116816,0.13754760570144392,0.9353337881582905,1.0,-98161.11379365853,98161.11379365853,40120.12838213884,46841.15771332045,104420.78732556166,104420.78732556166
2016-02-29,2016-03-31,0.06425567571071022,0.30208374082439127,0.28010868517362736,0.32264574569480603,-0.05482218114408346,0.06815448209792821,0.9816961070924748,1.0,164529.91452991447,-164529.91452991447,-124953.0558700794,-127832.07103706212,-119882.02237347665,-119882.02237347665
2016-03-31,2016-04-30,0.03566018039888419,0.30208374082439127,0.31676334057940014,0.3448925306542796,-0.06246442628624121,0.07166208005662048,0.9585938659662304,1.0,90002.75027502721,-90002.75027502721,-10002.720563462746,-6115.161394108858,-4538.614911645607,-4538.614911645607
2016-04-30,2016-05-31,0.08039261495167882,0.30208374082439127,0.32102113013090483,0.34306538620912475,-0.0553137902238192,0.06352822104385325,0.9498437153865512,1.0,207537.15498938438,-207537.15498938438,-167478.86048180884,-164967.6378785178,-172916.57995588286,-172916.57995588286
2016-05-31,2016-06-30,0.018303339588749967,0.30208374082439127,0.34184714326482635,0.35062373519222795,-0.03278440025167823,0.04398343385018306,0.9202074400442011,1.0,45794.85026588261,-45794.85026588261,-37528.66990392006,-36440.58930917857,-43176.26620987539,-43176.26620987539
2016-06-30,2016-07-31,-0.019563579201037795,0.30208374082439127,0.3475489920807448,0.35738151741757657,-0.028811272891338655,0.03332912979338866,0.9113741782355542,1.0,-48030.02198406168,48030.02198406168,-41905.298416940816,-55441.05485220437,-58339.341676888056,-58339.341676888056
2016-07-31,2016-08-31,0.012531492311913639,0.30208374082439127,0.33601285553387616,0.35132872571122925,-0.032540214430212586,0.03144145186218653,0.9127491424938949,1.0,31263.135771332272,-31263.135771332272,3116.380121187103,6977.781384262511,1063.4182771086853,1063.4182771086853
2016-08-31,2016-09-30,-0.011271252699625811,0.30208374082439127,0.33614240470424445,0.35137912422722034,-0.03230690756689554,0.03109471434220651,0.9056914254107962,1.0,-27786.42590286382,27786.42590286382,66875.75140099815,71282.90749221283,74068.04884778798,74068.04884778798
2016-09-30,2016-10-31,0.039914782119945036,0.30208374082439127,0.327740778673442,0.3524312604137939,-0.034237875299862476,0.02601961530120228,0.9012076290982131,1.0,100956.82899524186,-100956.82899524186,-126286.56769176252,-128437.91176168712,-130630.5418037595,-130630.5418037595
2016-10-31,2016-11-30,-0.024087712884458434,0.30208374082439127,0.3275217883076713,0.34380168052177923,-0.0293984776021565,0.023367414802833067,0.8862789704345108,0.5,-59003.96665322044,59003.96665322044,96580.84582957232,99745.14204145348,100666.70399117432,79835.33532219738
2016-11-30,2016-12-31,0.04839654086185019,0.30208374082439127,0.31663901363407615,0.3373889385697685,-0.02934094906934659,0.02317680462323854,0.8804117300584853,0.5,122933.8842975208,-122933.8842975208,-66349.12432643358,-63622.70609550834,-58611.01247038864,-90772.44838395472
2016-12-31,2017-01-31,0.00862412244409716,0.30208374082439127,0.32530916688042516,0.33776396466152947,-0.030488803502693333,0.030345322439319675,0.8693376808958623,0.5,21473.097112860632,-21473.097112860632,-47004.32236719498,-48967.26675687399,-51351.97468633983,-36412.53589960023
2017-01-31,2017-02-28,0.005837728195685621,0.30208374082439127,0.324917878236903,0.34610772558671504,-0.04168945091119689,0.0322070223208091,0.863404675748165,0.5,14515.027322404661,-14515.027322404661,-17718.94578569349,-17961.12603097769,-9533.58161868823,-12024.304470546445
2017-02-28,2017-03-31,-0.017616427388298272,0.30208374082439127,0.3223863278030057,0.34518474324167514,-0.042982697837275013,0.03488038746279599,0.8672699307653672,0.5,-43291.61816065206,43291.61816065206,1461.72673070796,-1349.5964035488141,-2723.3696815025614,20284.12423957475
2017-03-31,2017-04-30,0.024577012335922244,0.30208374082439127,0.3230156996018293,0.3482317864523742,-0.04710976908297285,0.03577414702128066,0.8618505247767669,0.5,61685.426540284236,-61685.426540284236,-82985.65238766196,-84461.58567745335,-89140.86330747102,-75413.14492387763
2017-04-30,2017-05-31,-0.009291588334099488,0.30208374082439127,0.323234909165267,0.3518891859585191,-0.04300701929034792,0.0221415173751477,0.8533231669415647,0.5,-22928.709055876672,22928.709055876672,1004.9402972757634,-530.1086345671683,-1694.6096542398009,10617.049700818436
2017-05-31,2017-06-30,-0.04210312078909917,0.30208374082439127,0.3292341905706163,0.36286893329837255,-0.0520945049869716,0.023152562693154008,0.8480800663803778,0.5,-102213.79489174155,102213.79489174155,82339.06546174924,80552.779840629,78755.1703925428,90484.48264214217
2017-06-30,2017-07-31,0.026422674068333762,0.30208374082439127,0.33257918004313863,0.3679508998595394,-0.056951086417559894,0.028982264444498078,0.8417664632301791,0.5,66379.3103448282,-66379.3103448282,-22762.148985089858,-18358.984188764618,-22399.048196800235,-44389.17927081422
2017-07-31,2017-08-31,0.02881819364234317,0.30208374082439127,0.3358582814248871,0.36890785367820317,-0.05776021560519425,0.032764859822465034,0.8325998127132169,0.5,72484.52522059758,-72484.52522059758,-90900.49097782219,-92959.49217221717,-99157.5122117931,-85821.01871619534
2017-08-31,2017-09-30,0.06789181769294717,0.30208374082439127,0.33734352633843206,0.34350306728746344,-0.039940739802579,0.03808729092522467,0.8238319368179127,0.5,174160.26871401162,-174160.26871401162,-132803.56610114858,-127976.33356053586,-140174.8077632592,-157167.5382386354
2017-09-30,2017-10-31,0.011057719233698027,0.30208374082439127,0.3521875711103772,0.36591133230487605,-0.020830396083849286,-0.003801961703509855,0.8069830828161658,0.5,27566.056910568805,-27566.056910568805,10774.349614711296,17133.517494438616,15961.889444545573,-5802.083733011616
2017-10-31,2017-11-30,0.03725409046595707,0.30208374082439127,0.3513112016619031,0.370815022588602,-0.02503882400060912,-0.001893393864221149,0.8050885150153257,0.5,94101.04055811737,-94101.04055811737,-58438.37671079319,-52626.80147303135,-50587.60150015411,-72344.32102913574
2017-11-30,2017-12-31,-0.007891617555439767,0.30208374082439127,0.3971523163461522,0.4607536879435479,-0.07142360939108489,0.00848023085991209,0.7979090908779631,0.5,-19487.639553429068,19487.639553429068,55850.29370354132,67293.96069074018,58647.66692827031,39067.653240849686
2017-12-31,2018-01-31,0.05593287655661294,0.30208374082439127,0.35880181616776874,0.4213572891679453,-0.052260273700545784,-0.008153248693951553,0.871079896801013,0.5,142618.26845791712,-142618.26845791712,-82852.56283791905,-71631.18500058705,-59963.58234246107,-101290.9254001891
2018-01-31,2018-02-28,-0.020734657592713646,0.30208374082439127,0.3251435387754432,0.37243985267178176,-0.05954136461604056,0.023208811094660383,0.9528202386024334,1.0,-50875.40716612341,50875.40716612341,18759.48634741103,16307.892484496006,23318.694545020633,23318.694545020633
2018-02-28,2018-03-31,0.000997174754392205,0.30208374082439127,0.3335032020443189,0.3649646002571988,-0.04898076127061574,0.022125370199304533,0.9448413811518176,1.0,2473.3954107079476,-2473.3954107079476,46074.06309642126,51123.441079255186,51630.75462162465,51630.75462162465
2018-03-31,2018-04-30,0.047682130815070334,0.30208374082439127,0.32348682571676607,0.3843658149083307,-0.08071189754049952,0.025171805835972595,0.9465735810224989,1.0,121075.58139534916,-121075.58139534916,-77494.97606715096,-74407.22499205175,-75933.06859163797,-75933.06859163797
2018-04-30,2018-05-31,0.04065726761807875,0.30208374082439127,0.36497863243540446,0.39942892386985884,-0.07013414969682226,0.04401901771010112,0.9363285610646668,1.0,102873.24464153702,-102873.24464153702,-96537.23837424608,-95218.05970431685,-94899.72043248548,-94899.72043248548
2018-05-31,2018-06-30,-0.022141125877213286,0.30208374082439127,0.37291864366679833,0.4217520744395922,-0.08135830657885633,0.04103550996147956,0.9368085478339602,1.0,-54288.32116788259,54288.32116788259,88215.72117028662,96171.2770578934,99570.3493506902,99570.3493506902
