panel,model,n,rmse,mae,cov80,cov95,dir_hit,n_vecm,n_fallback,coint_pct
clothing,forced_vecm,36,0.004956257704442864,0.003936790760635504,0.8055555555555556,0.9166666666666666,0.5555555555555556,36,0,100.0
clothing,gated_ardl,36,0.004956257704442864,0.003936790760635504,0.8055555555555556,0.9166666666666666,0.5555555555555556,36,0,100.0
clothing,gated_bridge,36,0.004956257704442864,0.003936790760635504,0.8055555555555556,0.9166666666666666,0.5555555555555556,36,0,100.0
clothing,gated_ar1,36,0.004956257704442864,0.003936790760635504,0.8055555555555556,0.9166666666666666,0.5555555555555556,36,0,100.0
control,forced_vecm,156,0.007013636971879767,0.004771640970673878,0.8717948717948718,0.9166666666666666,0.5192307692307693,73,83,46.794871794871796
control,gated_ardl,156,0.007020141962836586,0.004769834696402402,0.8653846153846154,0.9230769230769231,0.5448717948717948,49,107,31.41025641025641
control,gated_bridge,156,0.03221815006478366,0.023245412704887912,0.7115384615384616,0.6025641025641025,0.5961538461538461,49,107,31.41025641025641
control,gated_ar1,156,0.006965480811092207,0.004777396577131558,0.8461538461538461,0.9102564102564102,0.46794871794871795,49,107,31.41025641025641
