origin,target,diesel_ret,housd_ret,cost_shock,diesel_vol_6m,vol_thresh,bvar_hedge_ratio,net_unhedged,net_static50,net_bvar,year
2015-01-31,2015-02-28,0.01179340758644809,0.30989396796832946,29410.909513839906,0.053942290319094366,0.029677587379692914,1.0,-29410.909513839906,420905.6118643255,871222.1332424909,2015
2015-02-28,2015-03-31,-0.02655641736143255,-0.2913281330120686,-64971.264367815835,0.05769188609721776,0.029685839550520385,1.0,64971.264367815835,-248308.09387598195,-561587.4521197798,2015
2015-03-31,2015-04-30,-0.0046140277066009094,0.14012379501398886,-11412.594428706425,0.05690330572571802,0.029694091721347852,1.0,11412.594428706425,197866.01624216087,384319.43805561535,2015
2015-04-30,2015-05-31,0.03598641584861828,-0.01068277531415951,90841.04114787135,0.059453322879906845,0.02988308192108076,1.0,-90841.04114787135,-104012.75090853516,-117184.46066919898,2015
2015-05-31,2015-06-30,-0.024666875104150332,-0.03576736711647632,-60405.22763669633,0.0662933651983581,0.030072072120813666,1.0,60405.22763669633,16852.128368041893,-26700.97090061254,2015
2015-06-30,2015-07-31,-0.04312561897724021,-0.17482297384138162,-104642.98276468524,0.051645052503575775,0.03019991578529476,1.0,104642.98276468524,-94179.19293056891,-293001.36862582306,2015
2015-07-31,2015-08-31,-0.07985910352356695,0.055023701496232535,-190284.91859468733,0.02895615418784276,0.030072072120813666,0.0,190284.91859468733,260402.76371253235,190284.91859468733,2015
2015-08-31,2015-09-30,-0.015230755345705949,-0.10114697044867466,-37473.48183505696,0.03864445312631026,0.03019991578529476,1.0,37473.48183505696,-81774.19781758808,-201021.8774702331,2015
2015-09-30,2015-10-31,0.008846056881036457,-0.008764996352967347,22028.136779752607,0.03875966709576884,0.03032775944977585,1.0,-22028.136779752607,-32845.60339353011,-43663.0700073076,2015
2015-10-31,2015-11-30,-0.03130973374746471,-0.11471152707988491,-76419.46890846072,0.04031965246585223,0.030383749926466495,1.0,76419.46890846072,-57922.46230847051,-192264.39352540174,2015
2015-11-30,2015-12-31,-0.07904499544792876,-0.1944071599597308,-188420.76277020495,0.029701020470961407,0.03032775944977585,0.0,188420.76277020495,-30585.582755513722,188420.76277020495,2015
2015-12-31,2016-01-31,-0.07710410009454538,-0.04231079188129968,-183970.34719117853,0.0352079255172548,0.030383749926466495,1.0,183970.34719117853,132616.66317191796,81262.9791526574,2016
2016-01-31,2016-02-29,-0.04039958254161202,0.019614912573683398,-98161.11379365853,0.038407385493734104,0.03043974040315714,1.0,98161.11379365853,122715.46093295034,147269.80807224216,2016
2016-02-29,2016-03-31,0.06425567571071022,0.0963235222318593,164529.91452991447,0.03455672273473999,0.031163894284286345,1.0,-164529.91452991447,-39189.14625234321,86151.62202522805,2016
2016-03-31,2016-04-30,0.03566018039888419,0.15098661704626828,90002.75027502721,0.0548106173573216,0.03188804816541555,1.0,-90002.75027502721,112025.89731669001,314054.54490840726,2016
2016-04-30,2016-05-31,0.08039261495167882,0.08323644998974705,207537.15498938438,0.05912326668912953,0.03241143018217145,1.0,-207537.15498938438,-99942.86899862542,7651.4169921335415,2016
2016-05-31,2016-06-30,0.018303339588749967,-0.008584319363654447,45794.85026588261,0.07161666748016383,0.03293481219892735,1.0,-45794.85026588261,-56390.28710505908,-66985.72394423553,2016
2016-06-30,2016-07-31,-0.019563579201037795,-0.15148254672121478,-48030.02198406168,0.061121472858450494,0.0333231497383568,1.0,48030.02198406168,-126214.63462445616,-300459.291232974,2016
2016-07-31,2016-08-31,0.012531492311913639,0.10000135338020491,31263.135771332272,0.04692414524039701,0.033711487277786265,1.0,-31263.135771332272,99106.83549303544,229476.80675740316,2016
2016-08-31,2016-09-30,-0.011271252699625811,0.08016270527372854,-27786.42590286382,0.036389738326418376,0.03371398888383384,1.0,27786.42590286382,131246.18929339963,234705.9526839354,2016
2016-09-30,2016-10-31,0.039914782119945036,-0.021433644488665915,100956.82899524186,0.036032590141820225,0.03371649048988142,1.0,-100956.82899524186,-127242.90792710916,-153528.98685897645,2016
2016-10-31,2016-11-30,-0.024087712884458434,0.04918810443589128,-59003.96665322044,0.0364573066668364,0.034136606612310716,1.0,59003.96665322044,121501.18051703402,183998.39438084763,2016
2016-11-30,2016-12-31,0.04839654086185019,0.08150576572529689,122933.8842975208,0.025033911793783756,0.03371649048988142,0.0,-122933.8842975208,-17669.12099835041,-122933.8842975208,2016
2016-12-31,2017-01-31,0.00862412244409716,-0.05586494670251857,21473.097112860632,0.031083760300045886,0.03371398888383384,0.0,-21473.097112860632,-88823.57335921792,-21473.097112860632,2017
2017-01-31,2017-02-28,0.005837728195685621,0.005630331965746638,14515.027322404661,0.028138073541744857,0.033711487277786265,0.0,-14515.027322404661,-7516.07693875153,-14515.027322404661,2017
2017-02-28,2017-03-31,-0.017616427388298272,-0.029553866419569585,-43291.61816065206,0.028261927391323053,0.0333231497383568,0.0,43291.61816065206,7193.189401191754,43291.61816065206,2017
2017-03-31,2017-04-30,0.024577012335922244,-0.04523776256506423,61685.426540284236,0.029369558540766727,0.03293481219892735,0.0,-61685.426540284236,-116511.9389958003,-61685.426540284236,2017
2017-04-30,2017-05-31,-0.009291588334099488,0.007485213632331511,-22928.709055876672,0.02682054290736638,0.03241143018217145,0.0,22928.709055876672,32242.06787679869,22928.709055876672,2017
2017-05-31,2017-06-30,-0.04210312078909917,-0.026616523759122546,-102213.79489174155,0.023836053659085577,0.03188804816541555,0.0,102213.79489174155,69655.61059380267,102213.79489174155,2017
2017-06-30,2017-07-31,0.026422674068333762,0.11292922517810083,66379.3103448282,0.023375654592642046,0.03148590423273073,0.0,-66379.3103448282,81816.2165951922,-66379.3103448282,2017
2017-07-31,2017-08-31,0.02881819364234317,0.061966204123725,72484.52522059758,0.02638526596840452,0.03108376030004591,0.0,-72484.52522059758,6757.559651367934,-72484.52522059758,2017
2017-08-31,2017-09-30,0.06789181769294717,0.030373286297145308,174160.26871401162,0.02926621310884794,0.030761750351601523,0.0,-174160.26871401162,-135932.43561775738,-174160.26871401162,2017
2017-09-30,2017-10-31,0.011057719233698027,0.03939690272522489,27566.056910568805,0.03756297287666517,0.03108376030004591,1.0,-27566.056910568805,22244.43415675276,72054.92522407432,2017
2017-10-31,2017-11-30,0.03725409046595707,0.004341847337683391,94101.04055811737,0.03735425878987989,0.03148590423273073,1.0,-94101.04055811737,-88707.25794557629,-83313.47533303521,2017
2017-11-30,2017-12-31,-0.007891617555439767,0.09219770744821987,-19487.639553429068,0.036421311268028334,0.03188804816541555,1.0,19487.639553429068,139208.58494009005,258929.53032675103,2017
2017-12-31,2018-01-31,0.05593287655661294,-0.0030400293637334874,142618.26845791712,0.02550335525281566,0.03148590423273073,0.0,-142618.26845791712,-146380.9160127232,-142618.26845791712,2018
2018-01-31,2018-02-28,-0.020734657592713646,-0.07817577437304735,-50875.40716612341,0.02803022095616375,0.03108376030004591,0.0,50875.40716612341,-42338.95909458919,50875.40716612341,2018
2018-02-28,2018-03-31,0.000997174754392205,0.05826102016455137,2473.3954107079476,0.03551787913718827,0.03148590423273073,1.0,-2473.3954107079476,71891.24018015053,146255.875771009,2018
2018-03-31,2018-04-30,0.047682130815070334,0.06628098756803102,121075.58139534916,0.028821868209530244,0.03108376030004591,0.0,-121075.58139534916,-36130.75624580584,-121075.58139534916,2018
2018-04-30,2018-05-31,0.04065726761807875,0.011012316482397866,102873.24464153702,0.03208090203172619,0.03148590423273073,1.0,-102873.24464153702,-89147.12117563353,-75420.99770973003,2018
2018-05-31,2018-06-30,-0.022141125877213286,0.008135114285689582,-54288.32116788259,0.03249824201330856,0.03188804816541555,1.0,54288.32116788259,64413.60257094293,74538.88397400327,2018
2018-06-30,2018-07-31,0.0031046283862969926,-0.03566212238648614,7708.851575455639,0.035295396427975405,0.031984475098570886,1.0,-7708.851575455639,-51136.06834094705,-94563.28510643846,2018
2018-07-31,2018-08-31,0.0,0.05004245377936889,0.0,0.029825936541103878,0.03188804816541555,0.0,-0.0,63610.120862454365,0.0,2018
2018-08-31,2018-09-30,0.013852768853229724,0.048124937739450147,34582.30006199599,0.026846892180511655,0.03148590423273073,0.0,-34582.30006199599,26531.320753304644,-34582.30006199599,2018
2018-09-30,2018-10-31,0.02535602186739827,-0.039020035952088694,63665.54570467777,0.026328269281541614,0.03108376030004591,0.0,-63665.54570467777,-111102.61518337482,-63665.54570467777,2018
2018-10-31,2018-11-30,-0.028417873616462863,-0.2034107129671734,-69461.00347739663,0.021776146217275593,0.030761750351601523,0.0,69461.00347739663,-158692.9189147984,69461.00347739663,2018
2018-11-30,2018-12-31,-0.06754825898278227,-0.09348037293926248,-161932.68935909242,0.0206443172031956,0.03043974040315714,0.0,161932.68935909242,51307.181366678604,161932.68935909242,2018
2018-12-31,2019-01-31,-0.027608605374711104,0.1113634046220493,-67510.11592300968,0.03386750553425148,0.030761750351601523,1.0,67510.11592300968,213534.33058269537,359558.5452423811,2019
2019-01-31,2019-02-28,0.027608605374711104,0.07419541016308018,69399.94378864551,0.03400334139582532,0.03108376030004591,1.0,-69399.94378864551,26069.34955462323,121538.64289789197,2019
2019-02-28,2019-03-31,0.010443959161083205,-0.025070741892853965,26027.99650043758,0.03792819730564396,0.03148590423273073,1.0,-26027.99650043758,-56718.94040950594,-87409.88431857432,2019
2019-03-31,2019-04-30,0.028486483723300537,0.053186706993082145,71638.25757575722,0.037532624500253124,0.03188804816541555,1.0,-71638.25757575722,-3924.1178507478908,63790.02187426144,2019
2019-04-30,2019-05-31,-0.005696217933646164,-0.12220129612888175,-14081.729252130115,0.03813971875869193,0.031984475098570886,1.0,14081.729252130115,-128507.28189528477,-271096.29304269963,2019
2019-05-31,2019-06-30,-0.034875991860303435,0.05431294608829007,-84973.02443668652,0.03699729248051319,0.03208090203172622,1.0,84973.02443668652,154160.32309379725,223347.62175090803,2019
2019-06-30,2019-07-31,-0.0029619899884936185,0.00533389304390941,-7332.402234637049,0.027178516122994205,0.031984475098570886,0.0,7332.402234637049,13961.871877065627,7332.402234637049,2019
2019-07-31,2019-08-31,-0.016952375393728847,-0.06705831719974775,-41673.533289386505,0.02388364452110815,0.03188804816541555,0.0,41673.533289386505,-38725.01743525116,41673.533289386505,2019
2019-08-31,2019-09-30,0.027444274917010736,0.04146504338131729,68981.17108056715,0.021854288768182063,0.03148590423273073,0.0,-68981.17108056715,-16501.272819982973,-68981.17108056715,2019
2019-09-30,2019-10-31,-0.0006525285712775108,-0.014589538832827542,-1617.1993911718562,0.02492447335353873,0.03108376030004591,0.0,1617.1993911718562,-16336.463497157358,1617.1993911718562,2019
2019-10-31,2019-11-30,0.0006525285712775108,0.00047911843126868803,1618.2550043514116,0.020539369809096316,0.030761750351601523,0.0,-1618.2550043514116,-1024.2054835846238,-1618.2550043514116,2019
2019-11-30,2019-12-31,0.000977995187976699,0.07651150456526523,2425.799086757922,0.020697325112789884,0.03043974040315714,0.0,-2425.799086757922,96139.18574479264,-2425.799086757922,2019
2019-12-31,2020-01-31,-0.019411696876814766,-0.221997927655587,-47660.7472575215,0.014415884501253485,0.030383749926466495,0.0,47660.7472575215,-199119.191607538,47660.7472575215,2020
2020-01-31,2020-02-29,-0.04345558118345383,-0.08602135266156163,-105426.35658914692,0.016785000789804022,0.03032775944977585,0.0,105426.35658914692,3253.252044158624,105426.35658914692,2020
2020-02-29,2020-03-31,-0.10837221722766477,-0.3871513432527379,-254626.41684015756,0.023759018092098672,0.03019991578529476,0.0,254626.41684015756,-143294.30300420037,254626.41684015756,2020
2020-03-31,2020-04-30,-0.05934450570659655,-0.32413876658767404,-142844.48311420478,0.04284868874870042,0.03032775944977585,1.0,142844.48311420478,-200334.3035669531,-543513.0902481109,2020
2020-04-30,2020-05-31,-0.01947440869964978,0.27617327956932647,-47813.226644781615,0.04194347580844067,0.030383749926466495,1.0,47813.226644781615,442095.2323832705,836377.2381217595,2020
2020-05-31,2020-06-30,0.01659789140903778,0.19984107807556567,41492.32914923302,0.03891411806286908,0.03043974040315714,1.0,-41492.32914923302,232714.2462973651,506920.8217439632,2020
2020-06-30,2020-07-31,-0.0012353306079927462,0.03256800862843773,-3060.6995884773246,0.04266680910605387,0.030761750351601523,1.0,3060.6995884773246,44096.05312383109,85131.40665918484,2020
2020-07-31,2020-08-31,0.005751864666358575,-0.017404715825092315,14300.920203268419,0.04491418404906428,0.03108376030004591,1.0,-14300.920203268419,-35688.85052945374,-57076.78085563906,2020
2020-08-31,2020-09-30,-0.01944218427504152,-0.04331234309566209,-47734.876416768784,0.04766287517868117,0.03148590423273073,1.0,47734.876416768784,-4808.284690162072,-57351.44579709293,2020
2020-09-30,2020-10-31,-0.0037664827954769775,-0.057589900008265554,-9320.175438596834,0.02682232877496529,0.03108376030004591,0.0,9320.175438596834,-60050.6047837418,9320.175438596834,2020
2020-10-31,2020-11-30,0.047891287704414864,0.2263014195167722,121619.49685534587,0.014170413249663238,0.030761750351601523,0.0,-121619.49685534587,193177.1214127882,-121619.49685534587,2020
2020-11-30,2020-12-31,0.051792769948606265,0.08507351707177863,131786.23767652555,0.023005646159860813,0.03043974040315714,0.0,-131786.23767652555,-21714.82139705564,-131786.23767652555,2020
2020-12-31,2021-01-31,0.030277027703124237,0.08071464044303783,76209.67741935543,0.029358403879123657,0.030383749926466495,0.0,-76209.67741935543,27991.56329504316,-76209.67741935543,2021
2021-01-31,2021-02-28,0.09041133431951076,0.14843939663405475,234589.77663230212,0.02901205997129025,0.03032775944977585,0.0,-234589.77663230212,-36228.559644882305,-234589.77663230212,2021
2021-02-28,2021-03-31,0.06131688921752021,-0.04697925435858352,156772.0596479429,0.03995055678055821,0.030383749926466495,1.0,-156772.0596479429,-213660.0208652872,-270547.9820826315,2021
2021-03-31,2021-04-30,-0.011774201256041117,0.08118419837584578,-29019.034060951122,0.03151953464709354,0.03043974040315714,1.0,29019.034060951122,133851.40764720604,238683.78123346096,2021
2021-04-30,2021-05-31,0.04107804368309287,0.07465066862501768,103959.93384549685,0.034126254019381456,0.030761750351601523,1.0,-103959.93384549685,-7882.708124122015,88194.51759725282,2021
2021-05-31,2021-06-30,0.01373019281190202,0.02796285747921745,34274.19354838722,0.03412359521092459,0.03108376030004591,1.0,-34274.19354838722,877.2758557995767,36028.745259986375,2021
